zs,zr,status,n_ranges,best_scale_re,best_scale_im,complex_corr,rel_residual,phase_rmse_rad,amp_shape_rel,single_mode_rel_residual,note
4.0,18.0,MISMATCH,20,1.4833848821668272e-09,-1.448724659362259e-10,0.053355654784735536,0.9985755973757908,1.7053492139676445,0.9545516118020452,0.9975024816861434,global c* only; single_mode diagnostic separate
4.0,70.0,MISMATCH,20,1.9263387896152077e-06,-1.1418519502891489e-06,0.11071447269263214,0.9938522049195795,1.7419936660544184,0.9136697930272332,0.9869024706571745,global c* only; single_mode diagnostic separate
50.0,18.0,MISMATCH,20,0.00013332876289196463,-3.951784218979237e-05,0.05101493496322275,0.998697933204118,1.8184342701596312,0.9526672090340732,0.9962698690378126,global c* only; single_mode diagnostic separate
50.0,70.0,MISMATCH,20,-0.34734674096855506,-0.03690466506582777,0.6261920279769768,0.7796688649765589,1.0567781496879267,0.46619396665193497,0.9892496049937195,global c* only; single_mode diagnostic separate
