zs_true,zr,label,z_hat,abs_depth_error,D_true_over_Dmax,used_for_repro_gate
4.0,18.0,ORACLE_FULL_MODE_UPPER_BOUND,5.0,1.0,0.8925108047086359,False
4.0,70.0,ORACLE_FULL_MODE_UPPER_BOUND,5.0,1.0,0.8807294585721827,False
50.0,18.0,ORACLE_FULL_MODE_UPPER_BOUND,50.0,0.0,1.0,False
50.0,70.0,ORACLE_FULL_MODE_UPPER_BOUND,50.0,0.0,1.0,False
