zs,zr,n_detected_peaks,n_resolved_modes,selected_mode_ids,z_hat,abs_error,D_true_over_Dmax,overall_ok,note
4.0,18.0,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0,0.8836873733949682,False,
4.0,70.0,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0,0.8736873792789647,False,
50.0,18.0,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,43.0,7.0,0.8608382221068174,False,fidelity gate or field/peaks
50.0,70.0,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0,1.0,False,
