case,n_detected,prominence_frac,gmax,peak_id,k_peak,abs_g,prominence,g_re,g_im
zs4.0_zr18.0,32.0,0.03,27.288138936452228,,,,,,
zs4.0_zr18.0,,0.03,27.288138936452228,0.0,1.3478371963883027,1.8364652238394332,0.9580007517459372,1.1383779019828173,1.4410760807982412
zs4.0_zr18.0,,0.03,27.288138936452228,1.0,1.362396180379156,7.663222403946357,5.302480970137346,7.649559192750695,-0.45740766166374774
zs4.0_zr18.0,,0.03,27.288138936452228,2.0,1.3759321006301115,12.217043025680965,9.44322500881741,11.738159126365636,-3.3869987622464595
zs4.0_zr18.0,,0.03,27.288138936452228,3.0,1.388602351562692,7.398162574763177,6.146542949606563,7.300772246438163,1.196467336898413
zs4.0_zr18.0,,0.03,27.288138936452228,4.0,1.4001708415446132,9.368310367101476,7.641047100792434,-6.749539364175835,-6.496842117966378
zs4.0_zr18.0,,0.03,27.288138936452228,5.0,1.4019808773921247,3.1688540119768467,1.4415907456678052,-0.7054779862245307,3.089326230778216
zs4.0_zr18.0,,0.03,27.288138936452228,6.0,1.403318729975068,2.558756717937117,1.4035888294553371,-1.9816053802194913,1.618788453959779
zs4.0_zr18.0,,0.03,27.288138936452228,7.0,1.4046565825580113,2.5552221274230846,1.4091307488776381,-2.552800834388927,0.11121160198357682
zs4.0_zr18.0,,0.03,27.288138936452228,8.0,1.4059944351409546,2.9142530761625287,1.5157143023105666,-2.417123977385799,-1.6279995914831846
zs4.0_zr18.0,,0.03,27.288138936452228,9.0,1.4072535905131365,3.804903057665883,1.9032531485263757,-2.85750147401107,-2.5123639474128248
zs4.0_zr18.0,,0.03,27.288138936452228,10.0,1.4086701403068411,6.206572367435931,2.6958458555384883,2.050276057547709,-5.858148909004097
zs4.0_zr18.0,,0.03,27.288138936452228,11.0,1.4104801761543526,27.288138936452228,23.777412424554786,-27.188074133294492,2.334770125216438
zs4.0_zr18.0,,0.03,27.288138936452228,12.0,1.4123689092126255,6.702185474323883,3.5986331435457504,-0.47434823929855524,6.685378364768326
zs4.0_zr18.0,,0.03,27.288138936452228,13.0,1.4137067617955688,4.498851605567274,2.881541723081221,-3.2843410606287415,3.074535666793168
zs4.0_zr18.0,,0.03,27.288138936452228,14.0,1.415044614378512,3.9696776287553517,2.821661220457522,-3.969677614256397,0.0003392821088120765
zs4.0_zr18.0,,0.03,27.288138936452228,15.0,1.4163824669614553,4.333675242306352,2.9106445170848865,-3.149052692843826,-2.9772820228309027
zs4.0_zr18.0,,0.03,27.288138936452228,16.0,1.4177203195443986,6.144756432691745,3.494177103990845,-0.31979070689390493,-6.136429378791129
zs4.0_zr18.0,,0.03,27.288138936452228,17.0,1.41953035539191,23.116078461369465,20.465499132668565,-21.03335936711707,9.589101999973611
zs4.0_zr18.0,,0.03,27.288138936452228,18.0,1.4213403912394216,4.500146439466082,2.4382092946349565,3.127222433355314,3.236015733731608
zs4.0_zr18.0,,0.03,27.288138936452228,19.0,1.4225995466116035,2.373034359261208,1.575368862286743,1.3361837942943506,1.961097891003762
zs4.0_zr18.0,,0.03,27.288138936452228,20.0,1.4238587019837854,1.4685899308090689,1.071609636116912,0.6566088871431901,1.3136290017346477
zs4.0_zr18.0,,0.03,27.288138936452228,21.0,1.425904829463581,1.528515869146226,0.8690023640838898,-1.5192285902007738,0.1682416504567531
zs4.0_zr18.0,,0.03,27.288138936452228,22.0,1.4276361681003311,8.300783480991058,7.090206672740618,7.4458546719828105,3.66909452072385
zs4.0_zr18.0,,0.03,27.288138936452228,23.0,1.4319645146922064,0.9283528597979062,0.8326723289062539,0.8628011312928995,0.3426561543802235
zs4.0_zr18.0,,0.03,27.288138936452228,24.0,1.433381064485911,2.3280399392697064,1.6377845247538385,-1.2966605472112698,1.9335049480517676
zs4.0_zr18.0,,0.03,27.288138936452228,25.0,1.4351911003334226,14.584480923002138,12.809015804336482,13.997040619749129,4.097552645483189
zs4.0_zr18.0,,0.03,27.288138936452228,26.0,1.4369224389701727,3.89082704609227,2.1153619274266133,-2.409684787520819,-3.0548247621416587
zs4.0_zr18.0,,0.03,27.288138936452228,27.0,1.438260291553116,2.5184392261813913,1.4236680661532508,0.09539126665407356,-2.516632003733414
zs4.0_zr18.0,,0.03,27.288138936452228,28.0,1.4395194469252979,1.916966666703481,1.1384045180123967,0.463958160416027,-1.859974200529575
zs4.0_zr18.0,,0.03,27.288138936452228,29.0,1.4407786022974798,1.627385935112071,1.0899234638001007,0.9171561972694842,-1.3443249204008565
zs4.0_zr18.0,,0.03,27.288138936452228,30.0,1.4429821241987981,5.097226722882618,4.019800536890859,1.7028407383649597,4.804378595014484
zs4.0_zr18.0,,0.03,27.288138936452228,31.0,1.4446347656247869,1.944000752469822,0.8665745664780635,-0.017739040072097496,-1.9439198162631486
zs4.0_zr70.0,44.0,0.03,16.92134552555431,,,,,,
zs4.0_zr70.0,,0.03,16.92134552555431,0.0,1.3624748775899174,3.4028964740959564,2.3620986504458914,2.8130804031322856,1.9147540465886974
zs4.0_zr70.0,,0.03,16.92134552555431,1.0,1.3760107978408729,10.472695760499073,8.119175982612369,-10.00319821833804,-3.100545419214804
zs4.0_zr70.0,,0.03,16.92134552555431,2.0,1.377742136477623,3.1408227531795174,0.7873029752928122,2.0803855989256315,2.3530327933696555
zs4.0_zr70.0,,0.03,16.92134552555431,3.0,1.3790799890605663,2.1787225311638716,0.8404263709612754,0.27510889020767243,2.161283638565242
zs4.0_zr70.0,,0.03,16.92134552555431,4.0,1.3804178416435096,1.8455245294345977,0.827682823768157,-0.7559319187928233,1.683605572245172
zs4.0_zr70.0,,0.03,16.92134552555431,5.0,1.3816769970156915,1.754241288093032,0.8615426268491384,-0.7652520904280424,1.578528344676082
zs4.0_zr70.0,,0.03,16.92134552555431,6.0,1.3829361523878734,1.8152357768938985,0.8961356488296628,-0.803194440220431,1.627869655996629
zs4.0_zr70.0,,0.03,16.92134552555431,7.0,1.3841953077600553,2.0503676498597274,0.9619335009658743,-0.8855055415245011,1.8492937666905984
zs4.0_zr70.0,,0.03,16.92134552555431,8.0,1.3855331603429986,2.6020906532942116,1.0870643111499492,-2.059286008878303,1.5906655530309213
zs4.0_zr70.0,,0.03,16.92134552555431,9.0,1.3867923157151805,4.120124985665096,1.2693610879194908,-3.2123071832173764,2.580021794123424
zs4.0_zr70.0,,0.03,16.92134552555431,10.0,1.388602351562692,16.48972702244482,13.393638282125368,16.253921237211586,2.7786942417742124
zs4.0_zr70.0,,0.03,16.92134552555431,11.0,1.390333690199442,4.107637134256267,1.0115483939368137,-3.659326043172958,-1.8660160064900777
zs4.0_zr70.0,,0.03,16.92134552555431,12.0,1.3916715427823854,2.638492876165436,0.8711131750968659,-1.6790244292622512,-2.0353185557834252
zs4.0_zr70.0,,0.03,16.92134552555431,13.0,1.3930093953653286,2.1491964062846214,0.7729824348384153,-0.6706574026071146,-2.041877528431862
zs4.0_zr70.0,,0.03,16.92134552555431,14.0,1.394347247948272,2.0201970432009206,0.774356076696924,0.10297148005801128,-2.0175710564072844
zs4.0_zr70.0,,0.03,16.92134552555431,15.0,1.3956064033204538,2.1486801067390644,0.8126842042241054,-0.07393187348785545,-2.1474078045817877
zs4.0_zr70.0,,0.03,16.92134552555431,16.0,1.396944255903397,2.6036959004034315,0.9583415007980425,0.9441020793172968,-2.426500279333673
zs4.0_zr70.0,,0.03,16.92134552555431,17.0,1.3982821084863404,3.889284967143472,1.2440297492789205,2.856118221082159,-2.6399102755303407
zs4.0_zr70.0,,0.03,16.92134552555431,18.0,1.4000134471230905,14.402651862475187,11.757396644610635,-13.145053088027923,5.885911992596182
zs4.0_zr70.0,,0.03,16.92134552555431,19.0,1.401823482970602,2.9230522710953677,1.2759623525533987,2.622275970488704,1.2914733114367143
