case,peak_id,k_peak,peak_complex,prominence,mode_id,k_true,delta_k,status
zs4.0_zr18.0,0,1.3478371963883027,(1.1383779019828173+1.4410760807982412j),0.9580007517459372,17,1.3477357625961304,0.00010143379217231185,SELECTED
zs4.0_zr18.0,1,1.362396180379156,(7.649559192750695-0.45740766166374774j),5.302480970137346,16,1.3623950481414795,1.1322376765043884e-06,SELECTED
zs4.0_zr18.0,2,1.3759321006301115,(11.738159126365636-3.3869987622464595j),9.44322500881741,15,1.375969648361206,-3.75477310945449e-05,SELECTED
zs4.0_zr18.0,3,1.388602351562692,(7.300772246438163+1.196467336898413j),6.146542949606563,14,1.3885791301727295,2.322138996246892e-05,SELECTED
zs4.0_zr18.0,4,1.4001708415446132,(-6.749539364175835-6.496842117966378j),7.641047100792434,13,1.4000681638717651,0.00010267767284810603,SELECTED
zs4.0_zr18.0,5,1.4019808773921247,(-0.7054779862245307+3.089326230778216j),1.4415907456678052,-1,,,UNMATCHED
zs4.0_zr18.0,6,1.403318729975068,(-1.9816053802194913+1.618788453959779j),1.4035888294553371,-1,,,UNMATCHED
zs4.0_zr18.0,7,1.4046565825580113,(-2.552800834388927+0.11121160198357682j),1.4091307488776381,-1,,,UNMATCHED
zs4.0_zr18.0,8,1.4059944351409546,(-2.417123977385799-1.6279995914831846j),1.5157143023105666,-1,,,UNMATCHED
zs4.0_zr18.0,9,1.4072535905131365,(-2.85750147401107-2.5123639474128248j),1.9032531485263757,-1,,,UNMATCHED
zs4.0_zr18.0,10,1.4086701403068411,(2.050276057547709-5.858148909004097j),2.6958458555384883,-1,,,UNMATCHED
zs4.0_zr18.0,11,1.4104801761543526,(-27.188074133294492+2.334770125216438j),23.777412424554786,12,1.4104909896850586,-1.081353070597757e-05,SELECTED
zs4.0_zr18.0,12,1.4123689092126255,(-0.47434823929855524+6.685378364768326j),3.5986331435457504,-1,,,UNMATCHED
zs4.0_zr18.0,13,1.4137067617955688,(-3.2843410606287415+3.074535666793168j),2.881541723081221,-1,,,UNMATCHED
zs4.0_zr18.0,14,1.415044614378512,(-3.969677614256397+0.0003392821088120765j),2.821661220457522,-1,,,UNMATCHED
zs4.0_zr18.0,15,1.4163824669614553,(-3.149052692843826-2.9772820228309027j),2.9106445170848865,-1,,,UNMATCHED
zs4.0_zr18.0,16,1.4177203195443986,(-0.31979070689390493-6.136429378791129j),3.494177103990845,-1,,,UNMATCHED
zs4.0_zr18.0,17,1.41953035539191,(-21.03335936711707+9.589101999973611j),20.465499132668565,11,1.4195870161056519,-5.666071374177406e-05,SELECTED
zs4.0_zr18.0,18,1.4213403912394216,(3.127222433355314+3.236015733731608j),2.4382092946349565,-1,,,UNMATCHED
zs4.0_zr18.0,19,1.4225995466116035,(1.3361837942943506+1.961097891003762j),1.575368862286743,-1,,,UNMATCHED
zs4.0_zr18.0,20,1.4238587019837854,(0.6566088871431901+1.3136290017346477j),1.071609636116912,-1,,,UNMATCHED
zs4.0_zr18.0,21,1.425904829463581,(-1.5192285902007738+0.1682416504567531j),0.8690023640838898,-1,,,UNMATCHED
zs4.0_zr18.0,22,1.4276361681003311,(7.4458546719828105+3.66909452072385j),7.090206672740618,10,1.4275851249694824,5.104313084869361e-05,SELECTED
zs4.0_zr18.0,23,1.4319645146922064,(0.8628011312928995+0.3426561543802235j),0.8326723289062539,-1,,,UNMATCHED
zs4.0_zr18.0,24,1.433381064485911,(-1.2966605472112698+1.9335049480517676j),1.6377845247538385,-1,,,UNMATCHED
zs4.0_zr18.0,25,1.4351911003334226,(13.997040619749129+4.097552645483189j),12.809015804336482,9,1.4351578950881958,3.3205245226763935e-05,SELECTED
zs4.0_zr18.0,26,1.4369224389701727,(-2.409684787520819-3.0548247621416587j),2.1153619274266133,-1,,,UNMATCHED
