zs,zr,prominence_frac,n_peaks,n_selected,selected_modes,z_hat,abs_error
4.0,18.0,0.01,56,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0
4.0,18.0,0.03,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0
4.0,18.0,0.05,25,9,16;15;14;13;12;11;10;9;8,5.0,1.0
4.0,18.0,0.1,14,9,16;15;14;13;12;11;10;9;8,5.0,1.0
4.0,70.0,0.01,50,12,18;17;16;15;14;13;12;11;10;9;8;7,5.0,1.0
4.0,70.0,0.03,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0
4.0,70.0,0.05,32,9,16;15;14;13;12;11;10;9;8,5.0,1.0
4.0,70.0,0.1,14,9,16;15;14;13;12;11;10;9;8,5.0,1.0
50.0,18.0,0.01,60,14,16;15;14;13;12;11;10;9;8;7;6;5;4;3,43.0,7.0
50.0,18.0,0.03,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,43.0,7.0
50.0,18.0,0.05,27,11,16;15;13;12;11;10;9;8;7;6;5,43.0,7.0
50.0,18.0,0.1,15,11,16;15;13;12;11;10;9;8;7;6;5,43.0,7.0
50.0,70.0,0.01,62,15,16;15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0
50.0,70.0,0.03,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0
50.0,70.0,0.05,28,13,15;14;13;11;10;8;7;6;5;4;3;2;1,50.0,0.0
50.0,70.0,0.1,17,9,13;10;8;7;5;4;3;2;1,50.0,0.0
