f_hz,z_true,L,n_total_modes,n_energetic_1pct,n_rayleigh_unique_1pct,n_energetic_3pct,n_rayleigh_unique_3pct,n_energetic_5pct,n_rayleigh_unique_5pct,n_energetic
201.0,200.0,2400.0,641,508.0,0.0,,,,,
201.0,200.0,2400.0,641,,,432.0,0.0,,,
201.0,200.0,2400.0,641,508.0,0.0,432.0,0.0,372.0,0.0,432.0
235.0,200.0,2400.0,749,588.0,0.0,,,,,
235.0,200.0,2400.0,749,,,499.0,0.0,,,
235.0,200.0,2400.0,749,588.0,0.0,499.0,0.0,422.0,0.0,499.0
283.0,200.0,2400.0,902,706.0,0.0,,,,,
283.0,200.0,2400.0,902,,,595.0,0.0,,,
283.0,200.0,2400.0,902,706.0,0.0,595.0,0.0,498.0,0.0,595.0
338.0,200.0,2400.0,1078,835.0,0.0,,,,,
338.0,200.0,2400.0,1078,,,691.0,0.0,,,
338.0,200.0,2400.0,1078,835.0,0.0,691.0,0.0,581.0,0.0,691.0
