layer,f,zs,L,window,Delta_ratio,status,z_hat,abs_error,D_true_over_Dmax,margin_10m,margin_20m,n_unique_modes,n_unresolved_groups,selected_mode_ids,n_detected_peaks,n_unmatched,global_peak_depth,second_peak_depth,second_peak_ratio,local_FWHM
ACTUAL_PEAK_UNIQUE_MODE,201.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
NEAREST_MODE_OPTIMISTIC,201.0,180.0,2400.0,250.0,0.1,OK,200.0,20.0,0.6846610184601575,1.0648257857925785,0.6846610184601575,0,16,502;384;360;304;277;184;174;153;138;126;102;89;74;47;17;1,18.0,2.0,200.0,198.0,0.9789623662814945,34.0
TRUE_K_UPPER,201.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
EQ5_IDEAL_UPPER,201.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
NEAREST_MODE_OPTIMISTIC,201.0,190.0,2400.0,250.0,0.1,OK,180.0,10.0,0.5452398693871257,0.5452398693871257,0.7913941534641714,0,14,507;360;332;304;162;148;128;116;103;90;75;48;18;1,17.0,3.0,180.0,182.0,0.9955112895911313,42.0
TRUE_K_UPPER,201.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
EQ5_IDEAL_UPPER,201.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
NEAREST_MODE_OPTIMISTIC,201.0,200.0,2400.0,250.0,0.1,OK,188.0,12.0,0.12306817644174627,0.13066387552678638,0.15823115055859185,0,15,383;360;304;196;187;177;153;136;120;106;91;76;48;18;1,18.0,3.0,188.0,168.0,0.9966401065482435,40.0
TRUE_K_UPPER,201.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
EQ5_IDEAL_UPPER,201.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
