layer,f,zs,L,window,Delta_ratio,status,n_detected_peaks,n_unique_modes,n_unresolved_groups,n_unmatched,selected_mode_ids,z_hat,abs_error,D_true_over_Dmax,global_peak_depth,second_peak_depth,second_peak_ratio,local_FWHM,margin_10m,margin_20m
NEAREST_MODE_OPTIMISTIC,201.0,180.0,2400.0,250.0,0.1,OK,18,0,16,2,502;384;360;304;277;184;174;153;138;126;102;89;74;47;17;1,200.0,20.0,0.6846610184601575,200.0,198.0,0.9789623662814945,34.0,1.0648257857925785,0.6846610184601575
NEAREST_MODE_OPTIMISTIC,201.0,190.0,2400.0,250.0,0.1,OK,17,0,14,3,507;360;332;304;162;148;128;116;103;90;75;48;18;1,180.0,10.0,0.5452398693871257,180.0,182.0,0.9955112895911313,42.0,0.5452398693871257,0.7913941534641714
NEAREST_MODE_OPTIMISTIC,201.0,200.0,2400.0,250.0,0.1,OK,18,0,15,3,383;360;304;196;187;177;153;136;120;106;91;76;48;18;1,188.0,12.0,0.12306817644174627,188.0,168.0,0.9966401065482435,40.0,0.13066387552678638,0.15823115055859185
NEAREST_MODE_OPTIMISTIC,201.0,210.0,2400.0,250.0,0.1,OK,16,0,13,3,500;360;332;304;155;140;116;103;90;75;48;18;1,182.0,28.0,0.02355058601692709,182.0,180.0,0.9776526097480491,MULTIPEAK,0.06696588788939126,0.054951176526062254
NEAREST_MODE_OPTIMISTIC,201.0,220.0,2400.0,250.0,0.1,OK,21,0,19,2,502;360;302;263;255;247;194;185;174;164;151;137;125;113;89;74;47;17;1,176.0,44.0,0.03930216469301482,176.0,174.0,0.972349103313858,MULTIPEAK,0.06948538897807062,0.0654318035387227
NEAREST_MODE_OPTIMISTIC,235.0,180.0,2400.0,250.0,0.1,OK,15,0,12,3,584;416;354;184;168;126;113;98;82;55;25;4,192.0,12.0,0.8724080665145889,192.0,194.0,0.9874956915927093,MULTIPEAK,0.91516894145089,1.4311496332072648
NEAREST_MODE_OPTIMISTIC,235.0,190.0,2400.0,250.0,0.1,OK,20,0,17,3,580;357;222;212;201;190;176;162;149;137;125;112;98;82;55;25;3,194.0,4.0,0.769388004815855,194.0,196.0,0.9675081753127865,MULTIPEAK,0.9655906919931146,1.4213771881960842
NEAREST_MODE_OPTIMISTIC,235.0,200.0,2400.0,250.0,0.1,OK,17,0,14,3,584;347;192;177;162;149;137;125;112;98;82;55;25;3,184.0,16.0,0.13443050872905166,184.0,186.0,0.9774940014838976,MULTIPEAK,0.15335268535556582,0.17681952269668536
NEAREST_MODE_OPTIMISTIC,235.0,210.0,2400.0,250.0,0.1,OK,12,0,9,3,583;138;126;112;98;81;53;23;3,214.0,4.0,0.9661578211708934,214.0,212.0,0.9919500068310534,26.0,1.2893907433691316,4.525997270487944
NEAREST_MODE_OPTIMISTIC,235.0,220.0,2400.0,250.0,0.1,OK,21,0,18,3,584;568;416;360;222;213;202;190;176;161;148;136;111;97;80;52;22;2,220.0,0.0,1.0,220.0,222.0,0.9721414998772221,72.0,1.341149758210419,1.5590324645646343
NEAREST_MODE_OPTIMISTIC,283.0,180.0,2400.0,250.0,0.1,OK,17,0,15,2,706;691;428;230;214;198;152;139;125;110;93;65;34;14;1,178.0,2.0,0.9551371514785771,178.0,180.0,0.9551371514785771,MULTIPEAK,3.804877828313353,2.604055801996357
NEAREST_MODE_OPTIMISTIC,283.0,190.0,2400.0,250.0,0.1,OK,17,0,14,3,709;687;500;433;215;153;140;126;111;95;67;37;15;1,164.0,26.0,0.26688996636721013,164.0,166.0,0.9673538457729529,MULTIPEAK,0.6078863316923646,0.34672214608066726
NEAREST_MODE_OPTIMISTIC,283.0,200.0,2400.0,250.0,0.1,OK,18,0,15,3,709;460;429;213;178;165;153;140;126;111;95;67;37;15;1,154.0,46.0,0.029583003990258334,154.0,156.0,0.986596574990275,MULTIPEAK,0.13137004860933446,0.048340885801103156
NEAREST_MODE_OPTIMISTIC,283.0,210.0,2400.0,250.0,0.1,OK,18,0,15,3,707;692;502;424;215;164;152;139;125;110;93;66;36;14;1,164.0,46.0,0.1093229332467885,164.0,162.0,0.8933775335440374,MULTIPEAK,0.3822871662283609,0.15192816837755047
NEAREST_MODE_OPTIMISTIC,283.0,220.0,2400.0,250.0,0.1,OK,19,1,16,2,706;689;497;462;429;210;175;163;150;137;123;108;91;63;33;12;1,192.0,28.0,0.6010847977720465,192.0,194.0,0.9148634465549068,MULTIPEAK,0.9351273874299911,1.2252685705116004
NEAREST_MODE_OPTIMISTIC,338.0,180.0,2400.0,250.0,0.1,OK,14,0,11,3,833;509;256;239;139;123;105;76;45;25;5,190.0,10.0,0.6326607380035257,190.0,188.0,0.8348908356827529,14.0,0.6326607380035257,1.3711737442569036
NEAREST_MODE_OPTIMISTIC,338.0,190.0,2400.0,250.0,0.1,OK,21,0,18,3,832;601;272;255;241;218;206;194;181;168;154;140;125;107;78;48;27;6,244.0,54.0,0.8437364182780484,244.0,170.0,0.9533818120442429,MULTIPEAK,1.0795301701388493,0.8849931974986048
NEAREST_MODE_OPTIMISTIC,338.0,200.0,2400.0,250.0,0.1,OK,16,0,13,3,832;599;508;270;256;155;141;125;108;78;48;27;6,178.0,22.0,0.12622903694935655,178.0,180.0,0.9835275468011664,26.0,0.17404346134467732,0.12834316370690887
NEAREST_MODE_OPTIMISTIC,338.0,210.0,2400.0,250.0,0.1,OK,20,0,17,3,832;509;271;255;241;217;205;193;180;167;153;124;107;78;48;25;5,160.0,50.0,0.02820391032599857,160.0,162.0,0.9567791075711625,MULTIPEAK,0.10133634674952148,0.045689398006536146
NEAREST_MODE_OPTIMISTIC,338.0,220.0,2400.0,250.0,0.1,OK,19,0,16,3,831;599;507;450;310;270;255;232;164;136;120;103;74;44;22;2,214.0,6.0,0.14093235693561165,214.0,194.0,0.8684431180673207,MULTIPEAK,0.2317279049671013,1.9726021983304296
NEAREST_MODE_OPTIMISTIC,201.0,180.0,600.0,250.0,0.1,OK,7,0,7,0,494;436;345;223;184;135;49,154.0,26.0,0.4714826290482434,154.0,156.0,0.9988621131726475,MULTIPEAK,0.6669056637951721,0.5013947150656383
NEAREST_MODE_OPTIMISTIC,201.0,190.0,600.0,250.0,0.1,OK,6,0,6,0,605;500;309;212;169;49,160.0,30.0,0.1414160450028948,160.0,162.0,0.9717382786480082,MULTIPEAK,0.3667480233900662,0.21569485990603365
NEAREST_MODE_OPTIMISTIC,201.0,200.0,600.0,250.0,0.1,OK,9,0,9,0,628;597;560;515;432;345;207;156;44,240.0,40.0,0.2396200765444842,240.0,208.0,0.9748786729597387,MULTIPEAK,0.2755791120267283,0.31232468973412
NEAREST_MODE_OPTIMISTIC,201.0,210.0,600.0,250.0,0.1,OK,7,0,7,0,502;442;309;246;212;132;49,162.0,48.0,0.011129230835126342,162.0,160.0,0.9879220766526327,MULTIPEAK,0.05763981478830151,0.014087741079325334
NEAREST_MODE_OPTIMISTIC,201.0,220.0,600.0,250.0,0.1,OK,8,0,8,0,630;597;560;513;332;216;154;44,236.0,16.0,0.36489207439088645,236.0,234.0,0.9492991871868586,MULTIPEAK,0.4488392167124757,0.5875927031939046
NEAREST_MODE_OPTIMISTIC,235.0,180.0,600.0,250.0,0.1,OK,10,0,10,0,647;584;517;461;362;268;232;186;138;49,244.0,64.0,0.13934891278965703,244.0,246.0,0.936258376570764,MULTIPEAK,0.4840937899235501,0.6543113675915991
NEAREST_MODE_OPTIMISTIC,235.0,190.0,600.0,250.0,0.1,OK,8,0,8,0,697;663;584;352;286;252;156;55,178.0,12.0,0.6908207891751805,178.0,158.0,0.9850881537683017,50.0,0.7229524775850117,1.066530025993007
NEAREST_MODE_OPTIMISTIC,235.0,200.0,600.0,250.0,0.1,OK,11,0,11,0,740;709;676;640;591;352;265;230;183;135;55,196.0,4.0,0.4451822435629047,196.0,170.0,0.9515459301085325,MULTIPEAK,0.8020063633493374,1.1717661101538475
NEAREST_MODE_OPTIMISTIC,235.0,210.0,600.0,250.0,0.1,OK,10,0,10,0,576;504;445;352;295;261;225;186;141;55,160.0,50.0,0.028389926301879947,160.0,162.0,0.982952365404499,MULTIPEAK,0.0735431438788741,0.036667240102539196
NEAREST_MODE_OPTIMISTIC,235.0,220.0,600.0,250.0,0.1,OK,6,0,6,0,589;508;295;259;153;55,166.0,54.0,0.016519937764587017,166.0,164.0,0.9713800518299613,MULTIPEAK,0.47792694792906093,0.034760633388666175
NEAREST_MODE_OPTIMISTIC,283.0,180.0,600.0,250.0,0.1,OK,10,0,9,1,701;627;565;444;335;296;208;156;66,168.0,12.0,0.21954518924944819,168.0,170.0,0.992877655355378,MULTIPEAK,0.22112008268618655,0.5101129780476805
NEAREST_MODE_OPTIMISTIC,283.0,190.0,600.0,250.0,0.1,OK,8,0,7,1,709;353;318;280;236;159;66,172.0,18.0,0.48919134570574185,172.0,174.0,0.8930496932042701,MULTIPEAK,0.932238916086893,0.5608094385524641
NEAREST_MODE_OPTIMISTIC,283.0,200.0,600.0,250.0,0.1,OK,10,0,9,1,709;590;422;355;289;249;205;156;66,162.0,38.0,0.0968772764494764,162.0,164.0,0.9352014366833381,MULTIPEAK,0.22639709234259447,0.3316650329742955
NEAREST_MODE_OPTIMISTIC,283.0,210.0,600.0,250.0,0.1,OK,8,0,7,1,707;468;315;277;236;152;61,240.0,30.0,0.44737087686833155,240.0,202.0,0.9711399611234806,MULTIPEAK,0.47317194662039674,0.4875440057509706
NEAREST_MODE_OPTIMISTIC,283.0,220.0,600.0,250.0,0.1,OK,10,0,9,1,707;545;433;324;289;246;205;156;66,164.0,56.0,0.04906759896339916,164.0,158.0,0.9835606431577126,MULTIPEAK,0.21888746885001562,0.10434075949111464
NEAREST_MODE_OPTIMISTIC,338.0,180.0,600.0,250.0,0.1,OK,9,0,9,0,891;838;516;412;379;263;170;76;1,166.0,14.0,0.05795717294698516,166.0,168.0,0.9676448477341244,MULTIPEAK,0.10873460559049661,0.307682603772353
NEAREST_MODE_OPTIMISTIC,338.0,190.0,600.0,250.0,0.1,OK,9,0,9,0,833;588;477;359;322;271;173;82;1,238.0,48.0,0.38479131551150436,238.0,194.0,0.9363596861773942,MULTIPEAK,1.1030586324497917,1.8442480936314103
NEAREST_MODE_OPTIMISTIC,338.0,200.0,600.0,250.0,0.1,OK,6,0,5,1,841;539;263;173;76,186.0,14.0,0.19392917112475222,186.0,204.0,0.8850895103863105,MULTIPEAK,0.39047853213248007,1.7985095445118555
NEAREST_MODE_OPTIMISTIC,338.0,210.0,600.0,250.0,0.1,OK,11,0,10,1,836;765;710;539;402;363;327;271;170;76,192.0,18.0,0.5070784493848761,192.0,190.0,0.9311781791055987,MULTIPEAK,1.0327062453221543,0.5445557689849729
