L,f,zs,n_unique,n_unres,status
600.0,201.0,180.0,0,7,OK
600.0,201.0,190.0,0,6,OK
600.0,201.0,200.0,0,9,OK
600.0,201.0,210.0,0,7,OK
600.0,201.0,220.0,0,8,OK
600.0,235.0,180.0,0,10,OK
600.0,235.0,190.0,0,8,OK
600.0,235.0,200.0,0,11,OK
600.0,235.0,210.0,0,10,OK
600.0,235.0,220.0,0,6,OK
600.0,283.0,180.0,0,9,OK
600.0,283.0,190.0,0,7,OK
600.0,283.0,200.0,0,9,OK
600.0,283.0,210.0,0,7,OK
600.0,283.0,220.0,0,9,OK
600.0,338.0,180.0,0,9,OK
600.0,338.0,190.0,0,9,OK
600.0,338.0,200.0,0,5,OK
600.0,338.0,210.0,0,10,OK
600.0,338.0,220.0,0,6,OK
1200.0,201.0,180.0,0,12,OK
1200.0,201.0,190.0,0,12,OK
1200.0,201.0,200.0,0,12,OK
1200.0,201.0,210.0,0,10,OK
1200.0,201.0,220.0,0,12,OK
1200.0,235.0,180.0,0,13,OK
1200.0,235.0,190.0,0,8,OK
1200.0,235.0,200.0,0,12,OK
1200.0,235.0,210.0,0,11,OK
1200.0,235.0,220.0,0,9,OK
1200.0,283.0,180.0,0,15,OK
1200.0,283.0,190.0,0,8,OK
1200.0,283.0,200.0,0,11,OK
1200.0,283.0,210.0,0,14,OK
1200.0,283.0,220.0,0,10,OK
1200.0,338.0,180.0,0,17,OK
1200.0,338.0,190.0,0,13,OK
1200.0,338.0,200.0,0,10,OK
1200.0,338.0,210.0,0,16,OK
1200.0,338.0,220.0,0,17,OK
