layer,f,zs,L,window,Delta_ratio,status,z_hat,abs_error,D_true_over_Dmax,margin_10m,margin_20m,n_unique_modes,n_unresolved_groups,selected_mode_ids,n_detected_peaks,n_unmatched,global_peak_depth,second_peak_depth,second_peak_ratio,local_FWHM
EQ5_IDEAL_UPPER,201.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
EQ5_IDEAL_UPPER,201.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
EQ5_IDEAL_UPPER,201.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
EQ5_IDEAL_UPPER,201.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,13,,,,,,,
EQ5_IDEAL_UPPER,201.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,19,,,,,,,
EQ5_IDEAL_UPPER,235.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,12,,,,,,,
EQ5_IDEAL_UPPER,235.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,17,,,,,,,
EQ5_IDEAL_UPPER,235.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
EQ5_IDEAL_UPPER,235.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,235.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,18,,,,,,,
EQ5_IDEAL_UPPER,283.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
EQ5_IDEAL_UPPER,283.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
EQ5_IDEAL_UPPER,283.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
EQ5_IDEAL_UPPER,283.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
EQ5_IDEAL_UPPER,283.0,220.0,2400.0,250.0,0.1,OK,250.0,30.0,1.1995648015208814e-39,1.1995648015208814e-39,1.1995648015208814e-39,1,16,1,19.0,2.0,250.0,248.0,1.2518058784479958e-39,102.0
EQ5_IDEAL_UPPER,338.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,11,,,,,,,
EQ5_IDEAL_UPPER,338.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,18,,,,,,,
EQ5_IDEAL_UPPER,338.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,13,,,,,,,
EQ5_IDEAL_UPPER,338.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,17,,,,,,,
EQ5_IDEAL_UPPER,338.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
EQ5_IDEAL_UPPER,201.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
EQ5_IDEAL_UPPER,201.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,6,,,,,,,
EQ5_IDEAL_UPPER,201.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,201.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
EQ5_IDEAL_UPPER,201.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,8,,,,,,,
EQ5_IDEAL_UPPER,235.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,10,,,,,,,
EQ5_IDEAL_UPPER,235.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,8,,,,,,,
EQ5_IDEAL_UPPER,235.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,11,,,,,,,
EQ5_IDEAL_UPPER,235.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,10,,,,,,,
EQ5_IDEAL_UPPER,235.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,6,,,,,,,
EQ5_IDEAL_UPPER,283.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,283.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
EQ5_IDEAL_UPPER,283.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,283.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
EQ5_IDEAL_UPPER,283.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,338.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
EQ5_IDEAL_UPPER,338.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
