f,zs,L,window,r0,n,status
201.0,180.0,2400.0,250.0,50000.0,1287,OK
201.0,190.0,2400.0,250.0,50000.0,1287,OK
201.0,200.0,2400.0,250.0,50000.0,1287,OK
201.0,210.0,2400.0,250.0,50000.0,1287,OK
201.0,220.0,2400.0,250.0,50000.0,1287,OK
235.0,180.0,2400.0,250.0,50000.0,1505,OK
235.0,190.0,2400.0,250.0,50000.0,1505,OK
235.0,200.0,2400.0,250.0,50000.0,1505,OK
235.0,210.0,2400.0,250.0,50000.0,1505,OK
235.0,220.0,2400.0,250.0,50000.0,1505,OK
283.0,180.0,2400.0,250.0,50000.0,1812,OK
283.0,190.0,2400.0,250.0,50000.0,1812,OK
283.0,200.0,2400.0,250.0,50000.0,1812,OK
283.0,210.0,2400.0,250.0,50000.0,1812,OK
283.0,220.0,2400.0,250.0,50000.0,1812,OK
338.0,180.0,2400.0,250.0,50000.0,2164,OK
338.0,190.0,2400.0,250.0,50000.0,2164,OK
338.0,200.0,2400.0,250.0,50000.0,2164,OK
338.0,210.0,2400.0,250.0,50000.0,2164,OK
338.0,220.0,2400.0,250.0,50000.0,2164,OK
201.0,180.0,600.0,250.0,50000.0,322,OK
201.0,190.0,600.0,250.0,50000.0,322,OK
201.0,200.0,600.0,250.0,50000.0,322,OK
201.0,210.0,600.0,250.0,50000.0,322,OK
201.0,220.0,600.0,250.0,50000.0,322,OK
235.0,180.0,600.0,250.0,50000.0,377,OK
235.0,190.0,600.0,250.0,50000.0,377,OK
235.0,200.0,600.0,250.0,50000.0,377,OK
235.0,210.0,600.0,250.0,50000.0,377,OK
235.0,220.0,600.0,250.0,50000.0,377,OK
283.0,180.0,600.0,250.0,50000.0,453,OK
283.0,190.0,600.0,250.0,50000.0,453,OK
283.0,200.0,600.0,250.0,50000.0,453,OK
283.0,210.0,600.0,250.0,50000.0,453,OK
283.0,220.0,600.0,250.0,50000.0,453,OK
338.0,180.0,600.0,250.0,50000.0,541,OK
338.0,190.0,600.0,250.0,50000.0,541,OK
338.0,200.0,600.0,250.0,50000.0,541,OK
338.0,210.0,600.0,250.0,50000.0,541,OK
338.0,220.0,600.0,250.0,50000.0,541,OK
201.0,180.0,1200.0,250.0,50000.0,644,OK
201.0,190.0,1200.0,250.0,50000.0,644,OK
201.0,200.0,1200.0,250.0,50000.0,644,OK
201.0,210.0,1200.0,250.0,50000.0,644,OK
201.0,220.0,1200.0,250.0,50000.0,644,OK
235.0,180.0,1200.0,250.0,50000.0,753,OK
235.0,190.0,1200.0,250.0,50000.0,753,OK
235.0,200.0,1200.0,250.0,50000.0,753,OK
235.0,210.0,1200.0,250.0,50000.0,753,OK
235.0,220.0,1200.0,250.0,50000.0,753,OK
283.0,180.0,1200.0,250.0,50000.0,906,OK
283.0,190.0,1200.0,250.0,50000.0,906,OK
283.0,200.0,1200.0,250.0,50000.0,906,OK
283.0,210.0,1200.0,250.0,50000.0,906,OK
283.0,220.0,1200.0,250.0,50000.0,906,OK
338.0,180.0,1200.0,250.0,50000.0,1082,OK
338.0,190.0,1200.0,250.0,50000.0,1082,OK
338.0,200.0,1200.0,250.0,50000.0,1082,OK
338.0,210.0,1200.0,250.0,50000.0,1082,OK
338.0,220.0,1200.0,250.0,50000.0,1082,OK
201.0,200.0,2400.0,100.0,50000.0,1287,OK
235.0,200.0,2400.0,100.0,50000.0,1505,OK
283.0,200.0,2400.0,100.0,50000.0,1812,OK
338.0,200.0,2400.0,100.0,50000.0,2164,OK
201.0,200.0,2400.0,250.0,50000.0,1287,OK
235.0,200.0,2400.0,250.0,50000.0,1505,OK
283.0,200.0,2400.0,250.0,50000.0,1812,OK
338.0,200.0,2400.0,250.0,50000.0,2164,OK
201.0,200.0,2400.0,500.0,50000.0,1287,OK
235.0,200.0,2400.0,500.0,50000.0,1505,OK
283.0,200.0,2400.0,500.0,50000.0,1812,OK
338.0,200.0,2400.0,500.0,50000.0,2164,OK
201.0,200.0,2400.0,0.0,50000.0,1287,OK
235.0,200.0,2400.0,0.0,50000.0,1505,OK
283.0,200.0,2400.0,0.0,50000.0,1812,OK
338.0,200.0,2400.0,0.0,50000.0,2164,OK
201.0,200.0,2400.0,100.0,50000.0,1287,OK
235.0,200.0,2400.0,100.0,50000.0,1505,OK
283.0,200.0,2400.0,100.0,50000.0,1812,OK
338.0,200.0,2400.0,100.0,50000.0,2164,OK
201.0,200.0,2400.0,250.0,50000.0,1287,OK
235.0,200.0,2400.0,250.0,50000.0,1505,OK
283.0,200.0,2400.0,250.0,50000.0,1812,OK
338.0,200.0,2400.0,250.0,50000.0,2164,OK
201.0,200.0,2400.0,500.0,50000.0,1287,OK
235.0,200.0,2400.0,500.0,50000.0,1505,OK
283.0,200.0,2400.0,500.0,50000.0,1812,OK
338.0,200.0,2400.0,500.0,50000.0,2164,OK
201.0,200.0,2400.0,0.0,50000.0,1287,OK
235.0,200.0,2400.0,0.0,50000.0,1505,OK
283.0,200.0,2400.0,0.0,50000.0,1812,OK
338.0,200.0,2400.0,0.0,50000.0,2164,OK
201.0,200.0,2400.0,100.0,50000.0,1287,OK
235.0,200.0,2400.0,100.0,50000.0,1505,OK
283.0,200.0,2400.0,100.0,50000.0,1812,OK
338.0,200.0,2400.0,100.0,50000.0,2164,OK
201.0,200.0,2400.0,250.0,50000.0,1287,OK
235.0,200.0,2400.0,250.0,50000.0,1505,OK
283.0,200.0,2400.0,250.0,50000.0,1812,OK
338.0,200.0,2400.0,250.0,50000.0,2164,OK
201.0,200.0,2400.0,500.0,50000.0,1287,OK
235.0,200.0,2400.0,500.0,50000.0,1505,OK
283.0,200.0,2400.0,500.0,50000.0,1812,OK
338.0,200.0,2400.0,500.0,50000.0,2164,OK
201.0,200.0,2400.0,0.0,50000.0,1287,OK
235.0,200.0,2400.0,0.0,50000.0,1505,OK
283.0,200.0,2400.0,0.0,50000.0,1812,OK
338.0,200.0,2400.0,0.0,50000.0,2164,OK
201.0,200.0,2400.0,100.0,50000.0,1287,OK
235.0,200.0,2400.0,100.0,50000.0,1505,OK
283.0,200.0,2400.0,100.0,50000.0,1812,OK
338.0,200.0,2400.0,100.0,50000.0,2164,OK
201.0,200.0,2400.0,250.0,50000.0,1287,OK
235.0,200.0,2400.0,250.0,50000.0,1505,OK
283.0,200.0,2400.0,250.0,50000.0,1812,OK
338.0,200.0,2400.0,250.0,50000.0,2164,OK
201.0,200.0,2400.0,500.0,50000.0,1287,OK
235.0,200.0,2400.0,500.0,50000.0,1505,OK
283.0,200.0,2400.0,500.0,50000.0,1812,OK
338.0,200.0,2400.0,500.0,50000.0,2164,OK
201.0,200.0,2400.0,0.0,50000.0,1287,OK
235.0,200.0,2400.0,0.0,50000.0,1505,OK
283.0,200.0,2400.0,0.0,50000.0,1812,OK
338.0,200.0,2400.0,0.0,50000.0,2164,OK
201.0,200.0,2400.0,250.0,47500.0,1287,OK
235.0,200.0,2400.0,250.0,47500.0,1505,OK
283.0,200.0,2400.0,250.0,47500.0,1812,OK
338.0,200.0,2400.0,250.0,47500.0,2164,OK
201.0,200.0,2400.0,250.0,55000.0,1287,OK
235.0,200.0,2400.0,250.0,55000.0,1505,OK
283.0,200.0,2400.0,250.0,55000.0,1812,OK
338.0,200.0,2400.0,250.0,55000.0,2164,OK
