f,zs,Delta_ratio,n_energetic_modes,z_hat,abs_error,D_true_over_Dmax,margin_10m,margin_20m
201.0,180.0,0.05,426,180.0,0.0,1.0,21.323675957363463,1119.7546924773444
201.0,180.0,0.1,426,180.0,0.0,1.0,25.288479382407004,1198.7329863347334
201.0,180.0,0.2,426,180.0,0.0,1.0,45.08751413338265,1843.6581827602565
201.0,190.0,0.05,424,190.0,0.0,1.0,14.683382982863838,38.61991813949693
201.0,190.0,0.1,424,190.0,0.0,1.0,15.658022050571157,23.12298769548339
201.0,190.0,0.2,424,190.0,0.0,1.0,22.634589311363012,11.956484889608186
201.0,200.0,0.05,432,200.0,0.0,1.0,20.244832191702844,2092.949014950629
201.0,200.0,0.1,432,200.0,0.0,1.0,23.16912018863688,3067.607739966679
201.0,200.0,0.2,432,200.0,0.0,1.0,37.83790126835385,8994.550781980332
201.0,210.0,0.05,428,210.0,0.0,1.0,15.528968797554986,34.074031376983356
201.0,210.0,0.1,428,210.0,0.0,1.0,16.540100381388612,21.21082592203216
201.0,210.0,0.2,428,210.0,0.0,1.0,23.901590922920775,11.342626715858575
201.0,220.0,0.05,428,220.0,0.0,1.0,23.450042256922774,2061.2312079457174
201.0,220.0,0.1,428,220.0,0.0,1.0,28.170799610763265,2617.384893976622
201.0,220.0,0.2,428,220.0,0.0,1.0,51.95074675448059,4921.088507594652
235.0,180.0,0.05,476,180.0,0.0,1.0,53.66376694686147,71.18976143229754
235.0,180.0,0.1,476,180.0,0.0,1.0,60.79112996641238,71.68469289937444
235.0,180.0,0.2,476,180.0,0.0,1.0,100.53638835877672,88.73584351598413
235.0,190.0,0.05,488,190.0,0.0,1.0,31.160646035946485,72.68084049470734
235.0,190.0,0.1,488,190.0,0.0,1.0,32.84496521304019,62.348061269303486
235.0,190.0,0.2,488,190.0,0.0,1.0,46.63710030712668,18.66304436083277
235.0,200.0,0.05,499,200.0,0.0,1.0,47.05641301160366,96.47851501112429
235.0,200.0,0.1,499,200.0,0.0,1.0,53.857321146112014,105.8494602399128
235.0,200.0,0.2,499,200.0,0.0,1.0,87.10746079310671,149.48060177392614
235.0,210.0,0.05,489,210.0,0.0,1.0,33.59755660048994,78.08342927243864
235.0,210.0,0.1,489,210.0,0.0,1.0,35.17092537586276,68.21329289888442
235.0,210.0,0.2,489,210.0,0.0,1.0,49.71741842508651,19.4567175259078
235.0,220.0,0.05,471,220.0,0.0,1.0,52.3878052911233,75.15399365264146
235.0,220.0,0.1,471,220.0,0.0,1.0,60.05017882789182,75.56732591179869
235.0,220.0,0.2,471,220.0,0.0,1.0,99.41997059950894,92.43267066885832
283.0,180.0,0.05,583,180.0,0.0,1.0,620.4007065428416,295.9094008537225
283.0,180.0,0.1,583,180.0,0.0,1.0,574.8340880458791,255.6743104412385
283.0,180.0,0.2,583,180.0,0.0,1.0,419.92588014002786,166.687979989334
283.0,190.0,0.05,542,190.0,0.0,1.0,352.1639686248252,20.128313963325766
283.0,190.0,0.1,542,190.0,0.0,1.0,375.60445175772645,13.092138133429712
283.0,190.0,0.2,542,190.0,0.0,1.0,397.22998105259444,7.39050783236605
283.0,200.0,0.05,595,200.0,0.0,1.0,740.2302147199232,606.2858012784005
283.0,200.0,0.1,595,200.0,0.0,1.0,788.0828979142663,475.6418794877535
283.0,200.0,0.2,595,200.0,0.0,1.0,804.4581704368068,280.38269360917417
283.0,210.0,0.05,543,210.0,0.0,1.0,412.14624930257673,20.190549855132772
283.0,210.0,0.1,543,210.0,0.0,1.0,395.06112900418174,13.062552459876255
283.0,210.0,0.2,543,210.0,0.0,1.0,387.0788063896013,7.366801311978982
283.0,220.0,0.05,588,220.0,0.0,1.0,572.2175098642372,336.20312200217995
283.0,220.0,0.1,588,220.0,0.0,1.0,487.52482839949596,262.32657193854345
283.0,220.0,0.2,588,220.0,0.0,1.0,358.31178553027615,172.5029282031551
338.0,180.0,0.05,661,180.0,0.0,1.0,63.78236935377036,1117.2235167509389
338.0,180.0,0.1,661,180.0,0.0,1.0,71.34855948382521,1189.8341381029647
338.0,180.0,0.2,661,180.0,0.0,1.0,91.57672468105159,1355.491331423938
338.0,190.0,0.05,656,190.0,0.0,1.0,44.25961031999099,27.040481865256613
338.0,190.0,0.1,656,190.0,0.0,1.0,46.65065029298306,17.15988870462727
338.0,190.0,0.2,656,190.0,0.0,1.0,58.04957351795604,9.513204744259026
338.0,200.0,0.05,691,200.0,0.0,1.0,56.90582280292697,2253.2469267169595
338.0,200.0,0.1,691,200.0,0.0,1.0,64.5313353488633,2506.47100232701
338.0,200.0,0.2,691,200.0,0.0,1.0,89.85446327247173,2722.4934423278746
338.0,210.0,0.05,663,210.0,0.0,1.0,40.19118074002316,27.460787299027597
338.0,210.0,0.1,663,210.0,0.0,1.0,43.05245366657704,17.304752837881104
338.0,210.0,0.2,663,210.0,0.0,1.0,54.23083201648528,9.58760759081737
338.0,220.0,0.05,659,220.0,0.0,1.0,70.31876251630703,1318.389334725276
338.0,220.0,0.1,659,220.0,0.0,1.0,74.30504630147202,1295.0731973036052
338.0,220.0,0.2,659,220.0,0.0,1.0,90.76952743805928,1579.0497247030987
