f_hz,dr,n_peaks,n_unique_modes,status
201.0,1.8656716417910448,18,0,OK
201.0,0.9328358208955224,18,0,OK
235.0,1.5957446808510638,17,0,OK
235.0,0.7978723404255319,17,0,OK
283.0,1.325088339222615,18,0,OK
283.0,0.6625441696113075,18,0,OK
338.0,1.1094674556213018,16,0,OK
338.0,0.5547337278106509,16,0,OK
