slice,r_km,v,J_cz,z
rv,46.0,1.3,4092.498423932255,
rv,46.0,1.4166666666666667,4092.6555032214023,
rv,46.0,1.5333333333333334,4092.7774501918207,
rv,46.0,1.6500000000000001,4092.3990653335477,
rv,46.0,1.7666666666666668,4083.7847233986436,
rv,46.0,1.8833333333333333,3906.2155227247326,
rv,46.0,2.0,4287.172638898896,
rv,46.0,2.1166666666666667,4140.6752328365155,
rv,46.0,2.2333333333333334,4116.634410954994,
rv,46.0,2.35,4113.546540934326,
rv,46.0,2.466666666666667,4112.281014377648,
rv,46.0,2.5833333333333335,4111.583807037251,
rv,46.0,2.7,4111.14075580271,
rv,47.0,1.3,4092.7670642100775,
rv,47.0,1.4166666666666667,4093.0547168760204,
rv,47.0,1.5333333333333334,4093.4362842205046,
rv,47.0,1.6500000000000001,4093.8704805076595,
rv,47.0,1.7666666666666668,4093.1853309667426,
rv,47.0,1.8833333333333333,3983.11066092323,
rv,47.0,2.0,4312.345701011193,
rv,47.0,2.1166666666666667,4281.464503624181,
rv,47.0,2.2333333333333334,4274.275338800788,
rv,47.0,2.35,4243.776029493817,
rv,47.0,2.466666666666667,4184.964717190882,
rv,47.0,2.5833333333333335,4152.151711912919,
rv,47.0,2.7,4138.537982148028,
rv,48.0,1.3,4363.0638382371835,
rv,48.0,1.4166666666666667,4368.643004961417,
rv,48.0,1.5333333333333334,4392.490248375301,
rv,48.0,1.6500000000000001,4498.03033147323,
rv,48.0,1.7666666666666668,4522.766195250241,
rv,48.0,1.8833333333333333,4499.7834908290115,
rv,48.0,2.0,4308.380775786387,
rv,48.0,2.1166666666666667,3848.4120522668295,
rv,48.0,2.2333333333333334,3846.580861501204,
rv,48.0,2.35,3845.7581453391526,
rv,48.0,2.466666666666667,3845.2872731693237,
rv,48.0,2.5833333333333335,3844.981994608008,
rv,48.0,2.7,3844.7680487126245,
rv,49.0,1.3,4357.933056310911,
rv,49.0,1.4166666666666667,4358.101503704431,
rv,49.0,1.5333333333333334,4358.370790890475,
rv,49.0,1.6500000000000001,4358.859556020363,
rv,49.0,1.7666666666666668,4359.975360130874,
rv,49.0,1.8833333333333333,4363.085833824438,
rv,49.0,2.0,4306.643111422441,
rv,49.0,2.1166666666666667,3842.204041597415,
rv,49.0,2.2333333333333334,3843.0586316042777,
rv,49.0,2.35,3843.027597953311,
rv,49.0,2.466666666666667,3842.955158293224,
rv,49.0,2.5833333333333335,3842.891431266607,
rv,49.0,2.7,3842.838520203338,
rv,50.0,1.3,4357.577407177701,
rv,50.0,1.4166666666666667,4357.590782405913,
rv,50.0,1.5333333333333334,4357.610852725225,
rv,50.0,1.6500000000000001,4357.645439804539,
rv,50.0,1.7666666666666668,4357.700874376155,
rv,50.0,1.8833333333333333,4356.4874691227715,
rv,50.0,2.0,4309.671187420053,
rv,50.0,2.1166666666666667,3837.021748161833,
rv,50.0,2.2333333333333334,3840.6028045272715,
rv,50.0,2.35,3841.2741977362584,
rv,50.0,2.466666666666667,3841.5280245520858,
rv,50.0,2.5833333333333335,3841.6515004893417,
rv,50.0,2.7,3841.718597566517,
rv,51.0,1.3,4357.335070286759,
rv,51.0,1.4166666666666667,4357.250151893186,
rv,51.0,1.5333333333333334,4357.121194162623,
rv,51.0,1.6500000000000001,4356.910898260269,
rv,51.0,1.7666666666666668,4356.51345142819,
rv,51.0,1.8833333333333333,4354.971927131673,
rv,51.0,2.0,4318.235263964257,
rv,51.0,2.1166666666666667,3828.423990608809,
rv,51.0,2.2333333333333334,3837.3991423055786,
rv,51.0,2.35,3839.153299645289,
rv,51.0,2.466666666666667,3839.8641264765756,
rv,51.0,2.5833333333333335,3840.2364719739926,
rv,51.0,2.7,3840.4579297297264,
rv,52.0,1.3,4357.04290352082,
rv,52.0,1.4166666666666667,4356.844216151841,
rv,52.0,1.5333333333333334,4356.54801248863,
rv,52.0,1.6500000000000001,4356.076216204732,
rv,52.0,1.7666666666666668,4355.234710891841,
rv,52.0,1.8833333333333333,4353.165261657475,
rv,52.0,2.0,4326.787863323393,
rv,52.0,2.1166666666666667,3800.5586177536384,
rv,52.0,2.2333333333333334,3830.323589867441,
rv,52.0,2.35,3834.938878567244,
rv,52.0,2.466666666666667,3836.712972062052,
rv,52.0,2.5833333333333335,3837.6277598502766,
rv,52.0,2.7,3838.172477368111,
rv,53.0,1.3,4356.52353656369,
rv,53.0,1.4166666666666667,4356.13748888971,
