slice,r_km,v,J_cz,z
rz,46.0,,4299.328443063257,170.0
rz,46.0,,4299.328443063257,175.0
rz,46.0,,4299.328443063257,180.0
rz,46.0,,4299.328443063257,185.0
rz,46.0,,4299.328443063257,190.0
rz,46.0,,4287.172638898896,195.0
rz,46.0,,4287.172638898896,200.0
rz,46.0,,4287.172638898896,205.0
rz,46.0,,4287.172638898896,210.0
rz,46.0,,4313.074347121728,215.0
rz,46.0,,4313.074347121728,220.0
rz,46.0,,4313.074347121728,225.0
rz,46.0,,4313.074347121728,230.0
rz,47.0,,4307.77724209506,170.0
rz,47.0,,4307.77724209506,175.0
rz,47.0,,4307.77724209506,180.0
rz,47.0,,4307.77724209506,185.0
rz,47.0,,4307.77724209506,190.0
rz,47.0,,4312.345701011193,195.0
rz,47.0,,4312.345701011193,200.0
rz,47.0,,4312.345701011193,205.0
rz,47.0,,4312.345701011193,210.0
rz,47.0,,4307.201456201085,215.0
rz,47.0,,4307.201456201085,220.0
rz,47.0,,4307.201456201085,225.0
rz,47.0,,4307.201456201085,230.0
rz,48.0,,4311.965409952057,170.0
rz,48.0,,4311.965409952057,175.0
rz,48.0,,4311.965409952057,180.0
rz,48.0,,4311.965409952057,185.0
rz,48.0,,4311.965409952057,190.0
rz,48.0,,4308.380775786387,195.0
rz,48.0,,4308.380775786387,200.0
rz,48.0,,4308.380775786387,205.0
rz,48.0,,4308.380775786387,210.0
rz,48.0,,4307.724183110522,215.0
rz,48.0,,4307.724183110522,220.0
rz,48.0,,4307.724183110522,225.0
rz,48.0,,4307.724183110522,230.0
rz,49.0,,4308.269831185267,170.0
rz,49.0,,4308.269831185267,175.0
rz,49.0,,4308.269831185267,180.0
rz,49.0,,4308.269831185267,185.0
rz,49.0,,4308.269831185267,190.0
rz,49.0,,4306.643111422441,195.0
rz,49.0,,4306.643111422441,200.0
rz,49.0,,4306.643111422441,205.0
rz,49.0,,4306.643111422441,210.0
rz,49.0,,4317.738938201568,215.0
rz,49.0,,4317.738938201568,220.0
rz,49.0,,4317.738938201568,225.0
rz,49.0,,4317.738938201568,230.0
rz,50.0,,4306.706432284198,170.0
rz,50.0,,4306.706432284198,175.0
rz,50.0,,4306.706432284198,180.0
rz,50.0,,4306.706432284198,185.0
rz,50.0,,4306.706432284198,190.0
rz,50.0,,4309.671187420053,195.0
rz,50.0,,4309.671187420053,200.0
rz,50.0,,4309.671187420053,205.0
rz,50.0,,4309.671187420053,210.0
rz,50.0,,4340.379502999923,215.0
rz,50.0,,4340.379502999923,220.0
rz,50.0,,4340.379502999923,225.0
rz,50.0,,4340.379502999923,230.0
rz,51.0,,4308.613308897515,170.0
rz,51.0,,4308.613308897515,175.0
rz,51.0,,4308.613308897515,180.0
rz,51.0,,4308.613308897515,185.0
rz,51.0,,4308.613308897515,190.0
rz,51.0,,4318.235263964257,195.0
rz,51.0,,4318.235263964257,200.0
rz,51.0,,4318.235263964257,205.0
rz,51.0,,4318.235263964257,210.0
rz,51.0,,4310.848693926344,215.0
rz,51.0,,4310.848693926344,220.0
rz,51.0,,4310.848693926344,225.0
rz,51.0,,4310.848693926344,230.0
rz,52.0,,4314.19522252148,170.0
rz,52.0,,4314.19522252148,175.0
rz,52.0,,4314.19522252148,180.0
rz,52.0,,4314.19522252148,185.0
rz,52.0,,4314.19522252148,190.0
rz,52.0,,4326.787863323393,195.0
rz,52.0,,4326.787863323393,200.0
rz,52.0,,4326.787863323393,205.0
rz,52.0,,4326.787863323393,210.0
rz,52.0,,4288.064086675646,215.0
rz,52.0,,4288.064086675646,220.0
rz,52.0,,4288.064086675646,225.0
rz,52.0,,4288.064086675646,230.0
rz,53.0,,4320.395684500132,170.0
rz,53.0,,4320.395684500132,175.0
rz,53.0,,4320.395684500132,180.0
rz,53.0,,4320.395684500132,185.0
rz,53.0,,4320.395684500132,190.0
rz,53.0,,4301.831001424645,195.0
rz,53.0,,4301.831001424645,200.0
rz,53.0,,4301.831001424645,205.0
rz,53.0,,4301.831001424645,210.0
rz,53.0,,4274.100360696446,215.0
rz,53.0,,4274.100360696446,220.0
rz,53.0,,4274.100360696446,225.0
rz,53.0,,4274.100360696446,230.0
rz,54.0,,4307.031608638345,170.0
rz,54.0,,4307.031608638345,175.0
rz,54.0,,4307.031608638345,180.0
rz,54.0,,4307.031608638345,185.0
rz,54.0,,4307.031608638345,190.0
rz,54.0,,4286.912139089261,195.0
rz,54.0,,4286.912139089261,200.0
rz,54.0,,4286.912139089261,205.0
rz,54.0,,4286.912139089261,210.0
rz,54.0,,4260.964476567115,215.0
rz,54.0,,4260.964476567115,220.0
rz,54.0,,4260.964476567115,225.0
rz,54.0,,4260.964476567115,230.0
rz,55.0,,4291.051505379379,170.0
rz,55.0,,4291.051505379379,175.0
rz,55.0,,4291.051505379379,180.0
rz,55.0,,4291.051505379379,185.0
rz,55.0,,4291.051505379379,190.0
rz,55.0,,4283.537114362818,195.0
rz,55.0,,4283.537114362818,200.0
rz,55.0,,4283.537114362818,205.0
rz,55.0,,4283.537114362818,210.0
rz,55.0,,4277.7694230491925,215.0
rz,55.0,,4277.7694230491925,220.0
rz,55.0,,4277.7694230491925,225.0
rz,55.0,,4277.7694230491925,230.0
rz,56.0,,4287.431650561752,170.0
rz,56.0,,4287.431650561752,175.0
rz,56.0,,4287.431650561752,180.0
rz,56.0,,4287.431650561752,185.0
rz,56.0,,4287.431650561752,190.0
rz,56.0,,4285.859970018253,195.0
rz,56.0,,4285.859970018253,200.0
rz,56.0,,4285.859970018253,205.0
rz,56.0,,4285.859970018253,210.0
rz,56.0,,4295.629288175359,215.0
rz,56.0,,4295.629288175359,220.0
rz,56.0,,4295.629288175359,225.0
rz,56.0,,4295.629288175359,230.0
rz,57.0,,4288.1241379829835,170.0
rz,57.0,,4288.1241379829835,175.0
rz,57.0,,4288.1241379829835,180.0
rz,57.0,,4288.1241379829835,185.0
rz,57.0,,4288.1241379829835,190.0
rz,57.0,,4290.540499428198,195.0
rz,57.0,,4290.540499428198,200.0
rz,57.0,,4290.540499428198,205.0
rz,57.0,,4290.540499428198,210.0
rz,57.0,,4322.099725575562,215.0
rz,57.0,,4322.099725575562,220.0
rz,57.0,,4322.099725575562,225.0
rz,57.0,,4322.099725575562,230.0
rz,58.0,,4290.121745049787,170.0
rz,58.0,,4290.121745049787,175.0
rz,58.0,,4290.121745049787,180.0
rz,58.0,,4290.121745049787,185.0
rz,58.0,,4290.121745049787,190.0
rz,58.0,,4293.656196437268,195.0
rz,58.0,,4293.656196437268,200.0
rz,58.0,,4293.656196437268,205.0
rz,58.0,,4293.656196437268,210.0
rz,58.0,,4453.821210255943,215.0
rz,58.0,,4453.821210255943,220.0
rz,58.0,,4453.821210255943,225.0
rz,58.0,,4453.821210255943,230.0
