scenario,n_RC1_prior,n_RC2,n_RC2_RC3,reject_RC2_to_RC3
C-L,48400,4400.0,5.0,0.9988636363636364
C-M,48400,3135.0,29.0,0.990749601275917
C-U,48400,445.0,5122.0,-10.510112359550561
