source,snr_db,layer,T_s,sigma_deg,turn_deg,n_acc,w_r_km,w_v_mps,w_theta_deg,w_psi_deg,contr_r,contr_v,contr_theta,contr_psi,retain_r,retain_v,unresolved_r,unresolved_v,stage_reject_rate,ten_pct_r,ten_pct_v
S0,20,RC2,600.0,0.1,0.0,3030.0,15.0,2.0,0.0,27.0,0.0,0.0,1.0,0.09999999999999987,1.0,1.0,1.0,1.0,,1.0,0.0
S0,20,RC2+RC3,600.0,0.1,0.0,4625.0,15.0,2.0,2.0,29.999999999999996,0.0,0.0,0.8,0.0,1.0,1.0,1.0,1.0,-0.5264026402640265,1.0,1.0
S0,10,RC2,600.0,0.1,0.0,2950.0,15.0,2.0,0.0,27.0,0.0,0.0,1.0,0.09999999999999987,1.0,1.0,1.0,1.0,,1.0,0.0
S0,10,RC2+RC3,600.0,0.1,0.0,117.0,10.0,2.0,2.0,29.999999999999996,0.33333333333333337,0.0,0.8,0.0,1.0,1.0,0.0,1.0,0.9603389830508474,1.0,1.0
S0,0,RC2,600.0,0.1,0.0,3155.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S0,0,RC2+RC3,600.0,0.1,0.0,21.0,3.0,0.0,4.0,29.999999999999996,0.8,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9933438985736925,1.0,1.0
S0,-10,RC2,600.0,0.1,0.0,3050.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S0,-10,RC2+RC3,600.0,0.1,0.0,17.0,3.0,0.0,4.0,29.999999999999996,0.8,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9944262295081967,1.0,1.0
S1,20,RC2,600.0,0.1,0.0,3140.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S1,20,RC2+RC3,600.0,0.1,0.0,1352.0,15.0,2.0,2.0,29.999999999999996,0.0,0.0,0.8,0.0,1.0,1.0,1.0,1.0,0.5694267515923567,1.0,1.0
S1,10,RC2,600.0,0.1,0.0,3185.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S1,10,RC2+RC3,600.0,0.1,0.0,33.0,4.0,0.0,4.0,29.999999999999996,0.7333333333333334,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.9896389324960754,1.0,1.0
S1,0,RC2,600.0,0.1,0.0,3180.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S1,0,RC2+RC3,600.0,0.1,0.0,5.0,0.0,0.0,4.0,29.999999999999996,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9984276729559748,1.0,1.0
S1,-10,RC2,600.0,0.1,0.0,3200.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S1,-10,RC2+RC3,600.0,0.1,0.0,5.0,0.0,0.0,4.0,29.999999999999996,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9984375,1.0,1.0
S2,20,RC2,600.0,0.1,0.0,3285.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S2,20,RC2+RC3,600.0,0.1,0.0,1112.0,15.0,2.0,2.0,29.999999999999996,0.0,0.0,0.8,0.0,1.0,1.0,1.0,1.0,0.6614916286149163,1.0,1.0
S2,10,RC2,600.0,0.1,0.0,3195.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S2,10,RC2+RC3,600.0,0.1,0.0,9.0,2.0,0.0,4.0,29.999999999999996,0.8666666666666667,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9971830985915493,1.0,1.0
S2,0,RC2,600.0,0.1,0.0,2980.0,15.0,2.0,0.0,27.0,0.0,0.0,1.0,0.09999999999999987,1.0,1.0,1.0,1.0,,1.0,0.0
S2,0,RC2+RC3,600.0,0.1,0.0,5.0,0.0,0.0,4.0,29.999999999999996,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9983221476510067,1.0,1.0
S2,-10,RC2,600.0,0.1,0.0,3050.0,15.0,2.0,0.0,29.999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
S2,-10,RC2+RC3,600.0,0.1,0.0,5.0,0.0,0.0,4.0,29.999999999999996,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9983606557377049,1.0,1.0
