scenario,name,sigma_deg,T_s,turn_deg,source,snr_db,layer,w_r_km,std_r_km,contr_r,unresolved_r,ten_pct_r,w_theta_deg,contr_theta,unresolved_theta,w_z_m,contr_z,unresolved_z,w_v_mps,contr_v,unresolved_v,ten_pct_v,w_psi_deg,contr_psi,unresolved_psi,n_acc_rc2,n_acc_rc3,stage_reject_rate,retain_r,retain_theta,retain_z,retain_v,retain_psi,corr_rz
C-L,C-L困难,0.2,300.0,0.0,S1,0.0,RC2+RC3,0.0,0.0,1.0,0.0,1.0,4.0,0.6,0.0,40.0,0.6,0.0,0.0,1.0,0.0,1.0,29.999999999999996,0.0,1.0,4400.0,5.0,0.9988636363636364,0.0,1.0,1.0,0.0,1.0,0.0
C-M,C-M基准,0.1,600.0,5.0,S1,10.0,RC2+RC3,7.0,7.818680134603505e-08,0.5333333333333333,0.0,1.0,3.0000000000000004,0.7,0.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3135.0,29.0,0.990749601275917,1.0,1.0,1.0,0.0,0.0,-0.17509165538919427
C-U,C-U理论上界,0.02,1200.0,15.0,S2,20.0,RC2+RC3,15.0,0.10645631508099916,0.0,1.0,1.0,2.0,0.8,0.0,100.0,0.0,1.0,2.0,0.0,1.0,1.0,29.999999999999996,0.0,1.0,445.0,5122.0,-10.510112359550561,1.0,1.0,1.0,1.0,1.0,0.011246557791470308
