T_s,sigma_deg,layer,source,snr_db,turn_deg,n_acc,w_r_km,w_theta_deg,w_v_mps,w_psi_deg,std_r_km,std_theta_deg,std_v,std_psi_deg,contr_r,contr_theta,contr_v,contr_psi,retain_r,retain_theta,retain_v,retain_psi,unresolved_r,unresolved_theta,unresolved_v,unresolved_psi,ten_pct_r,ten_pct_v,stage_reject_rate
60,0.02,RC2,S1,10.0,0.0,4335.0,15.0,0.0,2.0,29.999999999999996,4.60362029661923,0.0,0.6996194357361624,8.756857113803234,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
60,0.02,RC2+RC3,S1,10.0,0.0,4654.0,15.0,2.0,2.0,29.999999999999996,1.855845039685145,1.375264832836743e-08,0.5967242905316222,10.212577452000005,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.07358708189158025
60,0.05,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.603505578811281,0.0,0.7013569884998601,8.803984176963619,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
60,0.05,RC2+RC3,S1,10.0,0.0,4525.0,15.0,2.0,2.0,29.999999999999996,4.909225001205558,1.3744690376509679e-11,0.9988925091323599,9.30887703475007,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.02840909090909083
60,0.1,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.603390886931465,0.0,0.7012116193079152,8.819109120189966,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
60,0.1,RC2+RC3,S1,10.0,0.0,4412.0,15.0,2.0,2.0,29.999999999999996,3.6836815259140594,1.0688600320645552e-16,0.9432260049503209,9.658971923138642,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.0027272727272726893
60,0.2,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.575520653157545,0.0,0.6014949003791197,4.196510123334001,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
60,0.2,RC2+RC3,S1,10.0,0.0,4585.0,15.0,1.0,2.0,29.999999999999996,4.442614956853277,1.3675816673143697e-09,0.9933731727206037,9.286460614754033,0.0,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.0420454545454545
60,0.5,RC2,S1,10.0,0.0,4435.0,15.0,1.0,2.0,29.999999999999996,2.6829201486627725,8.221688822596643e-154,0.1035745570095512,0.45598392897183837,0.0,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
60,0.5,RC2+RC3,S1,10.0,0.0,4751.0,15.0,1.0,2.0,29.999999999999996,0.025501474165589056,1.2189992059279357e-07,1.868527427405774e-07,0.03428132161776432,0.0,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.07125140924464479
