z_true_m,layer,T_s,sigma_deg,source,snr_db,n_acc,w_z_m,w_r_km,contr_z,contr_r,retain_z,retain_r,unresolved_z,unresolved_r,corr_rz,mean_z,mean_r_km,stage_reject_rate
180,RC2,600.0,0.1,S1,10.0,3120.0,100.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,-2.311044018413669e-19,200.00000000000003,52.13620082457198,
180,RC2+RC3,600.0,0.1,S1,10.0,12.0,70.0,3.0,0.30000000000000004,0.8,1.0,0.0,0.0,0.0,-0.45815000859031274,219.99999999999872,45.000000085078106,0.9961538461538462
200,RC2,600.0,0.1,S1,10.0,3010.0,100.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,199.99999999999997,53.53971509181362,
200,RC2+RC3,600.0,0.1,S1,10.0,31.0,100.0,4.0,0.0,0.7333333333333334,1.0,1.0,1.0,0.0,-0.3099680598477632,219.9953240113195,45.00000011111567,0.9897009966777408
220,RC2,600.0,0.1,S1,10.0,3030.0,100.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,200.0,53.417410006726236,
220,RC2+RC3,600.0,0.1,S1,10.0,36.0,100.0,7.0,0.0,0.5333333333333333,1.0,1.0,1.0,0.0,-0.01649171359391207,219.9999740724411,45.00000000025752,0.9881188118811881
