source,snr_db,layer,T_s,sigma_deg,turn_deg,n_RC2,n_RC2_RC3,n_acc,nested_ok,stage_reject_rate,J_bear_min,sig_n2,r_status,r_width,r_contraction,r_unit,theta_status,theta_width,theta_contraction,theta_unit,z_status,z_width,z_contraction,z_unit,v_status,v_width,v_contraction,v_unit,psi_status,psi_width,psi_contraction,psi_unit,retain_r,retain_v,retain_theta,retain_psi,raw_w_r_km,raw_contr_r,raw_w_v_mps,raw_contr_v
S0,20,RC2,600.0,0.1,0.0,975,1,975,True,,58.69605616695648,1.639344262295082e-05,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S0,20,RC2+RC3,600.0,0.1,0.0,975,1,1,True,0.9989743589743589,58.69605616695648,1.639344262295082e-05,OK,0.0,1.0,km,OK,0.0,1.0,deg,UNRESOLVED,,,m,INVALID_NOT_COVERED,,,m/s,OK,0.0,1.0,deg,True,False,True,True,0.0,1.0,0.0,1.0
S0,10,RC2,600.0,0.1,0.0,985,1,985,True,,47.518220851542395,0.0001639344262295082,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S0,10,RC2+RC3,600.0,0.1,0.0,985,1,1,True,0.9989847715736041,47.518220851542395,0.0001639344262295082,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,0.0,1.0,deg,False,False,True,True,0.0,1.0,0.0,1.0
S0,0,RC2,600.0,0.1,0.0,1040,2,1040,True,,50.48241855036541,0.001639344262295082,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S0,0,RC2+RC3,600.0,0.1,0.0,1040,2,2,True,0.9980769230769231,50.48241855036541,0.001639344262295082,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,3.0000000000000004,0.8999999999999999,deg,False,False,True,True,0.0,1.0,0.0,1.0
S0,-10,RC2,600.0,0.1,0.0,1075,1070,1075,True,,64.4337906383591,0.01639344262295082,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S0,-10,RC2+RC3,600.0,0.1,0.0,1075,1070,1070,True,0.0046511627906976605,64.4337906383591,0.01639344262295082,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S1,20,RC2,600.0,0.1,0.0,1070,1,1070,True,,51.82922256536545,3.278688524590164e-05,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S1,20,RC2+RC3,600.0,0.1,0.0,1070,1,1,True,0.9990654205607477,51.82922256536545,3.278688524590164e-05,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,0.0,1.0,deg,False,False,True,True,0.0,1.0,0.0,1.0
