f_hz,zs,n_ranges,c_star_re,c_star_im,complex_corr,normalized_complex_residual,amplitude_shape_residual,phase_rmse_rad,TL_SHAPE_RMS_DB,TL_SHAPE_CORRELATION,gate_ok,status
201.0,180.0,6,-1.0001644976725466,-0.0002105959156975034,0.9999997858091857,0.0006850003091403149,0.0003389000087159793,0.0012927860011299314,0.0026050293895061565,0.9999998678131519,True,OK
201.0,200.0,6,-0.9998245995572749,0.0002816903948119341,0.9999996341178653,0.000793329366326129,0.0007487046749440489,0.0005424851796620959,0.011065622718587782,0.9999983032921564,True,OK
201.0,220.0,6,-1.0001741097693744,-0.0001215258818853822,0.999999606310682,0.0009167758598316479,0.00033462906993060446,0.0013622218500615425,0.0034787692866910126,0.999999279866461,True,OK
235.0,180.0,6,-0.999772458073982,-5.486552352881193e-05,0.9999994079770695,0.0011088658371839512,0.0010416919892012315,0.0006491096404472724,0.013126355459605653,0.9999948722018273,True,OK
235.0,200.0,6,-1.0002242027853034,-4.899565490769907e-05,0.9999994755802448,0.001000905410564579,0.0007058164853648229,0.001122992971518319,0.006848830806104837,0.9999995075746472,True,OK
235.0,220.0,6,-1.0001017483511736,6.026661785905565e-05,0.999999845413174,0.0005296171020079192,0.00010145982161273758,0.0006450138192907368,0.0009880177390605735,0.9999998601726847,True,OK
283.0,180.0,6,-0.9999221451663887,-0.00018872206075406606,0.9999993747493282,0.001104573876463281,0.0008690264983717831,0.0007800243084949904,0.00822749912068562,0.9999968706309617,True,OK
283.0,200.0,6,-1.0001883787530799,-0.000632208321082699,0.9999996959201843,0.0008427566578851152,0.0003817349003406841,0.0010237389659302585,0.0033341538584508103,0.9999991192710365,True,OK
283.0,220.0,6,-0.9999767711664627,-0.00020062293244838,0.9999997267320953,0.0007840942645467142,0.0006155227640020858,0.0019471653458728812,0.017109558547569927,0.9999985980453461,True,OK
338.0,180.0,6,-0.9995484164856243,-0.0005302669031574038,0.9999983204729018,0.0018415888177753508,0.0009712207677652287,0.0021689343401289063,0.00925870679987458,0.999990738672767,True,OK
338.0,200.0,6,-1.0006038001851911,0.0003151880883689285,0.9999987268185963,0.0016051842921562763,0.0009698469929631288,0.002489885250494238,0.01594875081219061,0.9999979635518159,True,OK
338.0,220.0,6,-1.0007886240408557,0.0007363953927749043,0.9999996226363703,0.0008454583079217519,0.0004999737790209953,0.0008309917694865444,0.009298933626269946,0.9999995715976298,True,OK
