span,zs,snr,method,role,N_DETECTED_PEAKS,N_UNIQUE_MODE_IDS,N_ORACLE_AMBIGUOUS,N_CORRECT,MODE_ORDER_RECOVERY_RATE,median_k_err,max_k_err,eq24_cost
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,6,4,2,4,1.0,0.0012442733845520193,0.0033402250881957585,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,4,3,1,3,1.0,0.0010849016387939336,0.0033402250881957585,4.432625949097076e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,13,13,0,13,1.0,2.9212273559675594e-05,0.00014904968505868865,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,5,5,0,5,1.0,3.4534911804273705e-05,0.00014904968505868865,2.565275034385174e-08
sufficient_4990m,4.0,R0_NOISELESS,SAB_FOURIER,BASELINE,13,13,0,1,0.07692307692307693,0.00015573175898930813,0.00327898360733081,0.04227553168850954
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.0024500196850585354,0.0024500196850585354,6.002596457174325e-06
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.0024500196850585354,0.0024500196850585354,6.002596457174325e-06
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,7,7,0,4,0.5714285714285714,0.0025410618585204325,0.021126258878479076,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,0,0,0,0,,,,
sufficient_4990m,4.0,R1_20dB,SAB_FOURIER,BASELINE,14,14,0,1,0.07142857142857142,0.00018132356670241823,0.00327898360733081,0.04823843993166608
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,6,6,0,6,1.0,0.0026643029393005335,0.0048976183612059465,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,2,2,0,2,1.0,0.0016291159559630453,0.002448570790405169,6.6510500473279105e-06
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,11,11,0,11,1.0,3.4534911804273705e-05,0.00038448582550043575,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,6,6,0,6,1.0,3.8973869781466774e-05,0.00038448582550043575,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,SAB_FOURIER,BASELINE,19,19,0,1,0.05263157894736842,0.0002525278495055794,0.006827069758610138,0.16254335586931776
