mode_id,k_true,alpha,phi_zs,phi_zr,BF_real,BF_imag,contrib_r0_abs,contrib_r0_phase
1,1.4869303,5.1303186e-06,(1.460780708839593e-06+0j),(0.1652570217847824+0j),1.0,0.0,6.832947647621982e-09,1.5518180327719229
2,1.4840487,1.9571577e-05,(4.6227842176449485e-06+0j),(-0.14779716730117798+0j),1.0,0.0,1.800663605479854e-08,0.2803047694005934
3,1.4793513,4.0490282e-05,(1.5148876627790742e-05+0j),(-0.024459095671772957+0j),1.0,0.0,8.807585382171285e-09,-1.3182517650275916
4,1.4730875,6.2775856e-05,(6.128408858785406e-05+0j),(0.1608780175447464+0j),1.0,0.0,2.100451013103039e-07,1.788716232547082
5,1.4658368,7.8433884e-05,(0.0002980755816679448+0j),(-0.14358863234519958+0j),1.0,0.0,8.451174620789301e-07,-2.7255512676602693
6,1.4583848,8.693438e-05,(0.001369177014566958+0j),(0.03912881389260292+0j),1.0,0.0,1.0163379473248772e-06,0.05150519592817725
7,1.4506749,9.895706e-05,(0.005364691372960806+0j),(0.06614266335964203+0j),1.0,0.0,6.354774597017808e-06,0.9787959693515127
8,1.4428393,0.00010200184,(0.018900491297245026+0j),(-0.12499737739562988+0j),1.0,0.0,4.178293294735825e-05,-0.605419250429813
9,1.4351579,0.000107794214,(0.051886774599552155+0j),(0.13287705183029175+0j),1.0,0.0,0.0001187647560593141,-2.9624611418114806
10,1.4275851,0.00011048923,(0.10548009723424911+0j),(-0.10133213549852371+0j),1.0,0.0,0.00018213089425208495,0.41959796345482187
11,1.419587,0.000131247,(0.14651545882225037+0j),(0.05038326233625412+0j),1.0,0.0,0.0001136817010928971,-0.35058112542135217
12,1.410491,0.00015819492,(0.16378556191921234+0j),(0.021930528804659843+0j),1.0,0.0,4.848503350293138e-05,1.2382140914937836
13,1.4000682,0.00019080735,(0.16815036535263062+0j),(-0.09568515419960022+0j),1.0,0.0,0.00018513021414812158,0.04949630506751842
14,1.3885791,0.00022713639,(0.16902704536914825+0j),(0.13824816048145294+0j),1.0,0.0,0.00022505800595673338,-2.0807052809699744
15,1.3759696,0.00027562265,(0.16631507873535156+0j),(-0.12958469986915588+0j),1.0,0.0,0.00016354904488647938,1.402538176556376
16,1.362395,0.0003453093,(0.16049836575984955+0j),(0.06921426951885223+0j),1.0,0.0,5.975256230677675e-05,-2.8453457551787906
17,1.3477358,0.0004680486,(0.1503734588623047+0j),(0.020947948098182678+0j),1.0,0.0,9.21073040616679e-06,1.4826364480448553
18,1.3320367,0.00070998666,(0.13728192448616028+0j),(-0.10373317450284958+0j),1.0,0.0,1.246361755231687e-05,1.5949552420433104
19,1.3150353,0.00109388,(0.12080630660057068+0j),(0.14465603232383728+0j),1.0,0.0,2.249300741473712e-06,1.948919785457028
20,1.2967256,0.0014841137,(0.10163841396570206+0j),(-0.1283463090658188+0j),1.0,0.0,2.393485562808242e-07,2.574392005318478
21,1.2770479,0.0018564272,(0.07998836040496826+0j),(0.06317786127328873+0j),1.0,0.0,1.4468264756956482e-08,-2.5125968966865693
22,1.256029,0.002201869,(0.05714283511042595+0j),(0.026290109381079674+0j),1.0,0.0,7.683608165580457e-10,2.260940437204085
23,1.2335798,0.0025485295,(0.03323039785027504+0j),(-0.10642331093549728+0j),1.0,0.0,3.2138830658573254e-10,-1.507220247601907
