span,zs,snr,method,p_tag,k_hat,assigned_mode_id,oracle_mode_id,oracle_status,abs_k_err,eq24_cost
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.50805651,1,1,UNIQUE,0.021126270294189453,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.49808564,2,1,UNIQUE,0.011155366897583008,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,12,13,UNIQUE,3.933906555175781e-06,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.39239436,13,14,UNIQUE,0.003815174102783203,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38855941,14,14,UNIQUE,1.9669532775878906e-05,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.36493611,16,16,UNIQUE,0.002541065216064453,0.0008174161462599796
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.48612059,1,1,UNIQUE,0.0008096694946289062,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.47553612,4,4,UNIQUE,0.002448558807373047,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.45958272,6,6,UNIQUE,0.0011979341506958008,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43227786,9,9,UNIQUE,0.0028799772262573242,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.3969963,13,13,UNIQUE,0.003071904182434082,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37107203,15,15,UNIQUE,0.004897594451904297,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.48612059,1,1,UNIQUE,0.0008096694946289062,6.6510500473279105e-06
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.47553612,4,4,UNIQUE,0.002448558807373047,6.6510500473279105e-06
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48688758,1,1,UNIQUE,4.267692565917969e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48443321,2,2,UNIQUE,0.00038444995880126953,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47308175,4,4,UNIQUE,5.841255187988281e-06,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46587204,5,5,UNIQUE,3.528594970703125e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45835554,6,6,UNIQUE,2.9206275939941406e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45068563,7,7,UNIQUE,1.0728836059570312e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42752252,10,10,UNIQUE,6.258487701416016e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41954582,11,11,UNIQUE,4.124641418457031e-05,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,13,13,UNIQUE,3.933906555175781e-06,1.5925324207975237e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48688758,1,1,UNIQUE,4.267692565917969e-05,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48443321,2,2,UNIQUE,0.00038444995880126953,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47308175,4,4,UNIQUE,5.841255187988281e-06,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46587204,5,5,UNIQUE,3.528594970703125e-05,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,1.5604028757224608e-07
sufficient_4990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42752252,10,10,UNIQUE,6.258487701416016e-05,1.5604028757224608e-07
sufficient_4990m,50.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.48121185,3,3,UNIQUE,0.0018606185913085938,3.4617128370143315e-06
sufficient_4990m,50.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.48121185,3,3,UNIQUE,0.0018606185913085938,3.4617128370143315e-06
