p_tag,p,dr,eps,coef_rel_change,peak_k0,peak_k1,peak_shift,rank,cond,data_model_rank_limit
PRINTED_LITERAL_CONTROL,7,1.885,1e-06,0.42528409046600363,1.410285785,1.410285785,0.0,7,3077716.0224522185,False
PRINTED_LITERAL_CONTROL,7,1.885,0.0001,0.42528408281309205,1.410285785,1.410285785,0.0,7,30777.013837708,False
PRINTED_LITERAL_CONTROL,7,2.5,1e-06,0.3930412242715255,1.41003514,1.41003514,0.0,7,3052118.0980641325,False
PRINTED_LITERAL_CONTROL,7,2.5,0.0001,0.3930412759335382,1.41003514,1.41003514,0.0,7,30521.4470556754,False
OUR_MOVING_SAMPLE_INTERPRETATION,133,1.885,1e-06,234.57142909563944,1.410285785,1.415168483,0.004882698000000074,133,3678569484.0005946,False
OUR_MOVING_SAMPLE_INTERPRETATION,133,1.885,0.0001,234.57134554070763,1.410285785,1.415168483,0.004882698000000074,133,36785737.653225124,False
OUR_MOVING_SAMPLE_INTERPRETATION,133,2.5,1e-06,85.41460819002572,1.41003514,,,133,3302497221.409043,False
OUR_MOVING_SAMPLE_INTERPRETATION,133,2.5,0.0001,85.41451815155808,1.41003514,,,133,33025151.149542082,False
