n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,case,n_true,dr_tag,p_tag,power,power_tag,complete_success,rank,cond
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,2_peak_wide,2,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,2,144507466518144.62
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,2_peak_wide,2,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,2,144507466518144.62
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,2_peak_wide,2,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,2,4.438367412019853e+16
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,2_peak_wide,2,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,2,4.438367412019853e+16
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,2_peak_wide,2,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,2,138383805467808.0
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,2_peak_wide,2,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,2,138383805467808.0
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,2_peak_wide,2,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,2,5.7754425845499816e+16
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,2_peak_wide,2,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,2,5.7754425845499816e+16
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,3_peak_wide,3,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,3,160625624093405.25
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,3_peak_wide,3,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,3,160625624093405.25
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,3_peak_wide,3,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,3,2.529168276640913e+16
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,3_peak_wide,3,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,3,2.529168276640913e+16
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3_peak_wide,3,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,3,107752361368680.62
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3_peak_wide,3,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,3,107752361368680.62
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3_peak_wide,3,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,3,8.226146383652366e+16
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3_peak_wide,3,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,3,8.226146383652366e+16
