env,mechanism,median_delta_J,p10_delta_J,min_delta_J,fraction_tested_dJ_gt_0,fraction_tested_dJ_gt_0p5,median_J_true_star,median_J_alt_star,n
E0_nominal,A,3.761622196011364,1.9067039929068637,1.0633058257760721,1.0,1.0,0.0,3.761622196011364,27
E0_nominal,B,2.6298799214343376,1.334501964356941,1.1385484957850511,1.0,1.0,0.0,2.6298799214343376,30
E0_nominal,C,2.597404001096762,1.3710815604724864,1.327894377116004,1.0,1.0,0.0,2.597404001096762,30
E1_shift50m,A,3.761622196011354,1.9067039929068557,1.0633058257760624,1.0,1.0,1.0048591735576161e-14,3.761622196011364,27
E1_shift50m,B,1.9438430576603172,0.9955028887995998,0.8012111214074804,1.0,1.0,0.34567608575459297,2.4858634169204636,30
E1_shift50m,C,1.7962866924802632,0.7429376490009111,0.3753833579747887,1.0,0.9,0.2441808646607348,2.6634509744036032,30
E2_shift150m_plus2,A,3.761622196011357,1.9067039929068508,1.063305825776055,1.0,1.0,7.105427357601002e-15,3.761622196011364,27
E2_shift150m_plus2,B,1.9692350851167324,0.9817543350085272,0.9338719782223265,1.0,1.0,0.3442930790671223,2.6343862729278067,30
E2_shift150m_plus2,C,1.9599009612543155,0.8982876906367733,0.8120888916307494,1.0,1.0,0.254864068258868,2.6747181381000247,30
