env,f_hz,status,complex_corr,normalized_residual,TL_SHAPE_RMS_DB,TL_SHAPE_CORRELATION,gate_ok
E0_nominal,201.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,REUSE_1F_VALIDATED,,,,,True
E1_shift50m,201.0,OK,0.9999991681505181,0.001259232893549848,0.0057990998141690085,0.9999997784901802,True
E1_shift50m,235.0,OK,0.9999978297947077,0.0020752191531530025,0.013817041253494037,0.9999926591655476,True
E1_shift50m,283.0,OK,0.999998870314615,0.0014982128650547334,0.020204822723142668,0.9999933623897194,True
E1_shift50m,338.0,OK,0.9999982386810689,0.0018834608087188631,0.014556945229665403,0.9999864602423929,True
E2_shift150m_plus2,201.0,OK,0.9999992982797937,0.0011883463777480534,0.0154453838969111,0.9999995222284542,True
E2_shift150m_plus2,235.0,OK,0.9999994856339233,0.0010408308416500307,0.013080795442991662,0.9999981322180731,True
E2_shift150m_plus2,283.0,OK,0.9999987519044462,0.0015642898672550806,0.019811915667331745,0.999997678354032,True
E2_shift150m_plus2,338.0,OK,0.9999990887803223,0.0013998543697614366,0.006622219036248138,0.9999970974885084,True
