env,z,c
E0_nominal,0.0,1512.5511
E0_nominal,20.0,1512.2577
E0_nominal,40.0,1511.9658
E0_nominal,60.0,1511.6753
E0_nominal,80.0,1511.3865
E0_nominal,100.0,1511.0992
E0_nominal,120.0,1510.8136
E0_nominal,140.0,1510.5296
E0_nominal,160.0,1510.2475
E0_nominal,180.0,1509.9671
E0_nominal,200.0,1509.6886
E0_nominal,220.0,1509.4121
E0_nominal,240.0,1509.1375
E0_nominal,260.0,1508.865
E0_nominal,280.0,1508.5946
E0_nominal,300.0,1508.3263
E0_nominal,320.0,1508.0603
E0_nominal,340.0,1507.7967
E0_nominal,360.0,1507.5354
E0_nominal,380.0,1507.2766
E0_nominal,400.0,1507.0203
E0_nominal,420.0,1506.7667
E0_nominal,440.0,1506.5157
E0_nominal,460.0,1506.2676
E0_nominal,480.0,1506.0223
E0_nominal,500.0,1505.78
E0_nominal,520.0,1505.5407
E0_nominal,540.0,1505.3046
E0_nominal,560.0,1505.0717
E0_nominal,580.0,1504.8422
E0_nominal,600.0,1504.6162
E0_nominal,620.0,1504.3937
E0_nominal,640.0,1504.1749
E0_nominal,660.0,1503.9599
E0_nominal,680.0,1503.7488
E0_nominal,700.0,1503.5417
E0_nominal,720.0,1503.3388
E0_nominal,740.0,1503.1402
E0_nominal,760.0,1502.946
E0_nominal,780.0,1502.7563
E0_nominal,800.0,1502.5714
E0_nominal,820.0,1502.3913
E0_nominal,840.0,1502.2162
E0_nominal,860.0,1502.0463
E0_nominal,880.0,1501.8817
E0_nominal,900.0,1501.7226
E0_nominal,920.0,1501.5691
E0_nominal,940.0,1501.4215
E0_nominal,960.0,1501.2798
E0_nominal,980.0,1501.1444
E0_nominal,1000.0,1501.0154
E0_nominal,1020.0,1500.893
E0_nominal,1040.0,1500.7774
E0_nominal,1060.0,1500.6688
E0_nominal,1080.0,1500.5674
E0_nominal,1100.0,1500.4735
E0_nominal,1120.0,1500.3873
E0_nominal,1140.0,1500.3091
E0_nominal,1160.0,1500.239
E0_nominal,1180.0,1500.1773
E0_nominal,1200.0,1500.1244
E0_nominal,1220.0,1500.0804
E0_nominal,1240.0,1500.0457
E0_nominal,1260.0,1500.0205
E0_nominal,1280.0,1500.0052
E0_nominal,1300.0,1500.0
E0_nominal,1320.0,1500.0053
E0_nominal,1340.0,1500.0214
E0_nominal,1360.0,1500.0486
E0_nominal,1380.0,1500.0873
E0_nominal,1400.0,1500.1378
E0_nominal,1420.0,1500.2005
E0_nominal,1440.0,1500.2759
E0_nominal,1460.0,1500.3642
E0_nominal,1480.0,1500.4659
E0_nominal,1500.0,1500.5814
E0_nominal,1520.0,1500.7111
E0_nominal,1540.0,1500.8556
E0_nominal,1560.0,1501.0151
E0_nominal,1580.0,1501.1903
E0_nominal,1600.0,1501.3816
E0_nominal,1620.0,1501.5895
E0_nominal,1640.0,1501.8145
E0_nominal,1660.0,1502.0572
E0_nominal,1680.0,1502.3181
E0_nominal,1700.0,1502.5977
E0_nominal,1720.0,1502.8968
E0_nominal,1740.0,1503.2158
E0_nominal,1760.0,1503.5554
