pair_id,mechanism,source,snr_db,ref_r0_km,ref_v,ref_psi_deg,alt_r0_km,alt_v,alt_psi_deg,delta_r_km,delta_v,delta_psi_deg,rc2_bearing_rmse_deg,T_s,turn_deg,layer,available,reject_rate_wrong,retain_rate_true,mean_margin,mean_c_ref,mean_c_alt
A02,A,S0,20.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.875,0.0001308130166976886,0.01052898238300291,0.010659795399700599
A02,A,S0,10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,7.378601893962241e-07,7.378601893962241e-07
A02,A,S0,10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.625,0.0002793724972116711,0.09682165422762447,0.09710102672483613
A02,A,S0,10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A02,A,S0,10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.625,0.0002793724972116711,0.09682165422762447,0.09710102672483613
A02,A,S0,0.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,2.751491352536472e-06,2.751491352536472e-06
A02,A,S0,0.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.375,-0.00033129807473818856,0.5148475563564533,0.5145162582817151
A02,A,S0,0.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A02,A,S0,0.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.375,-0.00033129807473818856,0.5148475563564533,0.5145162582817151
A02,A,S0,-10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,1.2482969328244052e-05,1.2482969328244052e-05
A02,A,S0,-10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.5,-4.9465565296530345e-05,0.937241130109313,0.9371916645440165
A02,A,S0,-10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A02,A,S0,-10.0,50.0,,,60.0,,,10.0,0.5999999999999996,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,-4.9465565296530345e-05,0.937241130109313,0.9371916645440165
A03,A,S0,noiseless,50.0,2.0,0.0,60.0,1.7999999999999998,0.0,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A03,A,S0,noiseless,50.0,2.0,0.0,60.0,1.7999999999999998,0.0,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ,True,1.0,1.0,5.870667553976926e-06,2.9745562843117456e-20,5.870667553976956e-06
A03,A,S0,noiseless,50.0,2.0,0.0,60.0,1.7999999999999998,0.0,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A03,A,S0,noiseless,50.0,2.0,0.0,60.0,1.7999999999999998,0.0,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,5.870667553976926e-06,2.9745562843117456e-20,5.870667553976956e-06
A03,A,S0,20.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,8.563807275529325e-07,8.563807275529325e-07
A03,A,S0,20.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.625,3.7811985726487855e-06,0.01132348370256659,0.01132726490113924
A03,A,S0,20.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A03,A,S0,20.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.625,3.7811985726487855e-06,0.01132348370256659,0.01132726490113924
A03,A,S0,10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,7.342551376367563e-07,7.342551376367563e-07
A03,A,S0,10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.25,-1.4576230368724616e-05,0.10268270897764835,0.10266813274727962
A03,A,S0,10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A03,A,S0,10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.25,-1.4576230368724616e-05,0.10268270897764835,0.10266813274727962
A03,A,S0,0.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,2.7975345003761077e-06,2.7975345003761077e-06
A03,A,S0,0.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.5,4.446835213611777e-06,0.5343637182484695,0.534368165083683
A03,A,S0,0.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A03,A,S0,0.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,4.446835213611777e-06,0.5343637182484695,0.534368165083683
A03,A,S0,-10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,1.1750734451957006e-05,1.1750734451957006e-05
A03,A,S0,-10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.5,2.648181870366917e-05,0.9688969446133228,0.9689234264320266
A03,A,S0,-10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
