check,value,amp_235Hz_50km,rel_diff_vs_24,rel_diff_vs_400,contrast_45_vs_60km,rel_diff_vs_12
n_modes,12,9.265676019272609e-07,0.5170963591087325,,,
n_modes,18,1.3646751297098353e-06,0.2887657768612049,,,
n_modes,24,1.9187422168411166e-06,0.0,,,
n_modes,36,3.4890623540684375e-06,0.8184112084603921,,,
n_modes,48,5.47837159713483e-06,1.8551889603486444,,,
n_z,200,1.898447393274552e-06,,0.010577149644103577,,
n_z,400,1.9187422168411166e-06,,0.0,,
n_z,800,1.9240179200317306e-06,,0.002749563303271654,,
n_freq_profile_contrast,6,,,,0.4472600088744919,0.06298598187760455
n_freq_profile_contrast,8,,,,0.5347134176958162,0.12022975029657346
n_freq_profile_contrast,12,,,,0.4773247787378028,0.0
n_freq_profile_contrast,18,,,,0.5093321512921429,0.06705575318963668
n_freq_profile_contrast,24,,,,0.5181676275351805,0.08556616085462604
