env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,static_blind
E1_shift50m,A06,A,200.0,1.0048591735576161e-14,3.83362923235361,3.8336292323535996,True,False
E1_shift50m,A06,A,220.0,7.105427357601002e-15,3.8336292323536094,3.8336292323536023,True,False
E2_shift150m_plus2,A06,A,180.0,7.105427357601002e-15,3.8336292323536094,3.8336292323536023,True,False
E2_shift150m_plus2,A06,A,200.0,7.105427357601002e-15,3.83362923235361,3.8336292323536028,True,False
E2_shift150m_plus2,A06,A,220.0,7.105427357601002e-15,3.83362923235361,3.8336292323536028,True,False
E0_nominal,A07,A,180.0,0.0,3.761622196011364,3.761622196011364,True,False
E0_nominal,A07,A,200.0,0.0,3.761622196011364,3.761622196011364,True,False
E0_nominal,A07,A,220.0,0.0,3.761622196011364,3.761622196011364,True,False
E1_shift50m,A07,A,180.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,False
E1_shift50m,A07,A,200.0,1.0048591735576161e-14,3.761622196011364,3.761622196011354,True,False
E1_shift50m,A07,A,220.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,False
E2_shift150m_plus2,A07,A,180.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,False
E2_shift150m_plus2,A07,A,200.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,False
E2_shift150m_plus2,A07,A,220.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,False
E0_nominal,A08,A,180.0,0.0,3.322978005876759,3.322978005876759,True,False
E0_nominal,A08,A,200.0,0.0,3.322978005876759,3.322978005876759,True,False
E0_nominal,A08,A,220.0,0.0,3.322978005876759,3.322978005876759,True,False
E1_shift50m,A08,A,180.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,False
E1_shift50m,A08,A,200.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,False
E1_shift50m,A08,A,220.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,False
E2_shift150m_plus2,A08,A,180.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,False
E2_shift150m_plus2,A08,A,200.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,False
E2_shift150m_plus2,A08,A,220.0,1.0048591735576161e-14,3.322978005876759,3.322978005876749,True,False
E0_nominal,A09,A,180.0,0.0,2.8167506488346037,2.8167506488346037,True,False
E0_nominal,A09,A,200.0,0.0,2.8167506488346032,2.8167506488346032,True,False
E0_nominal,A09,A,220.0,0.0,2.8167506488346032,2.8167506488346032,True,False
E1_shift50m,A09,A,180.0,1.0048591735576161e-14,2.8167506488346032,2.816750648834593,True,False
E1_shift50m,A09,A,200.0,1.0048591735576161e-14,2.8167506488346032,2.816750648834593,True,False
E1_shift50m,A09,A,220.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,False
E2_shift150m_plus2,A09,A,180.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,False
E2_shift150m_plus2,A09,A,200.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,False
E2_shift150m_plus2,A09,A,220.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,False
E0_nominal,A10,A,180.0,0.0,1.0633058257760721,1.0633058257760721,True,False
E0_nominal,A10,A,200.0,0.0,1.0633058257760724,1.0633058257760724,True,False
E0_nominal,A10,A,220.0,0.0,1.0633058257760724,1.0633058257760724,True,False
E1_shift50m,A10,A,180.0,2.4613922385709617e-14,1.0633058257760724,1.0633058257760477,True,False
E1_shift50m,A10,A,200.0,7.105427357601002e-15,1.0633058257760724,1.0633058257760652,True,False
E1_shift50m,A10,A,220.0,1.879919374704706e-14,1.0633058257760724,1.0633058257760535,True,False
E2_shift150m_plus2,A10,A,180.0,1.4210854715202004e-14,1.0633058257760724,1.0633058257760581,True,False
E2_shift150m_plus2,A10,A,200.0,1.0048591735576161e-14,1.0633058257760724,1.0633058257760624,True,False
E2_shift150m_plus2,A10,A,220.0,7.105427357601002e-15,1.0633058257760724,1.0633058257760652,True,False
E0_nominal,B01,B,180.0,0.0,2.707920896683704,2.707920896683704,True,False
E0_nominal,B01,B,200.0,0.0,2.7255447038357827,2.7255447038357827,True,False
E0_nominal,B01,B,220.0,0.0,2.6997602473366604,2.6997602473366604,True,False
E1_shift50m,B01,B,180.0,0.07411851763421769,2.717189332409277,2.6430708147750592,True,False
E1_shift50m,B01,B,200.0,0.09768512451211434,2.6691010683153698,2.5714159438032556,True,False
E1_shift50m,B01,B,220.0,0.04521820024771887,2.6978907227566444,2.6526725225089254,True,False
E2_shift150m_plus2,B01,B,180.0,0.01856456293325384,2.719844246528194,2.70127968359494,True,False
E2_shift150m_plus2,B01,B,200.0,0.05562182651196468,2.7084072232337726,2.652785396721808,True,False
E2_shift150m_plus2,B01,B,220.0,0.043612883942604735,2.710110806795316,2.6664979228527113,True,False
E0_nominal,B02,B,180.0,0.0,2.7032757466020776,2.7032757466020776,True,False
E0_nominal,B02,B,200.0,0.0,2.730490141256918,2.730490141256918,True,False
E0_nominal,B02,B,220.0,0.0,2.718138233825739,2.718138233825739,True,False
E1_shift50m,B02,B,180.0,0.13125245219753853,2.7205106770817595,2.589258224884221,True,False
E1_shift50m,B02,B,200.0,0.18012409978329902,2.7809102004510007,2.6007861006677016,True,False
E1_shift50m,B02,B,220.0,0.08128749913715096,2.7461932805579465,2.6649057814207957,True,False
E2_shift150m_plus2,B02,B,180.0,0.025077299120451237,2.7130544875441887,2.6879771884237376,True,False
E2_shift150m_plus2,B02,B,200.0,0.09640534276665479,2.71921417599579,2.622808833229135,True,False
E2_shift150m_plus2,B02,B,220.0,0.0779235955111048,2.7311314301172565,2.653207834606152,True,False
E0_nominal,B03,B,180.0,0.0,1.3488380050264297,1.3488380050264297,True,False
E0_nominal,B03,B,200.0,0.0,1.1510264046214609,1.1510264046214609,True,False
E0_nominal,B03,B,220.0,0.0,1.3288487988808735,1.3288487988808735,True,False
E1_shift50m,B03,B,180.0,0.4354594974007146,1.3626885721652409,0.9272290747645262,True,False
E1_shift50m,B03,B,200.0,0.5634325279129582,1.7291126021365968,1.1656800742236386,True,False
E1_shift50m,B03,B,220.0,0.2711330023647389,1.2481518558245703,0.9770188534598314,True,False
E2_shift150m_plus2,B03,B,180.0,0.4654891295583484,1.3257754890926763,0.8602863595343279,True,False
E2_shift150m_plus2,B03,B,200.0,0.2951483860090378,1.3588593524209662,1.0637109664119284,True,False
E2_shift150m_plus2,B03,B,220.0,0.42107036538542664,1.3809789188633455,0.9599085534779188,True,False
E0_nominal,B04,B,180.0,0.0,1.9580935160971646,1.9580935160971646,True,False
E0_nominal,B04,B,200.0,0.0,1.647749845342147,1.647749845342147,True,False
E0_nominal,B04,B,220.0,0.0,1.9520133532663924,1.9520133532663924,True,False
E1_shift50m,B04,B,180.0,0.7192417583002034,1.9067489129196011,1.1875071546193978,True,False
E1_shift50m,B04,B,200.0,1.261863407461844,2.080675194477288,0.8188117870154439,True,False
E1_shift50m,B04,B,220.0,0.6617824535297507,1.888174951884903,1.2263924983551522,True,False
E2_shift150m_plus2,B04,B,180.0,0.7173844508278853,2.1086574334361217,1.3912729826082364,True,False
E2_shift150m_plus2,B04,B,200.0,0.5499846672018445,1.8000449927814257,1.2500603255795812,True,False
E2_shift150m_plus2,B04,B,220.0,0.6175220913659862,2.0332744382239825,1.4157523468579962,True,False
E0_nominal,B05,B,180.0,0.0,2.7408647737145837,2.7408647737145837,True,False
E0_nominal,B05,B,200.0,0.0,2.648319344688156,2.648319344688156,True,False
E0_nominal,B05,B,220.0,0.0,2.7535475730894223,2.7535475730894223,True,False
E1_shift50m,B05,B,180.0,0.43812401732947104,2.779976339792536,2.341852322463065,True,False
E1_shift50m,B05,B,200.0,0.5269402004326146,3.0963060463090337,2.569365845876419,True,False
E1_shift50m,B05,B,220.0,0.19453284930837103,2.8253341133222256,2.6308012640138547,True,False
E2_shift150m_plus2,B05,B,180.0,0.42428017491008285,2.5942890497565414,2.1700088748464585,True,False
E2_shift150m_plus2,B05,B,200.0,0.3274679068476131,2.7754616987053193,2.4479937918577064,True,False
E2_shift150m_plus2,B05,B,220.0,0.32762910344523455,2.75002908115256,2.4223999777073253,True,False
E0_nominal,B06,B,180.0,0.0,2.6114404981805186,2.6114404981805186,True,False
E0_nominal,B06,B,200.0,0.0,2.5121143563802937,2.5121143563802937,True,False
E0_nominal,B06,B,220.0,0.0,2.5378214778614967,2.5378214778614967,True,False
E1_shift50m,B06,B,180.0,0.39668533781521603,2.514528143081064,2.1178428052658482,True,False
E1_shift50m,B06,B,200.0,0.5496945053989084,2.551256415214744,2.0015619098158357,True,False
E1_shift50m,B06,B,220.0,0.2605620353412001,2.693699596875279,2.433137561534079,True,False
E2_shift150m_plus2,B06,B,180.0,0.38152839851507425,2.3898537638082376,2.0083253652931634,True,False
E2_shift150m_plus2,B06,B,200.0,0.27296359721905933,2.5045619213111743,2.231598324092115,True,False
E2_shift150m_plus2,B06,B,220.0,0.34503580945064705,2.4846454502067568,2.1396096407561096,True,False
E0_nominal,B07,B,180.0,0.0,3.154296426752716,3.154296426752716,True,False
E0_nominal,B07,B,200.0,0.0,3.188590166002423,3.188590166002423,True,False
E0_nominal,B07,B,220.0,0.0,3.1637490647731252,3.1637490647731252,True,False
E1_shift50m,B07,B,180.0,0.07411851763421769,3.1792500162471047,3.105131498612887,True,False
E1_shift50m,B07,B,200.0,0.09768512451211434,3.2030355181751142,3.105350393663,True,False
E1_shift50m,B07,B,220.0,0.04521820024771887,3.191713588653095,3.146495388405376,True,False
E2_shift150m_plus2,B07,B,180.0,0.01856456293325384,3.1676943792514716,3.1491298163182178,True,False
E2_shift150m_plus2,B07,B,200.0,0.05562182651196468,3.1719119181704833,3.116290091658519,True,False
E2_shift150m_plus2,B07,B,220.0,0.043612883942604735,3.1845437772488543,3.1409308933062494,True,False
E0_nominal,B08,B,180.0,0.0,1.3365362607817093,1.3365362607817093,True,False
E0_nominal,B08,B,200.0,0.0,1.1385484957850511,1.1385484957850511,True,False
E0_nominal,B08,B,220.0,0.0,1.3351300938542818,1.3351300938542818,True,False
E1_shift50m,B08,B,180.0,0.39668533781521603,1.3645399846799229,0.9678546468647069,True,False
E1_shift50m,B08,B,200.0,0.5496945053989084,1.689040859235491,1.1393463538365827,True,False
E1_shift50m,B08,B,220.0,0.2605620353412001,1.2363103018229902,0.97574826648179,True,False
E2_shift150m_plus2,B08,B,180.0,0.38152839851507425,1.3600978072452716,0.9785694087301974,True,False
E2_shift150m_plus2,B08,B,200.0,0.27296359721905933,1.360040406830659,1.0870768096115997,True,False
E2_shift150m_plus2,B08,B,220.0,0.34503580945064705,1.3578688673502581,1.012833057899611,True,False
E0_nominal,B09,B,180.0,0.0,3.268953279179714,3.268953279179714,True,False
E0_nominal,B09,B,200.0,0.0,3.2465874852990897,3.2465874852990897,True,False
E0_nominal,B09,B,220.0,0.0,3.214332163835974,3.214332163835974,True,False
E1_shift50m,B09,B,180.0,0.8460324608300003,3.219307902624655,2.3732754417946547,True,False
E1_shift50m,B09,B,200.0,0.814041896005871,3.426625835922658,2.612583939916787,True,False
E1_shift50m,B09,B,220.0,0.6125668638010258,3.5107850687620368,2.898218204961011,True,False
E2_shift150m_plus2,B09,B,180.0,0.6096261024428278,3.2273212007833245,2.617695098340497,True,False
E2_shift150m_plus2,B09,B,200.0,0.6060383354553138,3.0783150368411447,2.472276701385831,True,False
E2_shift150m_plus2,B09,B,220.0,0.6483053007268089,3.1323592888698624,2.4840539881430534,True,False
E0_nominal,B10,B,180.0,0.0,1.7090044692899322,1.7090044692899322,True,False
E0_nominal,B10,B,200.0,0.0,1.8171123733022956,1.8171123733022956,True,False
E0_nominal,B10,B,220.0,0.0,1.8181650601733776,1.8181650601733776,True,False
E1_shift50m,B10,B,180.0,0.43812401732947104,1.7135018279673566,1.2753778106378855,True,False
E1_shift50m,B10,B,200.0,0.5269402004326146,1.6311736445963003,1.1042334441636856,True,False
E1_shift50m,B10,B,220.0,0.19453284930837103,1.7656795949952826,1.5711467456869115,True,False
E2_shift150m_plus2,B10,B,180.0,0.42428017491008285,1.7930069985694,1.368726823659317,True,False
E2_shift150m_plus2,B10,B,200.0,0.3274679068476131,1.7831852851469032,1.45571737829929,True,False
E2_shift150m_plus2,B10,B,220.0,0.32762910344523455,1.7683955604763486,1.440766457031114,True,False
E0_nominal,C01,C,180.0,0.0,1.342835752570543,1.342835752570543,True,False
E0_nominal,C01,C,200.0,0.0,1.3801538215291802,1.3801538215291802,True,False
E0_nominal,C01,C,220.0,0.0,1.3988385046176675,1.3988385046176675,True,False
E1_shift50m,C01,C,180.0,0.4354594974007146,1.5407367671142642,1.1052772697135496,True,False
E1_shift50m,C01,C,200.0,0.5634325279129582,1.4397301399610796,0.8762976120481214,True,False
E1_shift50m,C01,C,220.0,0.2711330023647389,1.3549425676520803,1.0838095652873414,True,False
E2_shift150m_plus2,C01,C,180.0,0.4654891295583484,1.3647342030585035,0.899245073500155,True,False
E2_shift150m_plus2,C01,C,200.0,0.2951483860090378,1.5180777007781698,1.222929314769132,True,False
E2_shift150m_plus2,C01,C,220.0,0.42107036538542664,1.506577324338932,1.0855069589535054,True,False
E0_nominal,C02,C,180.0,0.0,2.6037058848772974,2.6037058848772974,True,False
E0_nominal,C02,C,200.0,0.0,2.6100560168210025,2.6100560168210025,True,False
E0_nominal,C02,C,220.0,0.0,2.591102117316226,2.591102117316226,True,False
E1_shift50m,C02,C,180.0,0.07411851763421769,2.5926902033755224,2.5185716857413047,True,False
E1_shift50m,C02,C,200.0,0.09768512451211434,2.5558107908169787,2.4581256663048645,True,False
E1_shift50m,C02,C,220.0,0.04521820024771887,2.6127724097406766,2.5675542094929575,True,False
E2_shift150m_plus2,C02,C,180.0,0.01856456293325384,2.593927543479687,2.575362980546433,True,False
E2_shift150m_plus2,C02,C,200.0,0.05562182651196468,2.5827779117329914,2.527156085221027,True,False
E2_shift150m_plus2,C02,C,220.0,0.043612883942604735,2.5914834926393566,2.5478706086967517,True,False
E0_nominal,C03,C,180.0,0.0,2.7125315540709414,2.7125315540709414,True,False
E0_nominal,C03,C,200.0,0.0,2.7358677140423975,2.7358677140423975,True,False
E0_nominal,C03,C,220.0,0.0,2.7094090474547547,2.7094090474547547,True,False
E1_shift50m,C03,C,180.0,0.14404684736218512,2.7104518191422757,2.5664049717800905,True,False
E1_shift50m,C03,C,200.0,0.20378871328045658,2.69464815564065,2.4908594423601933,True,False
E1_shift50m,C03,C,220.0,0.09113857557184656,2.71459830132746,2.6234597257556134,True,False
E2_shift150m_plus2,C03,C,180.0,0.02536580862825195,2.7282893593502515,2.7029235507219997,True,False
E2_shift150m_plus2,C03,C,200.0,0.10587830226468511,2.7069071922042687,2.6010288899395837,True,False
E2_shift150m_plus2,C03,C,220.0,0.08704515266399747,2.713578275625141,2.6265331229611437,True,False
E0_nominal,C04,C,180.0,0.0,2.8792529147003405,2.8792529147003405,True,False
E0_nominal,C04,C,200.0,0.0,2.8659047623925873,2.8659047623925873,True,False
E0_nominal,C04,C,220.0,0.0,2.8851412656722526,2.8851412656722526,True,False
E1_shift50m,C04,C,180.0,0.07411851763421769,2.864388611086762,2.7902700934525444,True,False
E1_shift50m,C04,C,200.0,0.09768512451211434,2.88329111774793,2.7856059932358157,True,False
E1_shift50m,C04,C,220.0,0.04521820024771887,2.8566131838954605,2.8113949836477414,True,False
E2_shift150m_plus2,C04,C,180.0,0.01856456293325384,2.886467108737305,2.8679025458040512,True,False
E2_shift150m_plus2,C04,C,200.0,0.05562182651196468,2.87854734796853,2.8229255214565656,True,False
E2_shift150m_plus2,C04,C,220.0,0.043612883942604735,2.869348973199195,2.82573608925659,True,False
E0_nominal,C05,C,180.0,0.0,3.593690068433402,3.593690068433402,True,False
E0_nominal,C05,C,200.0,0.0,3.6189852515572065,3.6189852515572065,True,False
E0_nominal,C05,C,220.0,0.0,3.5683873197449794,3.5683873197449794,True,False
E1_shift50m,C05,C,180.0,0.2427224624225739,3.5638415255636686,3.3211190631410945,True,False
E1_shift50m,C05,C,200.0,0.4181421571632277,3.4790999272873453,3.0609577701241175,True,False
E1_shift50m,C05,C,220.0,0.19656898533656997,3.569942844241673,3.3733738589051034,True,False
E2_shift150m_plus2,C05,C,180.0,0.12260298959211752,3.5991809350189867,3.476577945426869,True,False
E2_shift150m_plus2,C05,C,200.0,0.19066715027492606,3.556624945700647,3.3659577954257207,True,False
E2_shift150m_plus2,C05,C,220.0,0.18287420280699557,3.560645327852533,3.3777711250455376,True,False
E0_nominal,C06,C,180.0,0.0,1.327894377116004,1.327894377116004,True,False
E0_nominal,C06,C,200.0,0.0,1.3549074445040408,1.3549074445040408,True,False
E0_nominal,C06,C,220.0,0.0,1.3728786844689804,1.3728786844689804,True,False
E1_shift50m,C06,C,180.0,0.39668533781521603,1.5130445404637582,1.1163592026485423,True,False
E1_shift50m,C06,C,200.0,0.5496945053989084,1.4315019093902808,0.8818074039913724,True,False
E1_shift50m,C06,C,220.0,0.2605620353412001,1.366546934472283,1.1059848991310828,True,False
E2_shift150m_plus2,C06,C,180.0,0.38152839851507425,1.3220144451284321,0.9404860466133579,True,False
E2_shift150m_plus2,C06,C,200.0,0.27296359721905933,1.4791016070682046,1.2061380098491452,True,False
E2_shift150m_plus2,C06,C,220.0,0.34503580945064705,1.48550444506436,1.140468635613713,True,False
E0_nominal,C07,C,180.0,0.0,1.7505759668063485,1.7505759668063485,True,False
E0_nominal,C07,C,200.0,0.0,1.6625532726899803,1.6625532726899803,True,False
E0_nominal,C07,C,220.0,0.0,1.6909571954119855,1.6909571954119855,True,False
E1_shift50m,C07,C,180.0,0.7192417583002034,1.8029716161934546,1.083729857893251,True,False
E1_shift50m,C07,C,200.0,1.261863407461844,2.3038154729982043,1.0419520655363603,True,False
E1_shift50m,C07,C,220.0,0.6617824535297507,1.5382792077054595,0.8764967541757087,True,False
E2_shift150m_plus2,C07,C,180.0,0.7173844508278853,1.8915263658031523,1.174141914975267,True,False
E2_shift150m_plus2,C07,C,200.0,0.5499846672018445,1.6641997876411072,1.1142151204392627,True,False
E2_shift150m_plus2,C07,C,220.0,0.6175220913659862,1.839518727948316,1.2219966365823298,True,False
E0_nominal,C08,C,180.0,0.0,3.45444426093153,3.45444426093153,True,False
E0_nominal,C08,C,200.0,0.0,1.9177147611447862,1.9177147611447862,True,False
E0_nominal,C08,C,220.0,0.0,1.998095436168046,1.998095436168046,True,False
E1_shift50m,C08,C,180.0,1.5700080450075857,2.6323876791129215,1.0623796341053358,True,False
E1_shift50m,C08,C,200.0,2.1989655781768387,3.989560191884889,1.7905946137080502,True,False
E1_shift50m,C08,C,220.0,1.075175173536586,2.3408565286374072,1.2656813551008212,True,False
E2_shift150m_plus2,C08,C,180.0,1.0662831187804982,2.407723990636647,1.341440871856149,True,False
E2_shift150m_plus2,C08,C,200.0,1.099979954854701,2.21913798309598,1.1191580282412792,True,False
E2_shift150m_plus2,C08,C,220.0,0.7876134957744197,2.035193303941775,1.2475798081673553,True,False
E0_nominal,C09,C,180.0,0.0,1.6996091794179937,1.6996091794179937,True,False
E0_nominal,C09,C,200.0,0.0,1.6319109201742508,1.6319109201742508,True,False
E0_nominal,C09,C,220.0,0.0,1.6781705631919204,1.6781705631919204,True,False
E1_shift50m,C09,C,180.0,0.6647490099230493,1.7838009191963877,1.1190519092733384,True,False
E1_shift50m,C09,C,200.0,1.0517062733892133,2.0968041597179012,1.045097886328688,True,False
E1_shift50m,C09,C,220.0,0.5662965391673604,1.5458842178792405,0.97958767871188,True,False
E2_shift150m_plus2,C09,C,180.0,0.6212015469020933,1.83885613408843,1.2176545871863367,True,False
E2_shift150m_plus2,C09,C,200.0,0.41596272830828773,1.6611133361090242,1.2451506078007366,True,False
E2_shift150m_plus2,C09,C,220.0,0.5753681276982,1.8154522582189878,1.240084130520788,True,False
E0_nominal,C10,C,180.0,0.0,3.130491866689558,3.130491866689558,True,False
E0_nominal,C10,C,200.0,0.0,3.1960171948711644,3.1960171948711644,True,False
E0_nominal,C10,C,220.0,0.0,3.147854756474318,3.147854756474318,True,False
E1_shift50m,C10,C,180.0,0.14404684736218512,3.177862846439555,3.03381599907737,True,False
E1_shift50m,C10,C,200.0,0.20378871328045658,3.228584733018065,3.0247960197376083,True,False
E1_shift50m,C10,C,220.0,0.09113857557184656,3.203782460769632,3.1126438851977856,True,False
E2_shift150m_plus2,C10,C,180.0,0.02536580862825195,3.1547799727689987,3.129414164140747,True,False
E2_shift150m_plus2,C10,C,200.0,0.10587830226468511,3.1620404878233592,3.0561621855586742,True,False
E2_shift150m_plus2,C10,C,220.0,0.08704515266399747,3.1871318577477066,3.1000867050837093,True,False
