env,f_hz,RMS_L180_minus_L200,RMS_L220_minus_L200,all_zero_machine
E1_shift50m,201.0,3.8349950313568115,5.2258620262146,False
E1_shift50m,235.0,3.040163993835449,7.119245529174805,False
E1_shift50m,283.0,3.686634063720703,5.524298191070557,False
E1_shift50m,338.0,6.217397689819336,4.360732555389404,False
E2_shift150m_plus2,201.0,4.428645133972168,2.8267626762390137,False
E2_shift150m_plus2,235.0,4.980885982513428,5.320736885070801,False
E2_shift150m_plus2,283.0,3.5765016078948975,2.5649938583374023,False
E2_shift150m_plus2,338.0,3.6319236755371094,2.859492063522339,False
