env,f_hz,zs,status,complex_corr,normalized_residual,TL_SHAPE_RMS_DB,TL_SHAPE_CORRELATION,gate_ok
E1_shift50m,201.0,180.0,OK,0.9999998924995369,0.00045559478900301914,0.005655886241818906,0.9999985922219324,True
E1_shift50m,201.0,200.0,OK,0.9999997769821274,0.000720269436471981,0.009937262515192441,0.9999977382372074,True
E1_shift50m,201.0,220.0,OK,0.9999995581390577,0.0009837930298020735,0.010999794582868583,0.9999962677617569,True
E1_shift50m,235.0,180.0,OK,0.9999998107064447,0.00046883127287230544,0.002182202317317837,0.999999931196695,True
E1_shift50m,235.0,200.0,OK,0.9999995438593535,0.000913004753048266,0.007294641836271257,0.9999988990294562,True
E1_shift50m,235.0,220.0,OK,0.9999996206683183,0.0008882617887532614,0.03320150271199081,0.9999994391837542,True
E1_shift50m,283.0,180.0,OK,0.9999996801061263,0.0008151891629192271,0.00656410112823769,0.9999981061383816,True
E1_shift50m,283.0,200.0,OK,0.9999991949199412,0.001295073000563673,0.015275137489461589,0.9999884332201796,True
E1_shift50m,283.0,220.0,OK,0.9999989842139165,0.0014145189738252572,0.016413558303521304,0.9999977788802046,True
E1_shift50m,338.0,180.0,OK,0.9999989290696532,0.0014903292456679349,0.024536479762141506,0.999998449681422,True
E1_shift50m,338.0,200.0,OK,0.9999985347923027,0.0017437999243019617,0.01895384663946255,0.9999935817254691,True
E1_shift50m,338.0,220.0,OK,0.9999991967465848,0.0012499741860071975,0.006592942099962067,0.9999997023189002,True
E2_shift150m_plus2,201.0,180.0,OK,0.9999997034236375,0.0007605083095838565,0.006632809821947701,0.9999995786634872,True
E2_shift150m_plus2,201.0,200.0,OK,0.9999996548082289,0.0008286969357802305,0.00453515246629085,0.9999903372424055,True
E2_shift150m_plus2,201.0,220.0,OK,0.9999994985550513,0.0010237284830591333,0.008578662983638548,0.9999963201666608,True
E2_shift150m_plus2,235.0,180.0,OK,0.9999994407192383,0.0010379666711252818,0.009745049470815574,0.999994294166144,True
E2_shift150m_plus2,235.0,200.0,OK,0.9999999189433598,0.0004982958440588866,0.002448677938763707,0.9999998418266305,True
E2_shift150m_plus2,235.0,220.0,OK,0.9999998133520842,0.0006004109643637215,0.0038091002882528094,0.9999989593779692,True
E2_shift150m_plus2,283.0,180.0,OK,0.9999987920290891,0.0015634013813152683,0.018192885188652006,0.999992193709481,True
E2_shift150m_plus2,283.0,200.0,OK,0.9999989970691459,0.0014500278971049715,0.012034414366982178,0.9999736692582958,True
E2_shift150m_plus2,283.0,220.0,OK,0.9999985774001723,0.0016812103982700463,0.013593540344143607,0.9999814092780787,True
E2_shift150m_plus2,338.0,180.0,OK,0.999998600277464,0.0017037744949123445,0.012274186231527583,0.9999986537761401,True
E2_shift150m_plus2,338.0,200.0,OK,0.9999989184750028,0.001453560813339071,0.018875827411500942,0.999997093030576,True
E2_shift150m_plus2,338.0,220.0,OK,0.9999970580658123,0.0024241491683080537,0.057497118210618446,0.999983147721786,True
E0_nominal,201.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,201.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,201.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,220.0,REUSE_1F_VALIDATED,,,,,True
