env,mechanism,median_delta_J,p10_delta_J,min_delta_J,fraction_tested_dJ_gt_0,n
E0_nominal,A,3.761622196011364,1.9067039929068637,1.0633058257760721,1.0,27
E0_nominal,B,2.6298799214343376,1.334501964356941,1.1385484957850511,1.0,30
E0_nominal,C,2.597404001096762,1.3710815604724864,1.327894377116004,1.0,30
E1_shift50m,A,3.761622196011357,1.9067039929068548,1.0633058257760477,1.0,27
E1_shift50m,B,2.3575638821288596,0.9749589045200817,0.8188117870154439,1.0,30
E1_shift50m,C,2.1243601400064573,0.9698096512398293,0.8762976120481214,1.0,30
E2_shift150m_plus2,A,3.761622196011357,1.9067039929068565,1.0633058257760581,1.0,27
E2_shift150m_plus2,B,2.2008035994692867,1.0094066929826697,0.8602863595343279,1.0,30
E2_shift150m_plus2,C,1.934298478538588,1.111344304290687,0.899245073500155,1.0,30
