span,zs,snr,shading,sab_n_peaks,sab_order_rate,mmar_n_peaks,mmar_order_rate,mmar_n_20db_peaks
sufficient_4990m,4.0,R0_NOISELESS,GLOBAL_MEAN_CONTROL,13,0.07692307692307693,6,1.0,
sufficient_4990m,4.0,R0_NOISELESS,ORACLE_SQRT_R_SPREADING_CONTROL,19,0.05555555555555555,6,1.0,
sufficient_4990m,4.0,R1_20dB,GLOBAL_MEAN_CONTROL,14,0.14285714285714285,1,1.0,1.0
sufficient_4990m,4.0,R1_20dB,ORACLE_SQRT_R_SPREADING_CONTROL,22,0.045454545454545456,1,1.0,1.0
sufficient_4990m,50.0,R0_NOISELESS,GLOBAL_MEAN_CONTROL,19,0.05263157894736842,6,1.0,
sufficient_4990m,50.0,R0_NOISELESS,ORACLE_SQRT_R_SPREADING_CONTROL,19,0.05263157894736842,6,1.0,
sufficient_4990m,50.0,R1_20dB,GLOBAL_MEAN_CONTROL,19,0.05263157894736842,1,1.0,1.0
sufficient_4990m,50.0,R1_20dB,ORACLE_SQRT_R_SPREADING_CONTROL,20,0.05,1,1.0,1.0
insufficient_1990m,4.0,R0_NOISELESS,GLOBAL_MEAN_CONTROL,21,0.1,6,1.0,
insufficient_1990m,4.0,R0_NOISELESS,ORACLE_SQRT_R_SPREADING_CONTROL,21,0.1,6,1.0,
insufficient_1990m,4.0,R1_20dB,GLOBAL_MEAN_CONTROL,20,0.10526315789473684,2,1.0,2.0
insufficient_1990m,4.0,R1_20dB,ORACLE_SQRT_R_SPREADING_CONTROL,21,0.1,2,1.0,2.0
insufficient_1990m,50.0,R0_NOISELESS,GLOBAL_MEAN_CONTROL,18,0.05555555555555555,6,1.0,
insufficient_1990m,50.0,R0_NOISELESS,ORACLE_SQRT_R_SPREADING_CONTROL,20,0.05,6,1.0,
insufficient_1990m,50.0,R1_20dB,GLOBAL_MEAN_CONTROL,19,0.05263157894736842,1,1.0,1.0
insufficient_1990m,50.0,R1_20dB,ORACLE_SQRT_R_SPREADING_CONTROL,19,0.05263157894736842,1,1.0,1.0
