theta_deg,zs,snr,mmar_n_peaks,mmar_order_rate,bf_spread
0.0,4.0,R0_NOISELESS,6,1.0,0.0
0.0,4.0,R1_20dB,6,1.0,0.0
0.0,50.0,R0_NOISELESS,6,1.0,0.0
0.0,50.0,R1_20dB,6,1.0,0.0
30.0,4.0,R0_NOISELESS,6,1.0,0.10194447259805091
30.0,4.0,R1_20dB,6,1.0,0.10194447259805091
30.0,50.0,R0_NOISELESS,6,1.0,0.10194447259805091
30.0,50.0,R1_20dB,6,1.0,0.10194447259805091
60.0,4.0,R0_NOISELESS,6,1.0,0.29754459933988847
60.0,4.0,R1_20dB,6,1.0,0.29754459933988847
60.0,50.0,R0_NOISELESS,6,1.0,0.29754459933988847
60.0,50.0,R1_20dB,6,1.0,0.29754459933988847
90.0,4.0,R0_NOISELESS,6,1.0,0.3893605216102469
90.0,4.0,R1_20dB,6,1.0,0.3893605216102469
90.0,50.0,R0_NOISELESS,6,1.0,0.3893605216102469
90.0,50.0,R1_20dB,6,1.0,0.3893605216102469
