theta_deg,zs,mode_id,k,abs_BF
30.0,50.0,9,1.4351578950881958,0.9845700865662547
30.0,50.0,10,1.4275851249694824,0.9798495483203747
30.0,50.0,11,1.4195870161056519,0.974194939679675
30.0,50.0,12,1.4104909896850586,0.9669379045155987
30.0,50.0,13,1.4000681638717651,0.9575561412146083
30.0,50.0,14,1.3885791301727295,0.9459186322766208
30.0,50.0,15,1.375969648361206,0.931616976093423
30.0,50.0,16,1.3623950481414795,0.9144820834854465
30.0,50.0,17,1.3477357625961304,0.8940239061226389
30.0,50.0,18,1.3320367336273193,0.8699610699818235
30.0,50.0,19,1.315035343170166,0.8415229118314395
30.0,50.0,20,1.2967256307601929,0.8083084348321794
30.0,50.0,21,1.277047872543335,0.7698615209267908
30.0,50.0,22,1.2560290098190308,0.7259643513132361
30.0,50.0,23,1.2335797548294067,0.6762647797932714
60.0,4.0,1,1.486930251121521,0.999984308137839
60.0,4.0,2,1.4840487241744995,0.9997521749122646
60.0,4.0,3,1.479351282119751,0.998778969252586
60.0,4.0,4,1.4730875492095947,0.9963364319542412
60.0,4.0,5,1.465836763381958,0.9918823050904173
60.0,4.0,6,1.4583847522735596,0.9854999381694742
60.0,4.0,7,1.4506748914718628,0.976993715148501
60.0,4.0,8,1.44283926486969,0.9663963710800709
60.0,4.0,9,1.4351578950881958,0.9541342774906055
60.0,4.0,10,1.4275851249694824,0.9402719090605558
60.0,4.0,11,1.4195870161056519,0.923771196805863
60.0,4.0,12,1.4104909896850586,0.9027616938422982
60.0,4.0,13,1.4000681638717651,0.8758798412145447
60.0,4.0,14,1.3885791301727295,0.8429719322093595
60.0,4.0,15,1.375969648361206,0.8031946920785239
60.0,4.0,16,1.3623950481414795,0.7565033185597717
60.0,4.0,17,1.3477357625961304,0.7021381349541802
60.0,4.0,18,1.3320367336273193,0.6401239403324456
60.0,4.0,19,1.315035343170166,0.569532381122148
60.0,4.0,20,1.2967256307601929,0.4907984389608576
60.0,4.0,21,1.277047872543335,0.4046787729654594
60.0,4.0,22,1.2560290098190308,0.31296822349518333
60.0,4.0,23,1.2335797548294067,0.21771532443953115
60.0,50.0,1,1.486930251121521,0.999984308137839
60.0,50.0,2,1.4840487241744995,0.9997521749122646
60.0,50.0,3,1.479351282119751,0.998778969252586
60.0,50.0,4,1.4730875492095947,0.9963364319542412
60.0,50.0,5,1.465836763381958,0.9918823050904173
60.0,50.0,6,1.4583847522735596,0.9854999381694742
60.0,50.0,7,1.4506748914718628,0.976993715148501
60.0,50.0,8,1.44283926486969,0.9663963710800709
60.0,50.0,9,1.4351578950881958,0.9541342774906055
60.0,50.0,10,1.4275851249694824,0.9402719090605558
60.0,50.0,11,1.4195870161056519,0.923771196805863
60.0,50.0,12,1.4104909896850586,0.9027616938422982
60.0,50.0,13,1.4000681638717651,0.8758798412145447
60.0,50.0,14,1.3885791301727295,0.8429719322093595
60.0,50.0,15,1.375969648361206,0.8031946920785239
60.0,50.0,16,1.3623950481414795,0.7565033185597717
60.0,50.0,17,1.3477357625961304,0.7021381349541802
60.0,50.0,18,1.3320367336273193,0.6401239403324456
60.0,50.0,19,1.315035343170166,0.569532381122148
60.0,50.0,20,1.2967256307601929,0.4907984389608576
60.0,50.0,21,1.277047872543335,0.4046787729654594
60.0,50.0,22,1.2560290098190308,0.31296822349518333
60.0,50.0,23,1.2335797548294067,0.21771532443953115
90.0,4.0,1,1.486930251121521,0.9999790775495875
90.0,4.0,2,1.4840487241744995,0.9996695746487778
90.0,4.0,3,1.479351282119751,0.9983721556598206
90.0,4.0,4,1.4730875492095947,0.9951170141094913
90.0,4.0,5,1.465836763381958,0.9891851146526507
90.0,4.0,6,1.4583847522735596,0.9806944151278547
90.0,4.0,7,1.4506748914718628,0.9693951761944897
90.0,4.0,8,1.44283926486969,0.9553454083337679
90.0,4.0,9,1.4351578950881958,0.9391265479247727
90.0,4.0,10,1.4275851249694824,0.9208406321380451
90.0,4.0,11,1.4195870161056519,0.8991439137833175
90.0,4.0,12,1.4104909896850586,0.8716294576676881
90.0,4.0,13,1.4000681638717651,0.836608971620402
90.0,4.0,14,1.3885791301727295,0.7940268704311938
90.0,4.0,15,1.375969648361206,0.742993665419405
90.0,4.0,16,1.3623950481414795,0.683724704395641
90.0,4.0,17,1.3477357625961304,0.6156205575827467
90.0,4.0,18,1.3320367336273193,0.5391956813779596
90.0,4.0,19,1.315035343170166,0.45395877949288865
90.0,4.0,20,1.2967256307601929,0.36130373410894173
90.0,4.0,21,1.277047872543335,0.26321394701177114
90.0,4.0,22,1.2560290098190308,0.16307073085539692
90.0,4.0,23,1.2335797548294067,0.06491605667462604
90.0,50.0,1,1.486930251121521,0.9999790775495875
90.0,50.0,2,1.4840487241744995,0.9996695746487778
90.0,50.0,3,1.479351282119751,0.9983721556598206
90.0,50.0,4,1.4730875492095947,0.9951170141094913
90.0,50.0,5,1.465836763381958,0.9891851146526507
90.0,50.0,6,1.4583847522735596,0.9806944151278547
90.0,50.0,7,1.4506748914718628,0.9693951761944897
90.0,50.0,8,1.44283926486969,0.9553454083337679
90.0,50.0,9,1.4351578950881958,0.9391265479247727
90.0,50.0,10,1.4275851249694824,0.9208406321380451
90.0,50.0,11,1.4195870161056519,0.8991439137833175
90.0,50.0,12,1.4104909896850586,0.8716294576676881
90.0,50.0,13,1.4000681638717651,0.836608971620402
90.0,50.0,14,1.3885791301727295,0.7940268704311938
90.0,50.0,15,1.375969648361206,0.742993665419405
90.0,50.0,16,1.3623950481414795,0.683724704395641
90.0,50.0,17,1.3477357625961304,0.6156205575827467
90.0,50.0,18,1.3320367336273193,0.5391956813779596
90.0,50.0,19,1.315035343170166,0.45395877949288865
90.0,50.0,20,1.2967256307601929,0.36130373410894173
90.0,50.0,21,1.277047872543335,0.26321394701177114
90.0,50.0,22,1.2560290098190308,0.16307073085539692
90.0,50.0,23,1.2335797548294067,0.06491605667462604
