theta_deg,zs,mode_id,k,abs_BF
0.0,4.0,1,1.486930251121521,1.0
0.0,4.0,2,1.4840487241744995,1.0
0.0,4.0,3,1.479351282119751,1.0
0.0,4.0,4,1.4730875492095947,1.0
0.0,4.0,5,1.465836763381958,1.0
0.0,4.0,6,1.4583847522735596,1.0
0.0,4.0,7,1.4506748914718628,1.0
0.0,4.0,8,1.44283926486969,1.0
0.0,4.0,9,1.4351578950881958,1.0
0.0,4.0,10,1.4275851249694824,1.0
0.0,4.0,11,1.4195870161056519,1.0
0.0,4.0,12,1.4104909896850586,1.0
0.0,4.0,13,1.4000681638717651,1.0
0.0,4.0,14,1.3885791301727295,1.0
0.0,4.0,15,1.375969648361206,1.0
0.0,4.0,16,1.3623950481414795,1.0
0.0,4.0,17,1.3477357625961304,1.0
0.0,4.0,18,1.3320367336273193,1.0
0.0,4.0,19,1.315035343170166,1.0
0.0,4.0,20,1.2967256307601929,1.0
0.0,4.0,21,1.277047872543335,1.0
0.0,4.0,22,1.2560290098190308,1.0
0.0,4.0,23,1.2335797548294067,1.0
0.0,50.0,1,1.486930251121521,1.0
0.0,50.0,2,1.4840487241744995,1.0
0.0,50.0,3,1.479351282119751,1.0
0.0,50.0,4,1.4730875492095947,1.0
0.0,50.0,5,1.465836763381958,1.0
0.0,50.0,6,1.4583847522735596,1.0
0.0,50.0,7,1.4506748914718628,1.0
0.0,50.0,8,1.44283926486969,1.0
0.0,50.0,9,1.4351578950881958,1.0
0.0,50.0,10,1.4275851249694824,1.0
0.0,50.0,11,1.4195870161056519,1.0
0.0,50.0,12,1.4104909896850586,1.0
0.0,50.0,13,1.4000681638717651,1.0
0.0,50.0,14,1.3885791301727295,1.0
0.0,50.0,15,1.375969648361206,1.0
0.0,50.0,16,1.3623950481414795,1.0
0.0,50.0,17,1.3477357625961304,1.0
0.0,50.0,18,1.3320367336273193,1.0
0.0,50.0,19,1.315035343170166,1.0
0.0,50.0,20,1.2967256307601929,1.0
0.0,50.0,21,1.277047872543335,1.0
0.0,50.0,22,1.2560290098190308,1.0
0.0,50.0,23,1.2335797548294067,1.0
30.0,4.0,1,1.486930251121521,0.9999947693630451
30.0,4.0,2,1.4840487241744995,0.9999173875877353
30.0,4.0,3,1.479351282119751,0.999592891405897
30.0,4.0,4,1.4730875492095947,0.9987779244455349
30.0,4.0,5,1.465836763381958,0.9972897428104908
30.0,4.0,6,1.4583847522735596,0.9951527022510681
30.0,4.0,7,1.4506748914718628,0.9922960131374721
30.0,4.0,8,1.44283926486969,0.988723309344531
30.0,4.0,9,1.4351578950881958,0.9845700865662547
30.0,4.0,10,1.4275851249694824,0.9798495483203747
30.0,4.0,11,1.4195870161056519,0.974194939679675
30.0,4.0,12,1.4104909896850586,0.9669379045155987
30.0,4.0,13,1.4000681638717651,0.9575561412146083
30.0,4.0,14,1.3885791301727295,0.9459186322766208
30.0,4.0,15,1.375969648361206,0.931616976093423
30.0,4.0,16,1.3623950481414795,0.9144820834854465
30.0,4.0,17,1.3477357625961304,0.8940239061226389
30.0,4.0,18,1.3320367336273193,0.8699610699818235
30.0,4.0,19,1.315035343170166,0.8415229118314395
30.0,4.0,20,1.2967256307601929,0.8083084348321794
30.0,4.0,21,1.277047872543335,0.7698615209267908
30.0,4.0,22,1.2560290098190308,0.7259643513132361
30.0,4.0,23,1.2335797548294067,0.6762647797932714
30.0,50.0,1,1.486930251121521,0.9999947693630451
30.0,50.0,2,1.4840487241744995,0.9999173875877353
30.0,50.0,3,1.479351282119751,0.999592891405897
30.0,50.0,4,1.4730875492095947,0.9987779244455349
30.0,50.0,5,1.465836763381958,0.9972897428104908
30.0,50.0,6,1.4583847522735596,0.9951527022510681
30.0,50.0,7,1.4506748914718628,0.9922960131374721
30.0,50.0,8,1.44283926486969,0.988723309344531
