tag,T_s,sigma_deg,trial,truth_r0_km,truth_theta0_deg,truth_v,truth_psi_deg,est_r0_km,est_v,est_psi_deg,abs_err_r_km,abs_err_v,abs_err_psi_deg,r_width_km,v_width_mps,n_acc,truth_in_r_band,truth_in_v_band,any_truth_on_grid,r_on_grid,th_on_grid,v_on_grid,psi_on_grid
OG1,300.0,0.05,0,52.3,0.37,2.33,4.7,52.52688493188556,2.006405981888868,-9.691159307827537,0.22688493188556436,0.3235940181111321,14.391159307827538,15.0,1.9999999999999996,1485,True,True,False,False,False,False,False
OG1,300.0,0.05,1,52.3,0.37,2.33,4.7,52.24738288608886,2.337709143742945,-11.473620061822364,0.05261711391113977,0.007709143742944846,16.173620061822362,15.0,1.7999999999999996,951,True,True,False,False,False,False,False
OG1,300.0,0.05,2,52.3,0.37,2.33,4.7,52.435089700558066,2.1376905627026046,-10.39709877810484,0.13508970055806913,0.19230943729739547,15.09709877810484,15.0,1.9999999999999996,1291,True,True,False,False,False,False,False
OG1,300.0,0.05,3,52.3,0.37,2.33,4.7,52.488959212517585,2.0615974268757933,-9.986594412350662,0.18895921251758807,0.2684025731242068,14.686594412350662,15.0,1.9999999999999996,1405,True,True,False,False,False,False,False
OG1,300.0,0.05,4,52.3,0.37,2.33,4.7,52.41300155375848,2.1651783326147562,-10.551284994247325,0.11300155375847964,0.16482166738524384,15.251284994247325,15.0,1.9999999999999996,1247,True,True,False,False,False,False,False
OG1,300.0,0.05,5,52.3,0.37,2.33,4.7,52.39522908575799,2.1915737934975157,-10.6759800184792,0.0952290857579925,0.13842620650248438,15.375980018479199,15.0,1.9999999999999996,1199,True,True,False,False,False,False,False
OG1,300.0,0.05,6,52.3,0.37,2.33,4.7,52.416195882622546,2.160513596687486,-10.528425395871546,0.11619588262254865,0.16948640331251408,15.228425395871547,15.0,1.9999999999999996,1252,True,True,False,False,False,False,False
OG1,300.0,0.05,7,52.3,0.37,2.33,4.7,52.46751403339327,2.079712318473039,-10.135798247746656,0.16751403339327453,0.25028768152696124,14.835798247746657,15.0,1.9999999999999996,1377,True,True,False,False,False,False,False
OG1,300.0,0.1,0,52.3,0.37,2.33,4.7,52.54587332745261,2.0080046682000043,-9.467029683595662,0.24587332745261392,0.32199533179999573,14.167029683595661,15.0,1.9999999999999996,2729,True,True,False,False,False,False,False
OG1,300.0,0.1,1,52.3,0.37,2.33,4.7,52.4915794184588,2.058315184205685,-9.866312930820918,0.1915794184588009,0.27168481579431525,14.566312930820917,15.0,1.9999999999999996,2546,True,True,False,False,False,False,False
OG1,300.0,0.1,2,52.3,0.37,2.33,4.7,52.21819154349024,2.30626147479113,-11.354316841185627,0.08180845650975499,0.023738525208869987,16.054316841185628,15.0,1.9999999999999996,1932,True,True,False,False,False,False,False
OG1,300.0,0.1,3,52.3,0.37,2.33,4.7,52.0960808168294,2.3873610381612536,-11.780886595822052,0.20391918317059776,0.057361038161253486,16.480886595822053,15.0,1.9999999999999996,1712,True,True,False,False,False,False,False
OG1,300.0,0.1,4,52.3,0.37,2.33,4.7,52.75772640438216,1.8484358738497575,-7.262128622258097,0.4577264043821643,0.4815641261502426,11.962128622258097,15.0,1.9999999999999996,3172,True,True,False,False,False,False,False
OG1,300.0,0.1,5,52.3,0.37,2.33,4.7,52.21234194461618,2.3073368892736372,-11.37569318127082,0.08765805538381954,0.022663110726362845,16.075693181270818,15.0,1.9999999999999996,1928,True,True,False,False,False,False,False
OG1,300.0,0.1,6,52.3,0.37,2.33,4.7,52.51732678509724,2.0311027179379293,-9.677817736332424,0.21732678509724224,0.2988972820620708,14.377817736332425,15.0,1.9999999999999996,2625,True,True,False,False,False,False,False
OG1,300.0,0.1,7,52.3,0.37,2.33,4.7,52.47114329305578,2.073972037738378,-10.001868088457968,0.1711432930557848,0.25602796226162194,14.701868088457967,15.0,1.9999999999999996,2520,True,True,False,False,False,False,False
OG1,300.0,0.2,0,52.3,0.37,2.33,4.7,52.057551535621236,2.2984343871986317,-11.106924997042675,0.24244846437876078,0.03156561280136838,15.806924997042676,15.0,1.9999999999999996,3289,True,True,False,False,False,False,False
OG1,300.0,0.2,1,52.3,0.37,2.33,4.7,52.39021016525292,2.117279338080447,-9.607250997661664,0.0902101652529197,0.21272066191955297,14.307250997661665,15.0,1.9999999999999996,4059,True,True,False,False,False,False,False
OG1,300.0,0.2,2,52.3,0.37,2.33,4.7,52.585126290878556,1.9861913081272655,-7.941155691302778,0.28512629087855856,0.34380869187273455,12.641155691302778,15.0,1.9999999999999996,4620,True,True,False,False,False,False,False
OG1,300.0,0.2,3,52.3,0.37,2.33,4.7,52.73811147705857,1.8795938423521952,-5.456959794118965,0.4381114770585697,0.4504061576478049,10.156959794118965,15.0,1.9999999999999996,5043,True,True,False,False,False,False,False
OG1,300.0,0.2,4,52.3,0.37,2.33,4.7,52.82018585491937,1.8259130976600697,-2.51756528961684,0.5201858549193759,0.5040869023399304,7.217565289616839,15.0,1.9999999999999996,5267,True,True,False,False,False,False,False
OG1,300.0,0.2,5,52.3,0.37,2.33,4.7,52.51729563598304,2.03225075516079,-8.634478458416956,0.21729563598304225,0.2977492448392103,13.334478458416955,15.0,1.9999999999999996,4426,True,True,False,False,False,False,False
OG1,300.0,0.2,6,52.3,0.37,2.33,4.7,52.31539586631552,2.162946863317271,-10.04408615078845,0.015395866315522255,0.16705313668272925,14.744086150788451,15.0,1.9999999999999996,3858,True,True,False,False,False,False,False
OG1,300.0,0.2,7,52.3,0.37,2.33,4.7,52.58860795168237,1.9827569830057357,-7.898648847872511,0.28860795168237274,0.3472430169942644,12.59864884787251,15.0,1.9999999999999996,4629,True,True,False,False,False,False,False
OG1,600.0,0.05,0,52.3,0.37,2.33,4.7,52.87460091186027,1.8429924678984702,-4.028178246767933,0.5746009118602728,0.4870075321015299,8.728178246767934,15.0,1.9999999999999996,694,True,True,False,False,False,False,False
OG1,600.0,0.05,1,52.3,0.37,2.33,4.7,52.86513185536384,1.8200520324059704,-4.570026178678492,0.5651318553638447,0.5099479675940297,9.270026178678492,15.0,1.9999999999999996,683,True,True,False,False,False,False,False
OG1,600.0,0.05,2,52.3,0.37,2.33,4.7,52.899267798243656,1.8329019613238664,-3.924504274638591,0.599267798243659,0.49709803867613367,8.624504274638591,15.0,1.9999999999999996,699,True,True,False,False,False,False,False
OG1,600.0,0.05,3,52.3,0.37,2.33,4.7,52.959991361690435,1.8298255595418271,-3.6492120762683533,0.6599913616904374,0.5001744404581729,8.349212076268353,15.0,1.9999999999999996,703,True,True,False,False,False,False,False
OG1,600.0,0.05,4,52.3,0.37,2.33,4.7,52.96341660172491,1.8186922484423242,-3.6403714690883646,0.6634166017249115,0.5113077515576758,8.340371469088364,15.0,1.9999999999999996,699,True,True,False,False,False,False,False
OG1,600.0,0.05,5,52.3,0.37,2.33,4.7,52.96379576806892,1.821100190485971,-3.636530973069807,0.6637957680689226,0.5088998095140291,8.336530973069808,15.0,1.9999999999999996,698,True,True,False,False,False,False,False
OG1,600.0,0.05,6,52.3,0.37,2.33,4.7,52.89583038285079,1.8354745456003565,-4.7137864528306945,0.5958303828507923,0.49452545439964357,9.413786452830696,15.0,1.9999999999999996,682,True,True,False,False,False,False,False
OG1,600.0,0.05,7,52.3,0.37,2.33,4.7,52.859609669845526,1.810584303620738,-2.65064765421308,0.5596096698455284,0.519415696379262,7.350647654213081,15.0,1.9999999999999996,662,True,True,False,False,False,False,False
OG1,600.0,0.1,0,52.3,0.37,2.33,4.7,52.907800663843794,1.7917171622284214,-2.344857394526222,0.6078006638437969,0.5382828377715787,7.044857394526223,15.0,1.9999999999999996,1388,True,True,False,False,False,False,False
OG1,600.0,0.1,1,52.3,0.37,2.33,4.7,52.90907330915767,1.7931209878209737,-3.0517736758562926,0.6090733091576723,0.5368790121790263,7.751773675856293,15.0,1.9999999999999996,1411,True,True,False,False,False,False,False
OG1,600.0,0.1,2,52.3,0.37,2.33,4.7,52.91067903440773,1.7959307669151803,-3.9353917387449946,0.6106790344077311,0.5340692330848198,8.635391738744994,15.0,1.9999999999999996,1389,True,True,False,False,False,False,False
OG1,600.0,0.1,3,52.3,0.37,2.33,4.7,52.91010337327152,1.7885705559218574,-5.1125851091353,0.6101033732715209,0.5414294440781426,9.8125851091353,15.0,1.9999999999999996,1366,True,True,False,False,False,False,False
OG1,600.0,0.1,4,52.3,0.37,2.33,4.7,52.90678335214006,1.7866718566170834,-2.409167488246705,0.606783352140063,0.5433281433829167,7.1091674882467055,15.0,1.9999999999999996,1389,True,True,False,False,False,False,False
OG1,600.0,0.1,5,52.3,0.37,2.33,4.7,52.91173903160605,1.7991521161458979,-4.760734435293112,0.6117390316060494,0.5308478838541022,9.460734435293114,15.0,1.9999999999999996,1379,True,True,False,False,False,False,False
OG1,600.0,0.1,6,52.3,0.37,2.33,4.7,52.90718675161529,1.78784032013106,-2.609059355172599,0.6071867516152949,0.5421596798689401,7.309059355172599,15.0,1.9999999999999996,1401,True,True,False,False,False,False,False
OG1,600.0,0.1,7,52.3,0.37,2.33,4.7,52.909665933021586,1.796251850526243,-3.039376113939391,0.6096659330215886,0.533748149473757,7.739376113939392,15.0,1.9999999999999996,1409,True,True,False,False,False,False,False
OG1,600.0,0.2,0,52.3,0.37,2.33,4.7,52.90585089369404,1.7830641829096658,1.5928059994236843,0.6058508936940399,0.5469358170903342,3.107194000576316,15.0,1.9999999999999996,2777,True,True,False,False,False,False,False
OG1,600.0,0.2,1,52.3,0.37,2.33,4.7,52.89004379482318,1.7900320558931937,-4.883160470218247,0.5900437948231811,0.5399679441068064,9.583160470218248,15.0,1.9999999999999996,2633,True,True,False,False,False,False,False
OG1,600.0,0.2,2,52.3,0.37,2.33,4.7,52.90575287152715,1.7857694883099517,-2.4936637791728073,0.6057528715271516,0.5442305116900483,7.193663779172808,15.0,1.9999999999999996,2743,True,True,False,False,False,False,False
