scenario_base,turn_deg,T_s,psi_deg,n_obs,fim_min,fim_max,sv_min,sv_max,cond,rank_tol,crlb_r_km,crlb_v,crlb_psi_deg,crlb_theta_deg,geom_sv_min,geom_cond,mean_v_los,mean_v_cross,bearing_span_rad,bearing_span_deg,crlb_r_note
LIN,0.0,60.0,-15.0,7,2.1958390469333446e-26,2298154.887959488,1.6840433192402316e-21,1515.9666513348795,9.001945698278232e+23,3,,8883.755644024654,68023.8885405371,0.0872860421957134,2.6318489144907287e-24,1.0053240241317716e+24,-0.0679875636802179,-0.5176592210941333,0.0006212164301891,0.03559307961402,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,-10.0,7,0.0,2298051.181725854,9.930552141600862e-22,1515.9324462936518,1.5265338972876837e+24,3,,13499.859258112176,68026.96686790085,0.0872866594464493,3.664051779089656e-24,7.2209712146071e+23,-0.0303121222655229,-0.3473026760628846,0.0004167707983145,0.0238792077677215,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,-5.0,7,4.760479879589113e-27,2297988.649615181,5.642921487766602e-22,1515.9118211872294,2.686395379545159e+24,3,,0.0360522347015192,47.3348035529024,0.0681382153950728,8.940849106749579e-25,2.959187895213154e+24,-0.0075923729399838,-0.1743122800928748,0.0002091756898875,0.0119848842072957,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,-3.0,7,0.0,2297975.2794408915,2.8783647356911264e-22,1515.9074112362175,5.266557752182271e+24,3,,0.0215702154095979,47.27770038278562,0.068138406706561,5.2182180724868985e-25,5.070231851933034e+24,-0.0027343567419008,-0.1046720843271861,0.0001256067074576,0.0071967342158551,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,0.0,7,0.0,2297967.754079139,0.0,1515.9049291031213,inf,2,,0.0,47.245559126153424,0.0681385143869247,0.0,inf,0.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,3.0,7,0.0,2297975.2794408915,3.2501446978776343e-22,1515.9074112362175,4.664122838057379e+24,3,,0.0215702154095979,47.27770038278562,0.068138406706561,3.997748938767712e-25,6.618118317757873e+24,-0.0027343567419008,0.1046720843271861,0.0001256067074576,0.0071967342158551,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,5.0,7,4.760479879589113e-27,2297988.649615181,3.723608879460497e-22,1515.9118211872292,4.071082302840746e+24,3,,0.0360522347015192,47.3348035529024,0.0681382153950728,9.415538032648208e-25,2.809998999300864e+24,-0.0075923729399838,0.1743122800928748,0.0002091756898875,0.0119848842072957,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,10.0,7,0.0,2298051.181725854,6.190881956962731e-22,1515.9324462936518,2.448653450077045e+24,3,,13499.859258112176,68026.96686790085,0.0872866594464493,2.507233929619925e-24,1.0552670061244396e+24,-0.0303121222655229,0.3473026760628846,0.0004167707983145,0.0238792077677215,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,60.0,15.0,7,2.1958390469333446e-26,2298154.887959488,1.6605528807492842e-21,1515.9666513348795,9.129288617721324e+23,3,,8883.755644024654,68023.8885405371,0.0872860421957134,2.9497295085550893e-24,8.969842604038348e+23,-0.0679875636802179,0.5176592210941333,0.0006212164301891,0.03559307961402,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,-15.0,13,6.251402047925863e-25,4268365.158605279,4.3637329760618815e-21,2066.002216505413,4.734483589712927e+23,3,,1819.724556459264,13899.139475401596,0.0718640433958414,4.820654774970027e-24,7.480008985240888e+23,-0.0678267537352143,-0.5176802876764716,0.0012425340010838,0.0711919541636055,UNDEFINED/UNBOUNDED (FIM rank-deficient)
