scenario,turn_deg,T_s,sigma_deg,n_obs,fim_min,fim_max,sv_min,cond,rank_tol,crlb_r_km,crlb_v,crlb_psi_deg,bearing_span_deg,rmse_far_fast_deg,rmse_near_slow_deg,rmse_psi_plus5_deg,rmse_psi_minus5_deg,mean_cost_min,std_cost_min,median_cost_min,mean_n_acc,std_n_acc,median_n_acc,mean_contraction,std_contraction,median_contraction,mean_contraction_r,std_contraction_r,median_contraction_r,mean_contraction_v,std_contraction_v,median_contraction_v,mean_contraction_psi,std_contraction_psi,median_contraction_psi,mean_contraction_theta,std_contraction_theta,median_contraction_theta,mean_n_modes_proxy,std_n_modes_proxy,median_n_modes_proxy,mean_r_width_km,std_r_width_km,median_r_width_km,mean_theta_width_deg,std_theta_width_deg,median_theta_width_deg,mean_v_width_mps,std_v_width_mps,median_v_width_mps,mean_psi_width_deg,std_psi_width_deg,median_psi_width_deg,mean_post_mean_r_km,std_post_mean_r_km,median_post_mean_r_km,mean_post_mean_v,std_post_mean_v,median_post_mean_v,mean_post_mean_theta_deg,std_post_mean_theta_deg,median_post_mean_theta_deg,mean_post_mean_psi_deg,std_post_mean_psi_deg,median_post_mean_psi_deg,mean_post_std_r_km,std_post_std_r_km,median_post_std_r_km,mean_post_std_v,std_post_std_v,median_post_std_v,mean_post_std_theta_deg,std_post_std_theta_deg,median_post_std_theta_deg,mean_post_std_psi_deg,std_post_std_psi_deg,median_post_std_psi_deg,mean_est_r0_km,std_est_r0_km,median_est_r0_km,mean_est_theta0_deg,std_est_theta0_deg,median_est_theta0_deg,mean_est_v,std_est_v,median_est_v,mean_est_psi_deg,std_est_psi_deg,median_est_psi_deg,mean_abs_err_r_km,std_abs_err_r_km,median_abs_err_r_km,mean_abs_err_theta_deg,std_abs_err_theta_deg,median_abs_err_theta_deg,mean_abs_err_v,std_abs_err_v,median_abs_err_v,mean_abs_err_psi_deg,std_abs_err_psi_deg,median_abs_err_psi_deg,mean_post_err_r_km,std_post_err_r_km,median_post_err_r_km,mean_post_err_v,std_post_err_v,median_post_err_v,mean_post_err_psi_deg,std_post_err_psi_deg,median_post_err_psi_deg,mean_grid_err_r_km,std_grid_err_r_km,median_grid_err_r_km,mean_grid_err_v,std_grid_err_v,median_grid_err_v,mean_grid_err_psi_deg,std_grid_err_psi_deg,median_grid_err_psi_deg,rate_truth_in_r_band,rate_truth_in_v_band,rate_truth_in_psi_band,rate_truth_in_theta_band,rate_r_resolved,rate_v_resolved,rate_psi_resolved,crlb_r_note
CR5,0.0,60.0,0.05,7,1.904191951835645e-26,9191954.598460725,7.447217758920994e-22,4.071082302840746e+24,3,,0.0180261173507596,23.6674017764512,0.0119848842072957,0.0009784964948443,0.0013277193154187,0.0071475111664168,0.0072020064731652,4.779184188353329e-06,2.844527547307788e-06,4.035248342350884e-06,5381.875,159.26898434723566,5456.0,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.4342905054442,0.2532452834609009,52.57960588011212,2.028755622084395,0.1145615521236993,1.9635883462948944,-1.6094221572116152e-112,3.6530118271395284e-112,-2.278378598482102e-128,-2.0079065616727187,5.2507633864871375,-1.9419305771726216,4.605926408671638,0.0031693195484014,4.604969335617847,0.6234963891304712,0.0100833812646772,0.62825909826866,4.1105492412429466e-57,7.973361450682604e-57,1.0736538341934977e-63,7.210065584820956,1.143291332704264,7.8518886048115,52.4342905054442,0.2532452834609009,52.57960588011212,-1.6094221572116152e-112,3.6530118271395284e-112,-2.278378598482102e-128,2.028755622084395,0.1145615521236993,1.9635883462948944,-2.0079065616727187,5.2507633864871375,-1.9419305771726216,2.434290505444194,0.2532452834609009,2.579605880112119,1.6094221577582874e-112,3.6530118268986783e-112,4.00922842885442e-126,0.0923071036856386,0.0736928330003697,0.0616224988443163,7.421409273456716,4.648005476961069,6.941930577172622,2.434290505444194,0.2532452834609009,2.579605880112119,0.0923071036856386,0.0736928330003697,0.0616224988443163,7.421409273456716,4.648005476961069,6.941930577172622,5.0,2.0,4.5,0.8999999999999997,0.1732050807568876,0.9999999999999996,11.375,5.194648688795037,9.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,60.0,0.1,7,4.760479879589113e-27,2297988.649615181,3.723608879460497e-22,4.071082302840746e+24,3,,0.0360522347015192,47.3348035529024,0.0119848842072957,0.0009784964948443,0.0013277193154187,0.0071475111664168,0.0072020064731652,1.985882090707243e-05,1.095907584563922e-05,1.971773116073893e-05,5456.0,0.0,5456.0,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.5161149164403,0.038711030063909,52.53306866239889,1.992733263823354,0.0177226423947141,1.984963931134173,-4.4201251618853517e-29,1.1728978628700515e-28,-2.5031115031591596e-34,0.0583964707514397,2.2125798813190336,0.4534497757298718,4.608765358298019,0.0016747548782449,4.608028391123611,0.6317490148369513,0.000638319224774,0.6314687738251757,1.7995442314741973e-15,4.356304965703962e-15,4.9465535540205276e-17,8.589653606451826,0.2107612781443812,8.682052106606783,52.5161149164403,0.038711030063909,52.53306866239889,-4.4201251618853517e-29,1.1728978628700515e-28,-2.5031115031591596e-34,1.992733263823354,0.0177226423947141,1.984963931134173,0.0583964707514397,2.2125798813190336,0.4534497757298718,2.5161149164403023,0.038711030063909,2.533068662398893,4.443150478089021e-29,1.1720275591823887e-28,5.04247919447131e-33,0.0166409971214932,0.0094855006675634,0.0170485024591273,4.94160352924856,2.2125798813190336,4.546550224270128,2.5161149164403023,0.038711030063909,2.533068662398893,0.0166409971214932,0.0094855006675634,0.0170485024591273,4.94160352924856,2.2125798813190336,4.546550224270128,4.375,2.8256636388643286,5.0,0.7499999999999997,0.278388218141501,0.7999999999999998,11.0,5.852349955359813,9.999999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,60.0,0.2,7,1.1901199698972782e-27,574497.1624037953,1.8618044397302488e-22,4.071082302840746e+24,3,,0.0721044694030384,94.6696071058048,0.0119848842072957,0.0009784964948443,0.0013277193154187,0.0071475111664168,0.0072020064731652,0.0001005555996819,4.072169179497134e-05,8.906294406034088e-05,5456.0,0.0,5456.0,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.50385312454352,0.0080402208041941,52.50597355153209,1.998280385040586,0.003624383358053,1.9973278087627968,6.641136294026957e-08,1.6237206525135945e-07,3.248764752031832e-09,0.7381545796159967,0.9179833094851864,0.9054580915986056,4.609561588220441,0.0004087086151719,4.609455840774031,0.6323368189325582,0.0002101155036147,0.6322852171524751,0.000112105542242,0.0001499188638004,6.914865689652262e-05,8.849305329189686,0.044690341907021,8.861050261534057,52.50385312454352,0.0080402208041941,52.50597355153209,6.641136294026957e-08,1.6237206525135945e-07,3.248764752031832e-09,1.998280385040586,0.003624383358053,1.9973278087627968,0.7381545796159967,0.9179833094851864,0.9054580915986056,2.503853124543518,0.0080402208041941,2.5059735515320867,6.99817156813325e-08,1.6086552201100488e-07,9.964540376964138e-09,0.0033622937274156,0.0021881981686658,0.0047895030648534,4.261845420384003,0.9179833094851864,4.0945419084013945,2.503853124543518,0.0080402208041941,2.5059735515320867,0.0033622937274156,0.0021881981686658,0.0047895030648534,4.261845420384003,0.9179833094851864,4.0945419084013945,4.375,1.1110243021644486,5.0,0.8749999999999998,0.2633913438213182,0.9999999999999996,12.0,4.153311931459037,9.999999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,120.0,0.05,13,0.0,17071000.526729282,3.3461032401636775e-21,1.2347816060518514e+24,3,,2786.5935427515524,6950.576538272561,0.0239699862790637,0.001912442469614,0.0025982466119585,0.014018094893535,0.0141243934004165,7.920753132949343e-06,2.075552985158025e-06,8.019937022387676e-06,5135.5,123.00609740984387,5189.5,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.80786115379816,0.0424244160526445,52.82703272181169,1.8308600288540344,0.0259011539386247,1.818958811247065,2.928519651744226e-205,0.0,9.044853256735678e-223,2.4010373466450785,2.4791235625644346,2.4164020395898254,4.594512445158417,0.0014690550642173,4.593873219394579,0.6203954607494968,0.0012582130158887,0.6209805673621155,1.6885118555698086e-103,3.4338791435228863e-103,3.832172649637329e-110,5.651586944703351,0.2788431050094718,5.773721373848062,52.80786115379816,0.0424244160526445,52.82703272181169,2.928519651744226e-205,0.0,9.044853256735678e-223,1.8308600288540344,0.0259011539386247,1.818958811247065,2.4010373466450785,2.4791235625644346,2.4164020395898254,2.807861153798151,0.0424244160526445,2.827032721811687,2.9285196517442536e-205,0.0,5.519671943464696e-219,0.1691399711459653,0.0259011539386247,0.1810411887529349,2.878444108042108,2.148306316350977,2.583597960410174,2.807861153798151,0.0424244160526445,2.827032721811687,0.1691399711459653,0.0259011539386247,0.1810411887529349,2.878444108042108,2.148306316350977,2.583597960410174,5.25,2.633913438213185,5.0,1.0,1.9229626863835638e-16,1.0,4.125,3.179524335494225,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,120.0,0.1,13,0.0,4267750.1316823205,1.673051620081839e-21,1.2347816060518514e+24,3,,5573.187085503105,13901.153076545124,0.0239699862790637,0.001912442469614,0.0025982466119585,0.014018094893535,0.0141243934004165,3.637949283088747e-05,1.6689391138123567e-05,2.954166967491905e-05,5452.125,4.567206476611277,5455.0,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.54822001613592,0.0565677914265273,52.553200476253934,1.9835640687033345,0.0309207611156339,1.9812392275643576,2.263053369227501e-50,5.673031588276035e-50,2.8929295230035548e-55,1.923167887404981,5.2631819229945815,5.0781602615224575,4.60498519446039,0.0016319361564481,4.605037758815477,0.6271537845897466,0.0004316083673103,0.6271975589392634,4.7419565065595884e-26,9.522547634493324e-26,1.4537658467637176e-27,6.821432915307224,0.3153975515892721,6.837824690845357,52.54822001613592,0.0565677914265273,52.553200476253934,2.263053369227501e-50,5.673031588276035e-50,2.8929295230035548e-55,1.9835640687033345,0.0309207611156339,1.9812392275643576,1.923167887404981,5.2631819229945815,5.0781602615224575,2.548220016135918,0.0565677914265273,2.553200476253931,2.263301299217951e-50,5.672932679179966e-50,4.9585998090149844e-54,0.0293324171199357,0.019127012612034,0.0222264184010488,4.310117701245451,4.311712560577698,1.5460792901967697,2.548220016135918,0.0565677914265273,2.553200476253931,0.0293324171199357,0.019127012612034,0.0222264184010488,4.310117701245451,4.311712560577698,1.5460792901967697,3.125,1.6909686573085854,3.5,0.625,0.3072051431861125,0.7,10.375,5.935855035291883,9.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,120.0,0.2,13,0.0,1066937.53292058,8.3652581004091955e-22,1.2347816060518514e+24,3,,11146.37417100621,27802.306153090245,0.0239699862790637,0.001912442469614,0.0025982466119585,0.014018094893535,0.0141243934004165,0.0001621510401274,4.100747299013311e-05,0.0001439182838679,5456.0,0.0,5456.0,0.2500000000000001,0.0,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.0,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,30.0,52.48622701677216,0.0787827520510825,52.49878432728774,2.0068588807198893,0.03654806320772,2.001563277202515,8.813825509667243e-11,2.346715794389466e-10,6.54000224717472e-14,1.84150406571316,3.437799469882145,2.504051925853756,4.609511710416708,0.0028816503428055,4.609413398902976,0.6314502900134209,0.0008517935393967,0.6315820084848403,2.9651708262938466e-06,6.035904379236663e-06,6.216811053502438e-07,8.116631951327879,0.4194906490884547,8.172613364441194,52.48622701677216,0.0787827520510825,52.49878432728774,8.813825509667243e-11,2.346715794389466e-10,6.54000224717472e-14,2.0068588807198893,0.03654806320772,2.001563277202515,1.84150406571316,3.437799469882145,2.504051925853756,2.486227016772164,0.0787827520510825,2.498784327287737,9.044875806438504e-11,2.3379077050317075e-10,1.0388778530210525e-12,0.0302566754532951,0.0216180193236831,0.0271114444442344,3.5981236405356576,2.974570226006924,2.495948074146244,2.486227016772164,0.0787827520510825,2.498784327287737,0.0302566754532951,0.0216180193236831,0.0271114444442344,3.5981236405356576,2.974570226006924,2.495948074146244,4.125,0.927024810886958,4.5,0.9249999999999996,0.1984313483298443,0.9999999999999996,9.625,5.072905971925756,9.999999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,300.0,0.05,31,0.0,40710084.824574366,1.3271977823309642e-20,4.807456423267159e+23,3,,313.45101660924524,776.1637963308112,0.0599265892513376,0.0046750938131502,0.0063755377215381,0.0346270845614905,0.0348853891009829,2.104425339132226e-05,3.4592426363870453e-06,2.003335628996287e-05,1861.875,70.09714241679185,1860.0,0.3729166666666667,0.0148779758927976,0.3791666666666667,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.4916666666666667,0.0595119035711904,0.5166666666666667,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,15.25,1.785357107135713,14.499999999999998,52.870931318137416,0.054043738378865,52.8856838879597,1.7907781856538665,0.0165046114973137,1.785265639605888,8.376736437632284e-299,0.0,6.45596872e-315,6.054531095828667,1.3133474858867615,6.288344130575137,4.589662365685998,0.0014554812555454,4.589333775653438,0.6220101542625431,0.0035025563501082,0.6231177205846594,2.2883773217296186e-150,6.053677512186704e-150,5.467711388788992e-158,2.752896051815629,0.2411465934141834,2.834146908088828,52.870931318137416,0.054043738378865,52.8856838879597,8.376736437632284e-299,0.0,6.45596872e-315,1.7907781856538665,0.0165046114973137,1.785265639605888,6.054531095828667,1.3133474858867615,6.288344130575137,2.8709313181374183,0.054043738378865,2.885683887959697,8.376736437632284e-299,0.0,6.45596872e-315,0.2092218143461335,0.0165046114973137,0.2147343603941117,1.43194393207811,0.8868224321358626,1.2883441305751366,2.8709313181374183,0.054043738378865,2.885683887959697,0.2092218143461335,0.0165046114973137,0.2147343603941117,1.43194393207811,0.8868224321358626,1.2883441305751366,5.125,3.2185982973959333,4.5,0.9499999999999996,0.1322875655532294,0.9999999999999996,1.2500000000000002,0.6614378277661478,1.0000000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,300.0,0.1,31,0.0,10177521.206143592,6.635988911654821e-21,4.807456423267159e+23,3,,626.9020332184905,1552.3275926616225,0.0599265892513376,0.0046750938131502,0.0063755377215381,0.0346270845614905,0.0348853891009829,9.032381145736142e-05,2.5561228222412554e-05,9.11134534409121e-05,3489.0,108.3201274002205,3523.0,0.265625,0.0183699917589045,0.2625,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0625,0.0734799670356182,0.0499999999999999,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,28.125,2.2043990110685487,28.5,52.861145809765645,0.0313397506857169,52.87229088710399,1.7977879571747744,0.0125707018348971,1.7931958212938026,1.2023349714331755e-77,3.120218379107996e-77,4.373822335589239e-84,4.691462311057553,0.9877526632916336,4.441871009002029,4.591564823504342,0.0004957074692906,4.591350125499337,0.621491054543461,0.0021809963655194,0.6223354383282385,9.727241584504071e-40,2.2506626954594564e-39,1.3747816473142434e-42,3.6994526902094016,0.0289023264341192,3.7094253569965727,52.861145809765645,0.0313397506857169,52.87229088710399,1.2023349714331755e-77,3.120218379107996e-77,4.373822335589239e-84,1.7977879571747744,0.0125707018348971,1.7931958212938026,4.691462311057553,0.9877526632916336,4.441871009002029,2.8611458097656444,0.0313397506857169,2.87229088710399,1.2023349714331755e-77,3.120218379107996e-77,4.373822335589239e-84,0.2022120428252257,0.0125707018348971,0.2068041787061975,0.8967459447617232,0.5164276715001489,0.9247592336132447,2.8611458097656444,0.0313397506857169,2.87229088710399,0.2022120428252257,0.0125707018348971,0.2068041787061975,0.8967459447617232,0.5164276715001489,0.9247592336132447,3.125,2.4206145913796355,2.0,0.9499999999999996,0.0866025403784438,0.9999999999999996,2.75,1.3919410907075054,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,300.0,0.2,31,0.0,2544380.301535898,3.3179944558274105e-21,4.807456423267159e+23,3,,1253.804066436981,3104.655185323245,0.0599265892513376,0.0046750938131502,0.0063755377215381,0.0346270845614905,0.0348853891009829,0.0003003744410702,6.154494965420647e-05,0.0002914005381984,4245.625,991.0518323352215,4563.5,0.2802083333333334,0.0478600208652505,0.2500000000000001,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.1208333333333334,0.1914400834610023,1.1102230246251563e-16,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,26.375,5.74320250383007,30.0,52.3944570662016,0.4678360811774618,52.5630024098984,2.060893938314789,0.2297867106319741,1.9900445261151527,5.7902740049930985e-18,1.5255276403146566e-17,3.4995902783890946e-21,7.204834067291654,4.36340182233347,8.14025669670299,4.584296588116945,0.0288622601607039,4.595258288746363,0.5812277911298052,0.0572342933146341,0.6099228649307391,6.58584909781601e-10,1.5688864746843994e-09,3.321573006150818e-11,4.386124105310404,1.2208462280996644,4.500516798141052,52.3944570662016,0.4678360811774618,52.5630024098984,5.7902740049930985e-18,1.5255276403146566e-17,3.4995902783890946e-21,2.060893938314789,0.2297867106319741,1.9900445261151527,7.204834067291654,4.36340182233347,8.14025669670299,2.394457066201598,0.4678360811774618,2.563002409898406,5.79027770762927e-18,1.5255274997778004e-17,3.4995902783890946e-21,0.1857964298314908,0.1482892132571342,0.1632602388666502,4.104179891988428,2.656365212396587,4.425225938195728,2.394457066201598,0.4678360811774618,2.563002409898406,0.1857964298314908,0.1482892132571342,0.1632602388666502,4.104179891988428,2.656365212396587,4.425225938195728,3.5,2.958039891549808,2.5,0.6999999999999997,0.3316624790355398,0.7999999999999998,5.875,3.3703671906781905,5.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
CR5,0.0,600.0,0.05,61,0.0,80119028.45337225,3.1533538454233794e-20,2.8385407310525862e+23,3,,57.59835336946692,140.88781258425308,0.1198585207989335,0.0091522427629917,0.0125599678716126,0.0689859969872694,0.0694865780894166,4.0511936943848873e-05,5.089136165222458e-06,4.1160307245332765e-05,696.5,1.4142135623730951,696.0,0.3958333333333333,0.0041666666666666,0.3958333333333333,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.5833333333333334,0.0166666666666666,0.5833333333333333,1.0,0.0,1.0,30.0,0.0,30.0,15.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,12.5,0.5000000000000004,12.5,52.912295535442695,0.0225589274873016,52.91785659251757,1.7795862544389751,0.0123347499933126,1.7778479230294957,0.0,0.0,0.0,6.703191703493643,0.4087236044541129,6.652286612721077,4.597578992563821,0.012765349167698,4.604248499459642,0.6238729426753585,0.0031277437892535,0.6244353951986503,0.0,0.0,0.0,2.48020409455684,0.1328966282522616,2.461785695623119,52.912295535442695,0.0225589274873016,52.91785659251757,0.0,0.0,0.0,1.7795862544389751,0.0123347499933126,1.7778479230294957,6.703191703493643,0.4087236044541129,6.652286612721077,2.912295535442695,0.0225589274873016,2.917856592517573,0.0,0.0,0.0,0.2204137455610249,0.0123347499933126,0.2221520769705045,1.703191703493643,0.4087236044541129,1.652286612721077,2.912295535442695,0.0225589274873016,2.917856592517573,0.2204137455610249,0.0123347499933126,0.2221520769705045,1.703191703493643,0.4087236044541129,1.652286612721077,3.125,2.368411915187052,2.5,0.8999999999999999,0.2645751311064589,0.9999999999999998,3.0,1.9364916731037085,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
