T_s,psi_deg,abs_psi_deg,sigma_deg,identifiable_rate,fim_min,cond,sv_min,crlb_psi_deg,crlb_r_km,crlb_v,bearing_span_deg,mean_abs_err_psi_deg,std_abs_err_psi_deg,median_abs_err_psi_deg,mean_abs_err_r_km,mean_abs_err_v,mean_psi_width_deg,mean_r_width_km,mean_n_acc,rate_truth_in_psi_band,crlb_r_note
60.0,-15.0,15.0,0.05,0.25,8.783356187733382e-26,9.001945698278232e+23,3.368086638480463e-21,34011.94427026855,,4441.877822012327,0.03559307961402,11.204646113459834,3.32473357946591,11.765586693697497,2.4871841949084983,0.0711504331102434,30.0,15.0,5442.375,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-15.0,15.0,0.1,0.0,2.1958390469333446e-26,9.001945698278232e+23,1.6840433192402316e-21,68023.8885405371,,8883.755644024654,0.03559307961402,12.833395127771643,2.3029547022745445,11.991764645128942,2.4868239036379265,0.0184749703810575,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-15.0,15.0,0.2,0.0,5.489597617333364e-27,9.001945698278232e+23,8.420216596201158e-22,136047.7770810742,,17767.511288049307,0.03559307961402,14.760752855012058,1.1239271227966454,14.727920264807857,2.504208405193979,0.0044601554760035,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-10.0,10.0,0.05,0.5,0.0,1.5265338972876837e+24,1.9861104283201723e-21,34013.48343395042,,6749.929629056088,0.0238792077677215,6.660420355166361,3.3620590108264685,5.846229274565447,2.519258114291035,0.0323157472825637,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-10.0,10.0,0.1,0.0,0.0,1.5265338972876837e+24,9.930552141600862e-22,68026.96686790085,,13499.859258112176,0.0238792077677215,10.92635324983948,2.201657400585803,10.627032552936976,2.5116073656349567,0.0157351684128168,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-10.0,10.0,0.2,0.0,0.0,1.5265338972876837e+24,4.965276070800431e-22,136053.9337358017,,26999.71851622435,0.0238792077677215,10.238212136334823,1.2274318879347594,10.16567650249268,2.5028714430311654,0.0027622979374666,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-5.0,5.0,0.05,0.375,1.904191951835645e-26,2.686395379545159e+24,1.1285842975533204e-21,23.6674017764512,,0.0180261173507596,0.0119848842072957,3.760444171126343,2.2708564448687505,4.018897542419107,2.5064385178529207,0.0702879319062472,30.0,15.0,5429.375,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-5.0,5.0,0.1,0.375,4.760479879589113e-27,2.686395379545159e+24,5.642921487766602e-22,47.3348035529024,,0.0360522347015192,0.0119848842072957,4.317013992039636,1.957960108711286,4.822549163846726,2.519918496609132,0.0134916734973451,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-5.0,5.0,0.2,0.25,1.1901199698972782e-27,2.686395379545159e+24,2.821460743883301e-22,94.6696071058048,,0.0721044694030384,0.0119848842072957,4.55603328538912,1.5932799311489791,4.934327345728608,2.496034374676204,0.0064329485278242,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-3.0,3.0,0.05,0.375,0.0,5.266557752182271e+24,5.756729471382255e-22,23.63885019139281,,0.0107851077047989,0.0071967342158551,3.581503171389322,2.43371167187972,3.145194588739723,2.5485974752541773,0.0488126959757122,30.0,15.0,5455.375,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-3.0,3.0,0.1,0.25,0.0,5.266557752182271e+24,2.8783647356911264e-22,47.27770038278562,,0.0215702154095979,0.0071967342158551,5.143177201971519,2.193512250889314,6.153371137664813,2.4905515857156715,0.0167820606107571,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,-3.0,3.0,0.2,0.375,0.0,5.266557752182271e+24,1.4391823678455632e-22,94.55540076557124,,0.0431404308191959,0.0071967342158551,3.06732008939862,1.4620591203315447,3.442494448371617,2.4995802206461013,0.0039376519710006,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,0.0,0.0,0.05,0.5,0.0,inf,0.0,23.622779563076712,,0.0,0.0,2.667289875643724,2.313394779256172,1.983966380542666,2.565895301058892,0.0683384615399902,30.0,15.0,5449.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,0.0,0.0,0.1,0.75,0.0,inf,0.0,47.245559126153424,,0.0,0.0,1.5387860986446775,1.2250100551544123,1.1837976084199964,2.5221765971064194,0.0161845703944001,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,0.0,0.0,0.2,0.875,0.0,inf,0.0,94.49111825230683,,0.0,0.0,0.8693252614848758,0.7692013418772725,0.7807670725801688,2.5040313412176296,0.005119394360359,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,3.0,3.0,0.05,0.5,0.0,4.664122838057379e+24,6.5002893957552695e-22,23.63885019139281,,0.0107851077047989,0.0071967342158551,3.6958173498503983,2.531748609340755,3.191598588715636,2.572566643766871,0.0339520582925474,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,3.0,3.0,0.1,0.25,0.0,4.664122838057379e+24,3.2501446978776343e-22,47.27770038278562,,0.0215702154095979,0.0071967342158551,3.2192948234608485,1.3599519369718651,3.182484964842779,2.503038075348009,0.0221715920523628,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,3.0,3.0,0.2,0.5,0.0,4.664122838057379e+24,1.6250723489388171e-22,94.55540076557124,,0.0431404308191959,0.0071967342158551,2.817614809418888,1.538787566252551,2.380487335838651,2.498041137637101,0.0057150254776348,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,5.0,5.0,0.05,0.25,1.904191951835645e-26,4.071082302840746e+24,7.447217758920994e-22,23.6674017764512,,0.0180261173507596,0.0119848842072957,5.567261318146317,2.753509355945169,6.427981912969047,2.5879981157018364,0.047848302761857,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,5.0,5.0,0.1,0.5,4.760479879589113e-27,4.071082302840746e+24,3.723608879460497e-22,47.3348035529024,,0.0360522347015192,0.0119848842072957,4.226405329752604,2.7540971146071747,3.700847104231174,2.497946016249136,0.0103097384232857,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,5.0,5.0,0.2,0.375,1.1901199698972782e-27,4.071082302840746e+24,1.8618044397302488e-22,94.6696071058048,,0.0721044694030384,0.0119848842072957,4.203468273163972,1.0413440638451548,4.176605456846782,2.50197756432749,0.0040022394771302,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,10.0,10.0,0.05,0.5,0.0,2.448653450077045e+24,1.2381763913925462e-21,34013.48343395042,,6749.929629056088,0.0238792077677215,5.688091538602224,2.326756250542421,6.107911921509137,2.497444717927416,0.0556021692681953,30.0,15.0,5431.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,10.0,10.0,0.1,0.25,0.0,2.448653450077045e+24,6.190881956962731e-22,68026.96686790085,,13499.859258112176,0.0238792077677215,8.604213720988328,2.4642321372109284,8.92256441139272,2.497579465072201,0.0207725258285397,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,10.0,10.0,0.2,0.0,0.0,2.448653450077045e+24,3.095440978481365e-22,136053.9337358017,,26999.71851622435,0.0238792077677215,9.056274306400956,1.2911817368241585,8.796419468697113,2.495717405155084,0.0048776554336449,30.0,15.0,6138.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,15.0,15.0,0.05,0.5,8.783356187733382e-26,9.129288617721324e+23,3.3211057614985685e-21,34011.94427026855,,4441.877822012327,0.03559307961402,8.771271349489325,3.400549529941568,8.973381603647365,2.2782436868785165,0.1245987710385586,29.625,15.0,5188.625,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,15.0,15.0,0.1,0.125,2.1958390469333446e-26,9.129288617721324e+23,1.6605528807492842e-21,68023.8885405371,,8883.755644024654,0.03559307961402,12.232684115238708,3.281264960905075,12.30230618537464,2.429794222238192,0.0430193979663096,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
60.0,15.0,15.0,0.2,0.0,5.489597617333364e-27,9.129288617721324e+23,8.302764403746421e-22,136047.7770810742,,17767.511288049307,0.03559307961402,15.441331608353122,1.5891539243016024,14.860200282070164,2.4960030124734303,0.0074227662185431,30.0,15.0,5609.75,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-15.0,15.0,0.05,0.875,2.5005608191703452e-24,4.734483589712927e+23,8.727465952123763e-21,6949.569737700797,,909.862278229632,0.0711919541636055,5.732173320512196,3.355744310594752,4.014422171153747,2.247678281990936,0.2280336230508549,23.0,15.0,3697.25,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-15.0,15.0,0.1,0.625,6.251402047925863e-25,4.734483589712927e+23,4.3637329760618815e-21,13899.139475401596,,1819.724556459264,0.0711919541636055,8.743902160714516,3.7213107843112456,7.084947696190265,2.35532318515771,0.1293899586167338,29.5,15.0,5174.625,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-15.0,15.0,0.2,0.25,1.5628505119814658e-25,4.734483589712927e+23,2.1818664880309407e-21,27798.27895080319,,3639.449112918528,0.0711919541636055,11.203518304361827,2.148565524179548,11.987820459271092,2.4580260188543672,0.0422807743009839,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-10.0,10.0,0.05,0.875,5.829723026243295e-25,4.784968043128315e+23,8.634997499537433e-21,6950.197795225511,,1382.6338469938194,0.0477601487041398,3.409938995818254,3.3462824985382285,2.397240537807386,2.593588496257082,0.116722905410709,29.375,15.0,4523.75,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-10.0,10.0,0.1,0.75,1.4574307565608238e-25,4.784968043128315e+23,4.317498749768717e-21,13900.395590451022,,2765.2676939876387,0.0477601487041398,5.611329548784752,3.125052470749335,5.179572433108156,2.5073860959940983,0.0794100139011958,30.0,15.0,5323.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-10.0,10.0,0.2,0.125,3.643576891402059e-26,4.784968043128315e+23,2.1587493748843586e-21,27800.791180902044,,5530.535387975277,0.0477601487041398,8.673118430913316,2.5342320513172902,9.038446361714383,2.527079593872512,0.0291406640511177,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-5.0,5.0,0.05,0.625,0.0,1.2958750832703774e+24,3.1883526323212358e-21,6950.576538272561,,2786.5935427515524,0.0239699862790637,2.596787338410089,1.8291613935885145,1.7678872158313808,2.7346788290488915,0.1427237396267809,30.0,15.0,4926.875,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-5.0,5.0,0.1,0.625,0.0,1.2958750832703774e+24,1.5941763161606179e-21,13901.153076545124,,5573.187085503105,0.0239699862790637,4.708098783779334,3.4700040272881747,2.9620446546236376,2.556762038716723,0.0654200727491067,30.0,15.0,5436.875,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-5.0,5.0,0.2,0.5,0.0,1.2958750832703774e+24,7.970881580803089e-22,27802.306153090245,,11146.37417100621,0.0239699862790637,4.064026740638041,3.2573945746199024,3.985718513737959,2.4910983529725934,0.0311345535013952,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-3.0,3.0,0.05,0.625,1.292181480884101e-25,2.0299350570417585e+24,2.035376835208193e-21,6950.657522686954,,4651.891810358134,0.0143935155467284,2.3975875582832407,1.6797523481110992,2.030223638122544,2.8228591844615867,0.1782045586633993,30.0,15.0,5180.375,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-3.0,3.0,0.1,0.25,3.2304537022102527e-26,2.0299350570417585e+24,1.0176884176040964e-21,13901.315045373907,,9303.783620716267,0.0143935155467284,4.573726663645143,3.400682786800961,3.358689050511816,2.431114573088747,0.1383402053265075,29.625,15.0,5174.875,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,-3.0,3.0,0.2,0.5,8.076134255525632e-27,2.0299350570417585e+24,5.088442088020485e-22,27802.63009074781,,18607.56724143253,0.0143935155467284,3.0579876203066565,1.9236798558088328,2.5080145489959635,2.5392834598563416,0.0239817854376394,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,0.0,0.0,0.05,0.5,0.0,inf,0.0,9.265616458263766,,0.0,0.0,2.776136957390672,2.4882967809493413,2.145722222120952,2.800093550972256,0.1641903221255812,30.0,15.0,5114.625,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,0.0,0.0,0.1,0.0,0.0,inf,0.0,18.53123291652753,,0.0,0.0,5.237845296153065,2.558156254036529,4.782103669010464,2.507115433315213,0.0855117724927846,30.0,15.0,5363.25,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,0.0,0.0,0.2,0.875,0.0,inf,0.0,37.06246583305506,,0.0,0.0,1.2763844405282234,0.8046873287965458,1.2258465358370736,2.56136604934225,0.0283784239025946,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,3.0,3.0,0.05,0.375,1.292181480884101e-25,2.8371407121921146e+24,1.4562840589205304e-21,6950.657522686954,,4651.891810358134,0.0143935155467284,4.499100049923007,2.083827677085928,4.814947468737623,2.6986672778845104,0.1222542209679243,30.0,15.0,4822.625,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,3.0,3.0,0.1,0.375,3.2304537022102527e-26,2.8371407121921146e+24,7.281420294602652e-22,13901.315045373907,,9303.783620716267,0.0143935155467284,2.903083412141501,1.8213851091495248,2.6879362303360272,2.597013250030902,0.0686726570410484,30.0,15.0,5446.75,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,3.0,3.0,0.2,0.625,8.076134255525632e-27,2.8371407121921146e+24,3.640710147301326e-22,27802.63009074781,,18607.56724143253,0.0143935155467284,2.353713039997489,2.056508153051224,1.4145581530442026,2.528091055821916,0.0176572157840697,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,5.0,5.0,0.05,0.375,0.0,1.2347816060518514e+24,3.3461032401636775e-21,6950.576538272561,,2786.5935427515524,0.0239699862790637,3.137810608250576,1.322066619163936,3.663951843222352,2.7652360103992235,0.1442342072407917,30.0,15.0,5014.875,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,5.0,5.0,0.1,0.25,0.0,1.2347816060518514e+24,1.673051620081839e-21,13901.153076545124,,5573.187085503105,0.0239699862790637,5.201524324539363,3.153158389793486,6.251947205396219,2.657541048388519,0.0774029102289389,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,5.0,5.0,0.2,0.375,0.0,1.2347816060518514e+24,8.3652581004091955e-22,27802.306153090245,,11146.37417100621,0.0239699862790637,4.542835973612804,2.971833348474477,4.195419550280832,2.4956635216086687,0.0270649485921432,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,10.0,10.0,0.05,0.875,5.829723026243295e-25,4.403103999677307e+23,9.383877167290994e-21,6950.197795225511,,1382.6338469938194,0.0477601487041398,4.022672271863909,1.6523170485263274,3.671921969080453,2.5753051311232014,0.1564048669700062,28.0,15.0,4570.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,10.0,10.0,0.1,0.5,1.4574307565608238e-25,4.403103999677307e+23,4.691938583645497e-21,13900.395590451022,,2765.2676939876387,0.0477601487041398,5.99003043611097,3.2799136965116142,5.784676518969071,2.5605486010416696,0.0703357177507016,30.0,15.0,5433.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,10.0,10.0,0.2,0.5,3.643576891402059e-26,4.403103999677307e+23,2.345969291822749e-21,27800.791180902044,,5530.535387975277,0.0477601487041398,5.7436441422678985,2.861146768872896,5.9564578318053325,2.4088876632539105,0.0550958251711579,30.0,15.0,5449.125,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,15.0,15.0,0.05,1.0,2.5005608191703452e-24,4.844477214788656e+23,8.52930925218747e-21,6949.569737700797,,909.862278229632,0.0711919541636055,3.858823067617482,1.0882896841562049,3.5381950673074463,1.9646531373708087,0.3007244206602498,19.875,15.0,3136.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,15.0,15.0,0.1,0.875,6.251402047925863e-25,4.844477214788656e+23,4.264654626093735e-21,13899.139475401596,,1819.724556459264,0.0711919541636055,6.348474087570617,3.160047954696024,5.410737937866454,2.1012183233537938,0.2109318826064697,29.625,15.0,4846.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
120.0,15.0,15.0,0.2,0.25,1.5628505119814658e-25,4.844477214788656e+23,2.132327313046868e-21,27798.27895080319,,3639.449112918528,0.0711919541636055,11.773851436976033,3.6523635333641766,11.18138832504281,2.4304503906661985,0.0471671641389652,30.0,15.0,5456.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-15.0,15.0,0.05,1.0,1.8911135952856078e-23,6.266180309042423e+22,1.0184164543450456e-19,775.8840492332042,,102.34734772680572,0.1780230865322841,2.7015061204649595,0.5082056193525238,2.535982585402469,1.976927071127024,0.46089753089783,8.499999999999998,15.0,749.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-15.0,15.0,0.1,1.0,4.7277839882140194e-24,6.266180309042423e+22,5.092082271725228e-20,1551.7680984664084,,204.69469545361144,0.1780230865322841,3.4764669325592843,1.1974426584159252,3.5427729355977844,2.0013254936157425,0.324711711518963,12.0,15.0,1838.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-15.0,15.0,0.2,1.0,1.1819459970535043e-24,6.266180309042423e+22,2.546041135862614e-20,3103.536196932817,,409.3893909072229,0.1780230865322841,5.1031523271281065,1.8736647159005293,4.430331221124581,2.189378697491522,0.2104951178070359,24.25,15.0,3740.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-10.0,10.0,0.05,1.0,0.0,2.507361403036946e+23,2.544855542546786e-20,776.0585636234978,,155.5264927760997,0.1194132894122969,0.6383306214135029,0.5678276324911791,0.4730631417404021,2.3849522642505514,0.1267725083043865,11.125,15.0,1274.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-10.0,10.0,0.1,1.0,0.0,2.507361403036946e+23,1.272427771273393e-20,1552.1171272469956,,311.0529855521994,0.1194132894122969,1.5053619466679746,1.2983895573344126,1.1845449891852209,2.3980379442263766,0.1800341003805105,15.625,15.0,2462.125,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-10.0,10.0,0.2,0.875,0.0,2.507361403036946e+23,6.362138856366965e-21,3104.234254493991,,622.1059711043988,0.1194132894122969,2.2981321675984905,2.7522546138476254,1.3870517408379712,2.339126071837402,0.1887571356493784,25.875,15.0,4033.75,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-5.0,5.0,0.05,0.875,0.0,4.734064692076608e+23,1.3477731967397611e-20,776.1637963308112,,313.45101660924524,0.0599265892513376,1.8714751596817127,1.5425213984739774,1.8314522109283848,2.8182466250320823,0.1915909486204947,14.875,15.0,1811.375,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-5.0,5.0,0.1,0.75,0.0,4.734064692076608e+23,6.738865983698806e-21,1552.3275926616225,,626.9020332184905,0.0599265892513376,2.566283232102788,1.2700102956488024,2.27924115830689,2.814832361179869,0.1760108537060559,25.875,15.0,3396.0,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-5.0,5.0,0.2,0.875,0.0,4.734064692076608e+23,3.369432991849403e-21,3104.655185323245,,1253.804066436981,0.0599265892513376,2.3958381056214826,1.3857591043871749,2.134842184875378,2.690985749690153,0.1325827384200409,29.75,15.0,4908.125,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
300.0,-3.0,3.0,0.05,0.75,6.203168772238391e-25,5.874282969427215e+23,1.086150300252024e-20,776.1862968795731,,523.2696234904859,0.0359841399631083,1.4463603176489903,0.9396673972143214,1.113361348878088,2.904765620601963,0.2178775512800022,18.5,15.0,1929.5,1.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
