k_rad_per_m,dr_m,k_dr_rad,k_dr_over_pi,folds_if_spatial_Nyquist,omega_s_wrapped,dr_tag
1.32,2.5,3.3000000000000003,1.0504226244065094,True,-2.9831853071795855,REF7_CONSISTENT_SAMPLING_ASSUMPTION dr=2.5m
1.4100000000000001,2.5,3.5250000000000004,1.1220423487978624,True,-2.758185307179586,REF7_CONSISTENT_SAMPLING_ASSUMPTION dr=2.5m
1.5,2.5,3.75,1.1936620731892151,True,-2.5331853071795862,REF7_CONSISTENT_SAMPLING_ASSUMPTION dr=2.5m
1.32,0.5,0.66,0.21008452488130186,False,0.6600000000000001,control dr=0.5m
1.4100000000000001,0.5,0.7050000000000001,0.22440846975957246,False,0.7050000000000001,control dr=0.5m
1.5,0.5,0.75,0.238732414637843,False,0.75,control dr=0.5m
1.32,0.3,0.396,0.12605071492878112,False,0.3959999999999999,control dr=0.3m
1.4100000000000001,0.3,0.42300000000000004,0.13464508185574348,False,0.42300000000000004,control dr=0.3m
1.5,0.3,0.44999999999999996,0.14323944878270578,False,0.4500000000000002,control dr=0.3m
1.5,1.8849555921538759,2.827433388230814,0.9,False,,NO_FOLD_CONTROL dr=0.9*pi/kmax=1.8850m
