pair_id,mechanism,z_true,J_fixed,J_profile,z_alt_star_diagnostic,rho_z,rho_50m,rho_25m,rho_10m,status,z_alt_star_label,case_class
A09,A,200.0,5.198137041464699,2.8167506488346032,175.0,0.5418769506009247,0.5418769506009247,0.5418769506009247,0.837392476192189,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A09,A,220.0,3.9739591814639,2.8167506488346032,175.0,0.7088021089831597,0.7088021089831597,0.9262685605487181,0.9262685605487181,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,180.0,1.7539469905038207,1.0633058257760721,175.0,0.6062360102859424,0.6062360102859424,0.6062360102859424,0.6062360102859424,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,200.0,2.916339188438888,1.0633058257760724,175.0,0.3646029343881836,0.3646029343881836,0.3646029343881836,0.6196345526714826,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,220.0,3.295883436862783,1.0633058257760724,175.0,0.32261633220505814,0.32261633220505814,0.4598110115338376,0.6869298769277501,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,180.0,4.539596803679151,2.707920896683704,195.0,0.5965113233159933,0.5965113233159933,0.5965113233159933,0.6564233921462593,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,200.0,4.168800020157235,2.7255447038357827,195.0,0.6537959822148013,0.6537959822148013,0.6537959822148013,0.6537959822148013,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,220.0,3.5593033725349494,2.6997602473366604,195.0,0.758508046312973,0.758508046312973,0.758508046312973,0.9222906218663457,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,180.0,3.8504122297977794,2.7032757466020776,175.0,0.70207437159113,0.70207437159113,0.70207437159113,0.70207437159113,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,200.0,5.100558777900568,2.730490141256918,175.0,0.5353315705501603,0.5353315705501603,0.5353315705501603,0.7977179154057781,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,220.0,3.947652250510032,2.718138233825739,175.0,0.6885455104295366,0.6885455104295366,0.9620247451120292,0.9620247451120292,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,180.0,2.505182728024221,1.3488380050264297,175.0,0.5384190102932039,0.5384190102932039,0.5384190102932039,0.5384190102932039,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,200.0,1.8760532892762394,1.1510264046214609,210.0,0.6135360926050849,0.6135360926050849,0.6135360926050849,0.6135360926050849,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,220.0,1.9006746470866382,1.3288487988808735,175.0,0.6991458537723636,0.6991458537723636,0.7651239975218518,0.7651239975218518,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,180.0,3.2542494767178884,1.9580935160971646,210.0,0.6017035664002082,0.6017035664002082,0.6414082594071773,0.6414082594071773,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,200.0,2.318573931417688,1.647749845342147,205.0,0.7106738426644145,0.7106738426644145,0.7106738426644145,0.7106738426644145,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,220.0,2.047386460201923,1.9520133532663924,210.0,0.9534171448383396,0.9534171448383396,0.9534171448383396,0.9534171448383396,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B05,B,180.0,4.537209772480555,2.7408647737145837,195.0,0.6040859715895647,0.6040859715895647,0.6040859715895647,0.6804048020750353,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B05,B,200.0,4.049071175705553,2.648319344688156,195.0,0.6540560118029254,0.6540560118029254,0.6540560118029254,0.6540560118029254,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B05,B,220.0,3.5490489008236743,2.7535475730894223,195.0,0.7758550670999125,0.7758550670999125,0.7758550670999125,0.928906747191676,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B06,B,180.0,3.048910678425038,2.6114404981805186,195.0,0.856515908012595,0.856515908012595,0.856515908012595,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B06,B,200.0,3.8237664487360132,2.5121143563802937,195.0,0.6569737953558068,0.6569737953558068,0.6569737953558068,0.6569737953558068,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B06,B,220.0,3.2782927672877675,2.5378214778614967,195.0,0.7741289927443284,0.7741289927443284,0.7741289927443284,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B07,B,180.0,4.162478737799574,3.154296426752716,165.0,0.7577928021850229,0.7577928021850229,0.7577928021850229,0.8775436858076451,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B07,B,200.0,3.973903479638434,3.188590166002423,165.0,0.8023823885859798,0.8023823885859798,0.919536040031605,0.963352591361391,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B07,B,220.0,3.9269639144944004,3.1637490647731252,165.0,0.8056476029982721,0.928741272533907,0.9706353007474938,0.9834543402813066,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B08,B,180.0,2.475155875291792,1.3365362607817093,175.0,0.5399806428854294,0.5399806428854294,0.5399806428854294,0.5399806428854294,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B08,B,200.0,1.864817140675811,1.1385484957850511,210.0,0.610541629498558,0.610541629498558,0.610541629498558,0.610541629498558,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B08,B,220.0,1.8778606968961813,1.3351300938542818,175.0,0.710984630575127,0.710984630575127,0.7651895947735027,0.7651895947735027,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B09,B,180.0,4.430642491937205,3.268953279179714,205.0,0.7378056986381748,0.7378056986381748,0.7378056986381748,0.8405759286271093,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B09,B,200.0,4.383859900761957,3.2465874852990897,205.0,0.7405773813015333,0.7405773813015333,0.7405773813015333,0.7405773813015333,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B09,B,220.0,3.606763509950595,3.214332163835974,205.0,0.8911957091081925,0.8911957091081925,0.8911957091081925,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B10,B,180.0,3.5080936503215336,1.7090044692899322,205.0,0.4871604465671245,0.4871604465671245,0.4871604465671245,0.6339659610445523,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B10,B,200.0,2.6336503868171546,1.8171123733022956,210.0,0.6899596022303972,0.6899596022303972,0.6899596022303972,0.6899596022303972,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B10,B,220.0,2.062931525885241,1.8181650601733776,205.0,0.8813501744286788,0.8813501744286788,0.8813501744286788,0.9461796335987387,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
C01,C,180.0,3.0405591369913734,1.342835752570543,195.0,0.44164105747315807,0.44164105747315807,0.44164105747315807,0.5453928175390133,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C01,C,200.0,2.1696425639277703,1.3801538215291802,195.0,0.6361203658498686,0.6361203658498686,0.6361203658498686,0.6361203658498686,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C01,C,220.0,2.6447854524510164,1.3988385046176675,195.0,0.5289043401691862,0.5289043401691862,0.5289043401691862,0.5947853005282231,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C02,C,180.0,3.2920903351744037,2.6037058848772974,230.0,0.7908974602118146,0.7908974602118146,0.9252342799718306,0.9916382881188193,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C02,C,200.0,4.4348118433546135,2.6100560168210025,230.0,0.5885381632891745,0.5885381632891745,0.7437086873234634,0.7964206853482477,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C02,C,220.0,3.7764052751760375,2.591102117316226,230.0,0.6861292495137301,0.6861292495137301,0.6861292495137301,0.6861292495137301,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C03,C,180.0,3.3859443177609423,2.7125315540709414,230.0,0.801115227985995,0.801115227985995,0.9713749932455622,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
C03,C,200.0,5.1122589775665785,2.7358677140423975,230.0,0.5351582785707509,0.5351582785707509,0.6577244029057226,0.7183193564489301,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C03,C,220.0,3.510228797159231,2.7094090474547547,230.0,0.7718610962474679,0.7718610962474679,0.7718610962474679,0.7718610962474679,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C04,C,180.0,2.986021543328453,2.8792529147003405,235.0,0.9642438518681617,1.0,1.0,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
C04,C,200.0,3.775741238659198,2.8659047623925873,235.0,0.759031030264748,0.759031030264748,0.7886432541250006,0.9738669826863119,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C04,C,220.0,3.6122269786057633,2.8851412656722526,235.0,0.7987153860375217,0.7987153860375217,0.7987153860375217,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C05,C,180.0,4.605545108329066,3.593690068433402,230.0,0.7802963566536917,0.7802963566536917,0.8640187250318377,0.8860199940671414,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C05,C,200.0,5.171868746213633,3.6189852515572065,230.0,0.6997442180269356,0.6997442180269356,0.809908809389991,0.8549490501902332,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C05,C,220.0,4.213585592011114,3.5683873197449794,230.0,0.8468766663979914,0.8468766663979914,0.8468766663979914,0.8468766663979914,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
C06,C,180.0,3.026086669136771,1.327894377116004,195.0,0.4388157122726437,0.4388157122726437,0.4388157122726437,0.5404242188038028,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C06,C,200.0,2.1380297654233575,1.3549074445040408,195.0,0.6337177650264152,0.6337177650264152,0.6337177650264152,0.6337177650264152,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C06,C,220.0,2.6406545091150737,1.3728786844689804,195.0,0.5199009108272382,0.5199009108272382,0.5199009108272382,0.593721405212484,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C07,C,180.0,3.0744174747771424,1.7505759668063485,195.0,0.5694008641208507,0.5694008641208507,0.5694008641208507,0.6543017165975316,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C07,C,200.0,3.4006600001781484,1.6625532726899803,210.0,0.488891354208561,0.488891354208561,0.488891354208561,0.488891354208561,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C07,C,220.0,2.9587813826919214,1.6909571954119855,225.0,0.5715046083849359,0.5715046083849359,0.5715046083849359,0.5715046083849359,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C08,C,180.0,4.622529377913993,3.45444426093153,195.0,0.7473060695809824,0.7473060695809824,0.7473060695809824,0.8167033704062995,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C08,C,200.0,3.2784553952774167,1.9177147611447862,195.0,0.5849445943071959,0.5849445943071959,0.5849445943071959,0.5849445943071959,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C08,C,220.0,3.357838642245732,1.998095436168046,195.0,0.595054035959189,0.595054035959189,0.595054035959189,0.6464465252432107,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C09,C,180.0,3.0522649823822854,1.6996091794179937,195.0,0.5568353957563189,0.5568353957563189,0.5568353957563189,0.6430824839061293,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C09,C,200.0,3.3792451777751373,1.6319109201742508,210.0,0.48292172787790594,0.48292172787790594,0.48292172787790594,0.48292172787790594,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C09,C,220.0,2.940776774314856,1.6781705631919204,225.0,0.5706555417090104,0.5706555417090104,0.5706555417090104,0.5706555417090104,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C10,C,180.0,4.180250158089846,3.130491866689558,165.0,0.7488766816098938,0.7488766816098938,0.7488766816098938,0.8755521085778099,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
C10,C,200.0,3.983095374802313,3.1960171948711644,165.0,0.8023953468675823,0.8023953468675823,0.9196780317805809,0.9610161331465236,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
C10,C,220.0,3.9304089612938617,3.147854756474318,165.0,0.8008975115500621,0.9289331137159038,0.968072468952631,0.9852230019810738,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
