pair_id,mechanism,tag,r_start,r_end,r_span,r_min,r_max,in_estd_band
A01,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A01,A,alt,60000.0,60300.0,300.0,60000.0,60300.0,True
A02,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A02,A,alt,60000.0,60360.0,360.0,60000.0,60360.0,True
A03,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A03,A,alt,60000.0,59940.0,-60.0,59940.0,60000.0,True
A04,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A04,A,alt,60000.0,60240.0,240.0,60000.0,60240.0,True
A05,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A05,A,alt,57000.0,57000.0,0.0,57000.0,57000.0,True
A06,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A06,A,alt,45000.0,44520.0,-480.0,44520.0,45000.0,True
A07,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A07,A,alt,55000.0,55240.0,240.0,55000.0,55240.0,True
A08,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A08,A,alt,45000.0,45480.0,480.0,45000.0,45480.0,True
A09,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A09,A,alt,54000.0,53820.0,-180.0,53820.0,54000.0,True
A10,A,ref,50000.0,50000.0,0.0,50000.0,50000.0,True
A10,A,alt,46000.0,45970.0,-30.0,45970.0,46000.0,True
B01,B,ref,50000.0,49998.8652460943,-1.1347539057023823,49998.86524609429,50000.0,True
B01,B,alt,50000.0,49696.59069042938,-303.40930957061937,49696.59069042938,50000.0,True
B02,B,ref,50000.0,49997.744166140925,-2.25583385907521,49997.744166140925,50000.0,True
B02,B,alt,54000.0,53755.59730222707,-244.40269777292997,53755.59730222707,54000.0,True
B03,B,ref,50000.0,49990.99322476563,-9.006775234367524,49990.99322476563,50000.0,True
B03,B,alt,52000.0,51867.81002198534,-132.1899780146632,51867.81002198534,52000.0,True
B04,B,ref,50000.0,49982.20367323544,-17.796326764560945,49982.20367323544,50000.0,True
B04,B,alt,52000.0,51735.84597393661,-264.15402606339194,51735.84597393661,52000.0,True
B05,B,ref,50000.0,50007.9454973224,7.945497322398296,49998.86524609429,50007.9454973224,True
B05,B,alt,50000.0,49705.671145345455,-294.32885465454456,49705.671145345455,50000.0,True
B06,B,ref,50000.0,49992.08715788169,-7.9128421183122555,49992.08715788169,50000.0,True
B06,B,alt,53000.0,53294.49859548774,294.4985954877411,53000.0,53294.49859548774,True
B07,B,ref,50000.0,49998.8652460943,-1.1347539057023823,49998.86524609429,50000.0,True
B07,B,alt,47000.0,46757.644231968414,-242.3557680315862,46757.644231968414,47000.0,True
B08,B,ref,50000.0,49992.08715788169,-7.9128421183122555,49992.08715788169,50000.0,True
B08,B,alt,52000.0,51868.90377014746,-131.096229852541,51868.90377014746,52000.0,True
B09,B,ref,50000.0,50015.903843267726,15.903843267726188,49997.744166140925,50015.903843267726,True
B09,B,alt,50000.0,49411.355581824726,-588.644418175274,49411.355581824726,50000.0,True
B10,B,ref,50000.0,50007.9454973224,7.945497322398296,49998.86524609429,50007.9454973224,True
B10,B,alt,52000.0,51705.670891318056,-294.3291086819445,51705.670891318056,52000.0,True
C01,C,ref,50000.0,49990.99322476563,-9.006775234367524,49990.99322476563,50000.0,True
C01,C,alt,52000.0,52172.522028592546,172.52202859254612,52000.0,52172.522028592546,True
C02,C,ref,50000.0,49998.8652460943,-1.1347539057023823,49998.86524609429,50000.0,True
C02,C,alt,49000.0,48818.01739526805,-181.98260473195114,48818.01739526805,49000.0,True
C03,C,ref,50000.0,49997.74416614092,-2.255833859082486,49997.74416614092,50000.0,True
C03,C,alt,49000.0,48636.04772864932,-363.95227135068126,48636.04772864932,49000.0,True
C04,C,ref,50000.0,49998.8652460943,-1.1347539057023823,49998.86524609429,50000.0,True
C04,C,alt,47000.0,46878.518257688294,-121.4817423117056,46878.518257688294,47000.0,True
C05,C,ref,50000.0,49995.5430317594,-4.456968240599963,49995.54303175939,50000.0,True
C05,C,alt,49000.0,48272.14779500891,-727.8522049910898,48272.14779500891,49000.0,True
C06,C,ref,50000.0,49992.08715788169,-7.9128421183122555,49992.08715788169,50000.0,True
C06,C,alt,52000.0,52173.61576623834,173.61576623834117,52000.0,52173.61576623834,True
C07,C,ref,50000.0,49982.20367323544,-17.796326764560945,49982.20367323544,50000.0,True
C07,C,alt,52000.0,52345.26843778016,345.26843778016337,52000.0,52345.26843778016,True
C08,C,ref,50000.0,49969.08007522318,-30.919924776819244,49969.08007522318,50000.0,True
C08,C,alt,52000.0,52695.233751250606,695.2337512506056,52000.0,52695.233751250606,True
C09,C,ref,50000.0,49984.29618519197,-15.703814808031893,49984.29618519197,50000.0,True
C09,C,alt,52000.0,52347.360833002735,347.3608330027346,52000.0,52347.360833002735,True
C10,C,ref,50000.0,49997.74416614092,-2.255833859082486,49997.74416614092,50000.0,True
C10,C,alt,47000.0,46757.04889404377,-242.95110595622828,46757.04889404377,47000.0,True
