pair_id,mechanism,z_true,prior_halfwidth_m,rho_prior,label
A07,A,220.0,10.0,0.9389769916287077,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,180.0,50.0,0.9047712920897462,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,180.0,25.0,1.0,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,180.0,10.0,1.0,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,200.0,50.0,0.5951525324195396,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,200.0,25.0,0.8271809677480334,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,200.0,10.0,0.828410881154334,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,220.0,50.0,0.637298473742886,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,220.0,25.0,0.637298473742886,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A08,A,220.0,10.0,0.8014084883459426,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,180.0,50.0,0.6834379772848105,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,180.0,25.0,0.6834379772848105,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,180.0,10.0,0.6834379772848105,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,200.0,50.0,0.5418769506009247,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,200.0,25.0,0.5418769506009247,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,200.0,10.0,0.837392476192189,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,220.0,50.0,0.7088021089831597,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,220.0,25.0,0.9262685605487181,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A09,A,220.0,10.0,0.9262685605487181,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,180.0,50.0,0.6062360102859424,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,180.0,25.0,0.6062360102859424,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,180.0,10.0,0.6062360102859424,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,200.0,50.0,0.3646029343881836,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,200.0,25.0,0.3646029343881836,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,200.0,10.0,0.6196345526714826,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,220.0,50.0,0.32261633220505814,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,220.0,25.0,0.4598110115338376,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
A10,A,220.0,10.0,0.6869298769277501,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
