n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,eps_k,recovered_ks,k_true,dr_tag,p,p_tag,branch_role,power,power_tag,selected_abs_err
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.319990,1.32,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,9.53199999997878e-06
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.410082,1.41,NO_FOLD,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,8.234000000006958e-05
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.410082,1.41,NO_FOLD,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,8.234000000006958e-05
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.410082,1.41,NO_FOLD,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,8.234000000006958e-05
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.410082,1.41,NO_FOLD,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,8.234000000006958e-05
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.409728,1.41,AUX,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,0.000271656000000009
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.409728,1.41,AUX,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,0.000271656000000009
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.409728,1.41,AUX,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,0.000271656000000009
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.409728,1.41,AUX,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,0.000271656000000009
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.410035,1.41,REF7_2p5,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,3.514000000004458e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.410035,1.41,REF7_2p5,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,3.514000000004458e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.410035,1.41,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,3.514000000004458e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.410035,1.41,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,3.514000000004458e-05
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.500005,1.5,NO_FOLD,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,5.350999999986783e-06
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.500005,1.5,NO_FOLD,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,5.350999999986783e-06
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.500005,1.5,NO_FOLD,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,5.350999999986783e-06
1,1,0,1.0,1.0,1.0,0.00010172286491814596,1.500005,1.5,NO_FOLD,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,5.350999999986783e-06
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.500233,1.5,AUX,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,0.00023321100000006645
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.500233,1.5,AUX,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,0.00023321100000006645
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.500233,1.5,AUX,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,0.00023321100000006645
1,1,0,1.0,1.0,1.0,0.0003834951979714103,1.500233,1.5,AUX,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,0.00023321100000006645
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.499926,1.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,7.358600000006987e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.499926,1.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,7.358600000006987e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.499926,1.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,1,PRINTED_EQ19_POWER_1,7.358600000006987e-05
1,1,0,1.0,1.0,1.0,7.669904039428205e-05,1.499926,1.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,2,STANDARD_PSD_POWER_2,7.358600000006987e-05
