config,n_elements,spacing_m,aperture_m,note,r_hat_km,z_hat_m,err_r_km,err_z_m,r_mainlobe_km,z_mainlobe_m,corr_rz,truth_is_best,J_min
single,1,0.0,0.0,单通道/当前R3-0参考,50.0,200.0,0.0,0.0,7.75,92.5,-0.5692035860528442,True,1.1102230246251565e-16
hla_8x2m,8,2.0,14.0,基准水平阵 8×2m（孔径约14m）,45.0,167.5,-5.0,-32.5,15.0,100.0,0.0,False,1.5551473886432632e-08
hla_diag_8x10m,8,10.0,70.0,大孔径诊断参考 8×10m（孔径约70m，非装备要求）,50.25,250.0,0.25,50.0,15.0,100.0,0.0,False,4.334881320566808e-08
