r_km,z_m,J
47.75,165.0,3.135295933986981e-08
48.0,165.0,3.392927716561189e-08
48.25,165.0,3.6857312424309896e-08
48.5,165.0,4.00870875383319e-08
48.75,165.0,4.3585561049219734e-08
49.0,165.0,4.741826531429183e-08
49.25,165.0,5.172159256439102e-08
49.5,165.0,5.657393264968391e-08
49.75,165.0,6.189845735971033e-08
50.0,165.0,6.75125415572353e-08
50.25,165.0,7.329992612881142e-08
50.5,165.0,7.931487644441404e-08
50.75,165.0,8.564276465783394e-08
51.0,165.0,9.211382578921956e-08
51.25,165.0,9.817539670109454e-08
51.5,165.0,1.0313126708183518e-07
51.75,165.0,1.0661136728984388e-07
52.0,165.0,1.0880801970536425e-07
52.25,165.0,1.1018469869839009e-07
52.5,165.0,1.1095041851927334e-07
52.75,165.0,1.108329975574307e-07
53.0,165.0,1.0935695193836636e-07
53.25,165.0,1.0634592040315027e-07
53.5,165.0,1.0214605050684611e-07
53.75,165.0,9.737611539328839e-08
54.0,165.0,9.25163681220198e-08
54.25,165.0,8.772596782335995e-08
54.5,165.0,8.296646902827831e-08
54.75,165.0,7.82300728641161e-08
55.0,165.0,7.363569887175458e-08
55.25,165.0,6.93436159604488e-08
55.5,165.0,6.542909480877768e-08
55.75,165.0,6.185204770581265e-08
56.0,165.0,5.8530720381533285e-08
56.25,165.0,5.542894343513183e-08
56.5,165.0,5.257188995244633e-08
56.75,165.0,4.9993117201552195e-08
57.0,165.0,4.7682625403666634e-08
57.25,165.0,4.5587367214494634e-08
57.5,165.0,4.365417693996676e-08
57.75,165.0,4.186598845379308e-08
58.0,165.0,4.0236375120628054e-08
58.25,165.0,3.877537846364021e-08
58.5,165.0,3.746594123832381e-08
58.75,165.0,3.627228895020096e-08
59.0,165.0,3.516707758333126e-08
59.25,165.0,3.4147384919691603e-08
59.5,165.0,3.322466168853566e-08
59.75,165.0,3.240252066660787e-08
60.0,165.0,3.1666386179907136e-08
45.0,167.5,1.5551473886432632e-08
45.25,167.5,1.6326750174044946e-08
45.5,167.5,1.7183811040766273e-08
45.75,167.5,1.8108617272361016e-08
46.0,167.5,1.912398328585141e-08
46.25,167.5,2.0278552836927588e-08
46.5,167.5,2.1607029276893286e-08
46.75,167.5,2.310555136109116e-08
47.0,167.5,2.4749738924967346e-08
47.25,167.5,2.6541415953929004e-08
47.5,167.5,2.8533608142922162e-08
47.75,167.5,3.079936372607506e-08
48.0,167.5,3.3375383790001933e-08
48.25,167.5,3.624225575205031e-08
48.5,167.5,3.936842174478983e-08
48.75,167.5,4.2778435682677696e-08
49.0,167.5,4.6563360944773535e-08
49.25,167.5,5.0803721896031107e-08
49.5,167.5,5.547943671135869e-08
49.75,167.5,6.046720502084213e-08
50.0,167.5,6.564538046482937e-08
50.25,167.5,7.099892007644826e-08
50.5,167.5,7.657453582332607e-08
50.75,167.5,8.228778880514653e-08
