beta,score
0.2,1.9596942566564792
0.25,1.976618958180697
0.3,1.9579549311036508
0.35,1.971922337068567
0.4,1.9505742836921343
0.44999999999999996,1.9454617774424237
0.5,1.9391851019251032
0.55,1.9360948472571835
0.6,1.9212077322343941
0.6499999999999999,1.9082009158842301
0.7,1.8812992473620371
0.75,1.828462305852221
0.8,1.78575055623195
0.8499999999999999,1.6121898919749555
0.8999999999999999,1.310910892133089
0.95,0.8720501441199847
1.0,0.531739994733427
1.05,0.8342966387557863
1.0999999999999999,1.2488134754530682
1.15,1.5925131139841844
1.2,1.7873604137475385
1.2499999999999998,1.8554823394890743
1.2999999999999998,1.8862083962392346
1.3499999999999999,1.9216208443729428
1.4,1.9366087302487853
1.45,1.9639458577864515
1.4999999999999998,1.9611124094733083
1.5499999999999998,1.9694271650007487
1.5999999999999999,1.962500009855251
1.65,1.9863993768015924
1.6999999999999997,1.9896662287103528
1.7499999999999998,2.004097875181503
1.7999999999999998,2.003924087373704
1.8499999999999999,2.0219970835619714
1.9,2.0208325614581013
1.9499999999999997,2.0454101227148214
1.9999999999999998,2.027263669954989
2.05,2.0311649774324607
2.1,2.036514600348999
2.15,2.080160882333205
2.1999999999999997,2.096016901814299
2.25,2.0788268534822363
2.3,2.082982916652032
2.35,2.066984557765344
2.4,2.0630592759438704
2.45,2.0728644053741863
2.5,2.09144235167185
