r_km,z_m,J
45.0,150.0,3.517205622305397e-07
45.25,150.0,3.1657610455315677e-07
45.5,150.0,2.837915118458767e-07
45.75,150.0,2.533297861484485e-07
46.0,150.0,2.2525655918315124e-07
46.25,150.0,1.9960378683236968e-07
46.5,150.0,1.7628041704131903e-07
46.75,150.0,1.5509670059365988e-07
47.0,150.0,1.3590077352354513e-07
47.25,150.0,1.1870736504882018e-07
47.5,150.0,1.0364424052333732e-07
47.75,150.0,9.07768390456809e-08
48.0,150.0,8.000201456859202e-08
48.25,150.0,7.109988431341918e-08
48.5,150.0,6.393300822082892e-08
48.75,150.0,5.8603698338544064e-08
49.0,150.0,5.5348543415156826e-08
49.25,150.0,5.428116645056491e-08
49.5,150.0,5.525120472249512e-08
49.75,150.0,5.795740554148665e-08
50.0,150.0,6.22778495440457e-08
50.25,150.0,6.847918732066915e-08
50.5,150.0,7.698271864420292e-08
50.75,150.0,8.790937477964889e-08
51.0,150.0,1.0086005319820401e-07
51.25,150.0,1.1519372256074689e-07
51.5,150.0,1.3068308124530859e-07
51.75,150.0,1.478188380588108e-07
52.0,150.0,1.6719611961590886e-07
52.25,150.0,1.8852213146125507e-07
52.5,150.0,2.1023060581271125e-07
52.75,150.0,2.3029705209509643e-07
53.0,150.0,2.478708103215155e-07
53.25,150.0,2.6401109409768253e-07
53.5,150.0,2.8048302036509654e-07
53.75,150.0,2.979493056720628e-07
54.0,150.0,3.15328539057802e-07
54.25,150.0,3.3079107897293625e-07
54.5,150.0,3.435347559754831e-07
54.75,150.0,3.545642194291432e-07
55.0,150.0,3.657084521879739e-07
55.25,150.0,3.7817603004697276e-07
55.5,150.0,3.920303811577597e-07
55.75,150.0,4.0670040535317753e-07
56.0,150.0,4.218431179925375e-07
56.25,150.0,4.37720311441403e-07
56.5,150.0,4.548504175527768e-07
56.75,150.0,4.7348487719478527e-07
57.0,150.0,4.934437753956189e-07
57.25,150.0,5.143564389964439e-07
57.5,150.0,5.360183633618121e-07
57.75,150.0,5.585120836926194e-07
58.0,150.0,5.820193815786467e-07
58.25,150.0,6.065813529243513e-07
58.5,150.0,6.320402747839182e-07
58.75,150.0,6.581763394297724e-07
59.0,150.0,6.848867074582543e-07
59.25,150.0,7.122263385728189e-07
59.5,150.0,7.402895032537771e-07
59.75,150.0,7.690778744962046e-07
60.0,150.0,7.984798812143978e-07
45.0,152.5,3.5152939570348707e-07
45.25,152.5,3.163424266983128e-07
45.5,152.5,2.8353838121830677e-07
45.75,152.5,2.531551330786641e-07
46.0,152.5,2.2523074250102582e-07
46.25,152.5,1.997031140454908e-07
46.5,152.5,1.76407032648207e-07
46.75,152.5,1.5517966367450953e-07
47.0,152.5,1.3599289139243353e-07
