r_km,z_m,J
45.0,150.0,0.14711151580098258
45.25,150.0,0.14147202455209418
45.5,150.0,0.13563210283169191
45.75,150.0,0.12961897759212593
46.0,150.0,0.12347994701141407
46.25,150.0,0.11726142668364425
46.5,150.0,0.11099381522017981
46.75,150.0,0.10469442237639881
47.0,150.0,0.09838364150376577
47.25,150.0,0.09209786859675206
47.5,150.0,0.08588550875430112
47.75,150.0,0.07979167608848381
48.0,150.0,0.07384782111464727
48.25,150.0,0.06807432453703499
48.5,150.0,0.06249187142666757
48.75,150.0,0.05712986850024715
49.0,150.0,0.05202348481170671
49.25,150.0,0.04720383371371506
49.5,150.0,0.04269181348776474
49.75,150.0,0.03850031555291544
50.0,150.0,0.03464155895619869
50.25,150.0,0.03113202617094979
50.5,150.0,0.02799038517605834
50.75,150.0,0.02523165465541244
51.0,150.0,0.022863863991446243
51.25,150.0,0.020889679184173726
51.5,150.0,0.019310761268551246
51.75,150.0,0.018130490300864333
52.0,150.0,0.017352761094841407
52.25,150.0,0.016978853640463365
52.5,150.0,0.01700572752628804
52.75,150.0,0.017426935023751033
53.0,150.0,0.018234839295934613
53.25,150.0,0.019421858524172664
53.5,150.0,0.02097973064239267
53.75,150.0,0.022897991555226982
54.0,150.0,0.025163443238541472
54.25,150.0,0.02776115729935369
54.5,150.0,0.030676017399957844
54.75,150.0,0.033893224059198035
55.0,150.0,0.037397288506852866
55.25,150.0,0.041170742486571266
55.5,150.0,0.04519410885261499
55.75,150.0,0.049447436580902004
56.0,150.0,0.053912099247181766
56.25,150.0,0.05857105179301536
56.5,150.0,0.06340723476339638
56.75,150.0,0.06840182311955478
57.0,150.0,0.0735342015418079
57.25,150.0,0.07878387417109833
57.5,150.0,0.08413257746529901
57.75,150.0,0.08956446972818344
58.0,150.0,0.09506419806470934
58.25,150.0,0.10061489468126128
58.5,150.0,0.10619818144277482
58.75,150.0,0.11179625658326275
59.0,150.0,0.11739404820741628
59.25,150.0,0.12297922679625439
59.5,150.0,0.12854006985897382
59.75,150.0,0.13406341807447464
60.0,150.0,0.13953477833401196
45.0,152.5,0.1407066580968639
45.25,152.5,0.13500636035599722
45.5,152.5,0.12912532309397984
45.75,152.5,0.123104206867241
46.0,152.5,0.1169882970559476
46.25,152.5,0.11081024512964366
46.5,152.5,0.10458869203181964
46.75,152.5,0.09834171534073033
47.0,152.5,0.09210111829502754
47.25,152.5,0.08591243211561783
47.5,152.5,0.07982162231817147
47.75,152.5,0.07386325356031209
48.0,152.5,0.06806026383524844
48.25,152.5,0.06243362509725592
48.5,152.5,0.05701161223968598
48.75,152.5,0.051829161804703205
49.0,152.5,0.04691915875140673
49.25,152.5,0.042305426615289465
49.5,152.5,0.0380033678150018
49.75,152.5,0.0340264132715582
50.0,152.5,0.030391472513263462
50.25,152.5,0.027118063763922562
50.5,152.5,0.024222994167779066
50.75,152.5,0.021716531722477672
51.0,152.5,0.01960321872491977
51.25,152.5,0.017885815679161476
51.5,152.5,0.01656831520476687
51.75,152.5,0.015655338464850344
52.0,152.5,0.015149263427496784
52.25,152.5,0.015048302308437678
52.5,152.5,0.015347043316304765
52.75,152.5,0.016038483839223683
53.0,152.5,0.01711540957153823
53.25,152.5,0.01856993123768269
53.5,152.5,0.020392082711788717
53.75,152.5,0.022569187374333
54.0,152.5,0.025086677522691447
54.25,152.5,0.027929554709285487
54.5,152.5,0.031083001182364955
54.75,152.5,0.03453155527875129
55.0,152.5,0.03825788880335623
55.25,152.5,0.04224267863664455
55.5,152.5,0.04646597684373299
55.75,152.5,0.05090894095784215
56.0,152.5,0.05555420623412766
56.25,152.5,0.060384479380144684
56.5,152.5,0.06538085967355878
56.75,152.5,0.07052270801503602
57.0,152.5,0.07578936903734035
57.25,152.5,0.08116218537624498
57.5,152.5,0.08662478225869841
57.75,152.5,0.09216133414023564
58.0,152.5,0.097754674903473
58.25,152.5,0.10338624065664859
58.5,152.5,0.10903798320460634
58.75,152.5,0.11469439711689655
59.0,152.5,0.12034257956263028
59.25,152.5,0.1259702727875318
59.5,152.5,0.13156396029628303
59.75,152.5,0.1371089554917424
60.0,152.5,0.14259138273723493
45.0,155.0,0.13474399505125745
45.25,155.0,0.12899269707489303
45.5,155.0,0.12308785682099987
45.75,155.0,0.1170725874802947
46.0,155.0,0.11098144269444377
46.25,155.0,0.10483479151989528
46.5,155.0,0.09864900509966135
46.75,155.0,0.09245135477419741
47.0,155.0,0.08628386291482748
47.25,155.0,0.08019262640945635
47.5,155.0,0.0742150168330058
47.75,155.0,0.06837666165425649
48.0,155.0,0.06269909555530695
48.25,155.0,0.057209502551524016
48.5,155.0,0.051942337999737354
