span,zs,snr,p,N_POLES,N_POLES_NEAR_UNIT_IN_BAND,N_LOCAL_MAXIMA,N_5PCT_PEAKS,N_5PCT_IN_BAND,SNR_AT_R0_DB
sufficient_4990m,4.0,R0_NOISELESS,7,7,7,7,6,6,inf
sufficient_4990m,4.0,R1_20dB,7,7,2,6,1,1,20.009016856808557
sufficient_4990m,50.0,R0_NOISELESS,7,7,7,7,6,6,inf
sufficient_4990m,50.0,R1_20dB,7,7,2,6,1,1,20.009016856808557
insufficient_1990m,4.0,R0_NOISELESS,7,7,7,7,6,6,inf
insufficient_1990m,4.0,R1_20dB,7,7,2,7,2,2,20.1135453249478
insufficient_1990m,50.0,R0_NOISELESS,7,7,7,7,6,6,inf
insufficient_1990m,50.0,R1_20dB,7,7,2,6,1,1,20.1135453249478
