span,zs,snr,pole_re,pole_im,radius,angle_omega,k_mapped_best,in_paper_band,dist_to_nearest_kraken,n_k_cands_in_band,matches_R0_mode_within_5e-3,SNR_AT_R0_DB
sufficient_4990m,4.0,R0_NOISELESS,-0.9837591557991416,0.17569070965870193,0.9993244228372576,2.9648646553511377,1.3273282607313794,True,0.004708528518676758,1,True,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.9681442339181932,0.2426768894003351,0.9980958522697445,2.8959911070490265,1.354877680052224,True,0.0071419477462768555,1,False,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.954242398707159,0.29624646570721663,0.9991699174486838,2.8405746608024134,1.377044258550869,True,0.0010745525360107422,1,True,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.9407754049430215,0.336901204434597,0.9992801329433044,2.797711121512239,1.3941896742669388,True,0.0056105852127075195,1,False,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.9167528025992044,0.3954372763976747,0.9984018933467157,2.7343595371592833,1.4195303080081212,True,5.6743621826171875e-05,1,True,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.904900278994801,0.4239463310192029,0.9992872492479389,2.703460578707789,1.4318898913887188,True,0.003268003463745117,1,True,inf
sufficient_4990m,4.0,R0_NOISELESS,-0.891345251619341,0.45160282420057546,0.9992204303407142,2.672636750805329,1.444219422549703,True,0.0013802051544189453,1,True,inf
sufficient_4990m,4.0,R1_20dB,-0.8795638603555744,0.3791106231605871,0.957787789145805,2.734633115332954,1.419420876738653,True,0.00016617774963378906,1,True,20.009016856808557
sufficient_4990m,4.0,R1_20dB,-0.9006669627431686,0.31690957401457565,0.9547945621331869,2.8032608948446787,1.391969764933963,True,0.003390669822692871,1,True,20.009016856808557
sufficient_4990m,4.0,R1_20dB,0.09692602702791682,0.7643712195631458,0.7704920609661512,1.4446645823748625,1.9354082899218894,False,0.44847798347473145,0,False,20.009016856808557
sufficient_4990m,4.0,R1_20dB,0.6453207545957615,0.39701586335385053,0.7576677847623234,0.551537405505398,2.2926591606696753,False,0.8057287931442261,0,False,20.009016856808557
sufficient_4990m,4.0,R1_20dB,-0.42452849591578956,-0.6733815956738881,0.7960321709810693,-2.1332999070949783,0.8533199628379913,False,0.38025981187820435,0,False,20.009016856808557
sufficient_4990m,4.0,R1_20dB,0.7037516766162522,-0.24000482971830506,0.7435514377824164,-0.3286670817821429,0.13146683271285714,False,1.102112889289856,0,False,20.009016856808557
sufficient_4990m,4.0,R1_20dB,0.2703543348078113,-0.6989505410984523,0.7494153222687626,-1.2017204640189534,0.48068818560758136,False,0.7528915405273438,0,False,20.009016856808557
