case,beta,score
PAPER_LIKE_IDEAL,2.0,1.065672131934185
PAPER_LIKE_IDEAL,2.05,1.074077875028133
PAPER_LIKE_IDEAL,2.1,1.081752219153672
PAPER_LIKE_IDEAL,2.15,1.0897655955685406
PAPER_LIKE_IDEAL,2.2,1.09693877983852
PAPER_LIKE_IDEAL,2.25,1.1033806394864676
PAPER_LIKE_IDEAL,2.3,1.109696808158328
PAPER_LIKE_IDEAL,2.35,1.115424564431749
PAPER_LIKE_IDEAL,2.4,1.1213034144724028
PAPER_LIKE_IDEAL,2.4499999999999997,1.1271843654555864
PAPER_LIKE_IDEAL,2.5,1.1321501327645316
OFFGRID,0.3,0.8716702582253534
OFFGRID,0.35,0.8989792487664351
OFFGRID,0.4,0.9260999420693748
OFFGRID,0.45,0.9471408964279051
OFFGRID,0.5,0.9643504081606358
OFFGRID,0.55,0.9770214153942045
OFFGRID,0.6000000000000001,0.9879836240454231
OFFGRID,0.65,0.9990560443093812
OFFGRID,0.7,1.0106266132971193
OFFGRID,0.75,1.0201632786286312
OFFGRID,0.8,1.0283093217844026
OFFGRID,0.8500000000000001,1.035604066974682
OFFGRID,0.9000000000000001,1.044563116406681
OFFGRID,0.95,1.0574958761342907
OFFGRID,1.0,1.071420038514369
OFFGRID,1.05,1.0901157365559637
OFFGRID,1.1,1.1102866530456355
OFFGRID,1.1500000000000001,1.1325977912693797
OFFGRID,1.2,1.1542964182701403
OFFGRID,1.25,1.1778488096695414
OFFGRID,1.3,1.2003614621983028
OFFGRID,1.35,1.2218788041482385
OFFGRID,1.4000000000000001,1.24150649417703
OFFGRID,1.4500000000000002,1.2578766525209881
OFFGRID,1.5000000000000002,1.2738141827793508
OFFGRID,1.55,1.286515510337708
OFFGRID,1.6,1.2988967578979516
OFFGRID,1.6500000000000001,1.3124647760964314
OFFGRID,1.7000000000000002,1.3228840618840871
OFFGRID,1.7500000000000002,1.335244736181051
OFFGRID,1.8,1.3486063604868757
OFFGRID,1.85,1.3610046121913406
OFFGRID,1.9000000000000001,1.3737936030314435
OFFGRID,1.9500000000000002,1.387053414884973
OFFGRID,2.0,1.3997683370347058
OFFGRID,2.05,1.4123511085495304
OFFGRID,2.1,1.424080499694195
OFFGRID,2.15,1.437290495557375
OFFGRID,2.2,1.449108336310849
OFFGRID,2.25,1.4606862943125352
OFFGRID,2.3,1.4720200195794806
OFFGRID,2.35,1.4820084228860793
OFFGRID,2.4,1.4934213187421705
OFFGRID,2.4499999999999997,1.5052771237774845
OFFGRID,2.5,1.5141822214280771
S2_LINES,0.3,0.4208391089218846
S2_LINES,0.35,0.42347977151062655
S2_LINES,0.4,0.42586342713123376
S2_LINES,0.45,0.42753909169947035
S2_LINES,0.5,0.4288997151257797
S2_LINES,0.55,0.4290377864106638
S2_LINES,0.6000000000000001,0.4288856476560392
S2_LINES,0.65,0.4287647437413054
S2_LINES,0.7,0.4312464798594618
S2_LINES,0.75,0.4351753154358999
S2_LINES,0.8,0.44140817747843153
S2_LINES,0.8500000000000001,0.44858271069519634
S2_LINES,0.9000000000000001,0.4567699222119714
S2_LINES,0.95,0.46595576080383583
S2_LINES,1.0,0.475727107223115
S2_LINES,1.05,0.4856930445621132
S2_LINES,1.1,0.496164181891265
S2_LINES,1.1500000000000001,0.5055789105084937
S2_LINES,1.2,0.5145746869230191
S2_LINES,1.25,0.5238328178899259
S2_LINES,1.3,0.5313141276848105
S2_LINES,1.35,0.5394935193553158
S2_LINES,1.4000000000000001,0.5476682023848921
S2_LINES,1.4500000000000002,0.5558643565430925
S2_LINES,1.5000000000000002,0.5651036398474277
S2_LINES,1.55,0.5747994991916374
S2_LINES,1.6,0.5842590302594035
S2_LINES,1.6500000000000001,0.5936601365283665
S2_LINES,1.7000000000000002,0.6025357250664306
S2_LINES,1.7500000000000002,0.6108711902171208
S2_LINES,1.8,0.619634093945124
S2_LINES,1.85,0.6277840230120006
S2_LINES,1.9000000000000001,0.6351911727620675
S2_LINES,1.9500000000000002,0.6428610598630011
S2_LINES,2.0,0.6497684663143297
S2_LINES,2.05,0.6556135179636009
S2_LINES,2.1,0.6616585114088301
S2_LINES,2.15,0.6673188974249534
S2_LINES,2.2,0.6726385704410723
S2_LINES,2.25,0.6780185296361055
S2_LINES,2.3,0.683533162208368
S2_LINES,2.35,0.6892252971193329
S2_LINES,2.4,0.6948487104431175
S2_LINES,2.4499999999999997,0.7006047687118456
S2_LINES,2.5,0.7064675833707953
