environment_id,water_depth_m,deep_endpoint_speed_mps,n_turning_rays,return_range_min_km,return_range_max_km,n_angles_in_50_60km,angle_min_in_50_60km_deg,angle_max_in_50_60km_deg,closest_to_53km_range_km,closest_to_53km_angle_deg,closest_to_53km_turn_depth_m,model_level
E_D3900_C1529,3900.0,1529.4,75,44.078686192940125,48.08931673034086,0,,,48.08931673034086,0.5,3394.0206381490666,CUSTOM_DIAGNOSTIC_RAY_INTEGRAL_NOT_BELLHOP
E_D4100_C1529,4100.0,1529.4,75,46.65881291148269,50.65873540132633,11,0.5,1.5,50.65873540132633,0.5,3557.1342367003112,CUSTOM_DIAGNOSTIC_RAY_INTEGRAL_NOT_BELLHOP
E_D4300_C1529,4300.0,1529.4,75,49.24092751767167,53.229642412785054,58,0.5,6.2,52.988553504653325,0.9,3725.766985122331,CUSTOM_DIAGNOSTIC_RAY_INTEGRAL_NOT_BELLHOP
E_D4100_C1525,4100.0,1525.0,63,49.279894728787944,52.71707527765739,48,0.5,5.2,52.71707527765739,0.5,3686.4649448699174,CUSTOM_DIAGNOSTIC_RAY_INTEGRAL_NOT_BELLHOP
E_D4100_C1534,4100.0,1534.0,87,44.29394181697876,48.81461922687919,0,,,48.81461922687919,0.5,3441.186779571479,CUSTOM_DIAGNOSTIC_RAY_INTEGRAL_NOT_BELLHOP
