environment_id,depth_m,sound_speed_mps,evidence_status,water_depth_m,deep_endpoint_speed_mps,note
E_D3900_C1529,0.0,1538.81,WOA23_DERIVED_CHECKPOINT,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,25.0,1534.6371478114265,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,50.0,1530.4959655923758,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,75.0,1526.7643005771367,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,100.0,1523.82,WOA23_DERIVED_CHECKPOINT,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,125.0,1521.4214507679321,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,150.0,1519.0770036229874,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,175.0,1516.7894515520836,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,200.0,1514.5615875421402,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,225.0,1512.396204580076,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,250.0,1510.2960956528102,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,275.0,1508.2640537472612,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,300.0,1506.302871850348,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,325.0,1504.4153429489895,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,350.0,1502.6042600301046,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,375.0,1500.8724160806116,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,400.0,1499.2226040874302,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,425.0,1497.657617037479,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,450.0,1496.180247917677,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,475.0,1494.7932897149424,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,500.0,1493.4995354161947,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,525.0,1492.3017780083526,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,550.0,1491.2028104783349,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,575.0,1490.2054258130609,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,600.0,1489.3124169994487,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,625.0,1488.526577024418,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
E_D3900_C1529,650.0,1487.8506988748868,DERIVED_DIAGNOSTIC_INTERPOLATION,3900.0,1529.4,bathymetry-low diagnostic; deep endpoint constrained by independent observed SCS mean
