key,reference,r_first_km,r_last_km,common_cells,delay_ms_min,delay_ms_max,median_nearest_arrival_ms,max_numerical_shift_ms,min_environment_matches,environment_count,max_environment_shift_ms,median_rel_db,jacobian_cells,current_status,delay_span_over_window_ms,abs_range_slope_ms_per_km,env_shift_over_delay_span,fixed_z_range_equiv_env_shift_km,environment_association_fraction,nearest_arrival_over_1over900,env_shift_over_0p15ms,current_waveform_gate,b3c_lag_policy,dominant_failure_mode,next_physics_test
S0B1_s1r0,S0B1_s0r1,52.0,54.25,9,-3.3150,-2.9641,1.5145,0.0114,4,8,0.8087,-19.9863,6,HOLD_OR_REJECT,0.3509,0.1560,2.305,5.185,0.500,1.36,5.39,FAIL_OR_NOT_PASSED,NO_ARBITRARY_MAX_LAG; REQUIRE_EMPIRICAL_EXTRACTABILITY,SHORT_DELAY_ENVIRONMENT_DOMINATED,P2_VERIFY_ONLY_AFTER_OBSERVED_SSP
S1B2_s1r0,S0B1_s0r1,52.0,54.5,11,979.4655,1015.9187,47.9431,0.0038,7,8,5.3253,-18.1471,11,HOLD_OR_REJECT,36.4532,14.5813,0.146,0.365,0.875,43.15,35.50,FAIL_OR_NOT_PASSED,NO_ARBITRARY_MAX_LAG; REQUIRE_EMPIRICAL_EXTRACTABILITY,LONG_DELAY_ASSOCIATION_AND_WAVEFORM_LIMITED,P1_OBSERVED_SSP_PATH_IDENTITY_RETEST
S3B2_s0r1,S0B1_s0r1,52.0,54.5,11,1074.7109,1119.5831,51.4488,0.0077,7,8,5.9128,-18.9096,11,HOLD_OR_REJECT,44.8722,17.9489,0.132,0.329,0.875,46.30,39.42,FAIL_OR_NOT_PASSED,NO_ARBITRARY_MAX_LAG; REQUIRE_EMPIRICAL_EXTRACTABILITY,LONG_DELAY_ASSOCIATION_AND_WAVEFORM_LIMITED,P1_OBSERVED_SSP_PATH_IDENTITY_RETEST
