f_hz,C1_corr_200_220,rec_D_200_220_L2p4,rec_D_200_210_L2p4,oracle_D_200_220,oracle_D_200_210
201.0,0.579,0.5400114798268866,0.5488327521567405,0.9537546657502132,0.9120427488219505
235.0,0.994,0.6016288673301315,0.22105668326307515,0.9213663436587511,0.8958327183582544
283.0,1.0,0.8933255679685356,0.3069278973068922,0.9113628936650909,0.9583190386575673
338.0,0.067,0.9050185117612674,0.3740807418190475,0.9450344128210538,0.9891407076599973
