f_hz,L_m,kind,z_i,z_j,D_abs
201.0,600.0,ORACLE_CLUSTER_ENERGY,180,190,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
201.0,600.0,ORACLE_CLUSTER_ENERGY,190,200,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
201.0,600.0,ORACLE_CLUSTER_ENERGY,200,210,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
201.0,600.0,ORACLE_CLUSTER_ENERGY,210,220,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
201.0,600.0,ORACLE_CLUSTER_ENERGY,180,200,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
201.0,600.0,ORACLE_CLUSTER_ENERGY,200,220,0.0
201.0,600.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,180,190,0.0007857528548291803
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,190,200,0.00017675992625698633
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,200,210,0.0001717027413827843
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,210,220,0.0007749853632905701
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,180,200,0.0012542902729859584
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
201.0,1200.0,ORACLE_CLUSTER_ENERGY,200,220,0.0011898713252700421
201.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,180,190,0.004417952322700369
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,190,200,0.0013258428568339031
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,200,210,0.0011671049153402224
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,210,220,0.004100953596769874
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,180,200,0.00854511671116931
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
201.0,2400.0,ORACLE_CLUSTER_ENERGY,200,220,0.007072304513149885
201.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
235.0,600.0,ORACLE_CLUSTER_ENERGY,180,190,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
