f_hz,amp_thr,L_m,L_km,delta_k_SA,median_eta,n_adjacent_pairs,n_resolvable_pairs,v_r_needed_T600,v_r_needed_T1200,note
201.0,0.1,150.0,0.15,0.041887902047863905,0.000631471619090742,11,0,0.25,0.125,L is radial Δr not total track
201.0,0.1,300.0,0.3,0.020943951023931952,0.001262943238181484,11,0,0.5,0.25,L is radial Δr not total track
201.0,0.1,600.0,0.6,0.010471975511965976,0.002525886476362968,11,0,1.0,0.5,L is radial Δr not total track
201.0,0.1,1200.0,1.2,0.005235987755982988,0.005051772952725936,11,0,2.0,1.0,L is radial Δr not total track
201.0,0.1,2400.0,2.4,0.002617993877991494,0.010103545905451872,11,0,4.0,2.0,L is radial Δr not total track
201.0,0.2,150.0,0.15,0.041887902047863905,0.0008436908645000126,8,0,0.25,0.125,L is radial Δr not total track
201.0,0.2,300.0,0.3,0.020943951023931952,0.0016873817290000252,8,0,0.5,0.25,L is radial Δr not total track
201.0,0.2,600.0,0.6,0.010471975511965976,0.0033747634580000505,8,0,1.0,0.5,L is radial Δr not total track
201.0,0.2,1200.0,1.2,0.005235987755982988,0.006749526916000101,8,0,2.0,1.0,L is radial Δr not total track
201.0,0.2,2400.0,2.4,0.002617993877991494,0.013499053832000202,8,0,4.0,2.0,L is radial Δr not total track
235.0,0.1,150.0,0.15,0.041887902047863905,0.000540074995103464,11,0,0.25,0.125,L is radial Δr not total track
235.0,0.1,300.0,0.3,0.020943951023931952,0.001080149990206928,11,0,0.5,0.25,L is radial Δr not total track
235.0,0.1,600.0,0.6,0.010471975511965976,0.002160299980413856,11,0,1.0,0.5,L is radial Δr not total track
235.0,0.1,1200.0,1.2,0.005235987755982988,0.004320599960827712,11,0,2.0,1.0,L is radial Δr not total track
235.0,0.1,2400.0,2.4,0.002617993877991494,0.008641199921655424,11,0,4.0,2.0,L is radial Δr not total track
235.0,0.2,150.0,0.15,0.041887902047863905,0.0007215777149862468,8,0,0.25,0.125,L is radial Δr not total track
235.0,0.2,300.0,0.3,0.020943951023931952,0.0014431554299724936,8,0,0.5,0.25,L is radial Δr not total track
235.0,0.2,600.0,0.6,0.010471975511965976,0.002886310859944987,8,0,1.0,0.5,L is radial Δr not total track
235.0,0.2,1200.0,1.2,0.005235987755982988,0.005772621719889974,8,0,2.0,1.0,L is radial Δr not total track
235.0,0.2,2400.0,2.4,0.002617993877991494,0.011545243439779949,8,0,4.0,2.0,L is radial Δr not total track
283.0,0.1,150.0,0.15,0.041887902047863905,0.00044844774223418637,11,0,0.25,0.125,L is radial Δr not total track
283.0,0.1,300.0,0.3,0.020943951023931952,0.0008968954844683727,11,0,0.5,0.25,L is radial Δr not total track
283.0,0.1,600.0,0.6,0.010471975511965976,0.0017937909689367455,11,0,1.0,0.5,L is radial Δr not total track
283.0,0.1,1200.0,1.2,0.005235987755982988,0.003587581937873491,11,0,2.0,1.0,L is radial Δr not total track
283.0,0.1,2400.0,2.4,0.002617993877991494,0.007175163875746982,11,0,4.0,2.0,L is radial Δr not total track
283.0,0.2,150.0,0.15,0.041887902047863905,0.0005991567943888579,8,0,0.25,0.125,L is radial Δr not total track
283.0,0.2,300.0,0.3,0.020943951023931952,0.0011983135887777157,8,0,0.5,0.25,L is radial Δr not total track
283.0,0.2,600.0,0.6,0.010471975511965976,0.0023966271775554314,8,0,1.0,0.5,L is radial Δr not total track
283.0,0.2,1200.0,1.2,0.005235987755982988,0.004793254355110863,8,0,2.0,1.0,L is radial Δr not total track
283.0,0.2,2400.0,2.4,0.002617993877991494,0.009586508710221726,8,0,4.0,2.0,L is radial Δr not total track
338.0,0.1,150.0,0.15,0.041887902047863905,0.0003754618976211816,11,0,0.25,0.125,L is radial Δr not total track
338.0,0.1,300.0,0.3,0.020943951023931952,0.0007509237952423632,11,0,0.5,0.25,L is radial Δr not total track
338.0,0.1,600.0,0.6,0.010471975511965976,0.0015018475904847264,11,0,1.0,0.5,L is radial Δr not total track
338.0,0.1,1200.0,1.2,0.005235987755982988,0.0030036951809694528,11,0,2.0,1.0,L is radial Δr not total track
338.0,0.1,2400.0,2.4,0.002617993877991494,0.0060073903619389055,11,0,4.0,2.0,L is radial Δr not total track
338.0,0.2,150.0,0.15,0.041887902047863905,0.000501642421810915,8,0,0.25,0.125,L is radial Δr not total track
338.0,0.2,300.0,0.3,0.020943951023931952,0.00100328484362183,8,0,0.5,0.25,L is radial Δr not total track
338.0,0.2,600.0,0.6,0.010471975511965976,0.00200656968724366,8,0,1.0,0.5,L is radial Δr not total track
338.0,0.2,1200.0,1.2,0.005235987755982988,0.00401313937448732,8,0,2.0,1.0,L is radial Δr not total track
338.0,0.2,2400.0,2.4,0.002617993877991494,0.00802627874897464,8,0,4.0,2.0,L is radial Δr not total track
